abalieno |  abaliēno, āvi, ātum, āre
Abanteus |  Abantēus, a, um
Abantiades |  Abantiădes, ae m
Abapressinum |  Abapressīn(um, i n
Abas |  Abas, antis m
abavus |  abăvus, i m
Abbocortum |  Abbocort(um, i n
Abdera |  Abdēra, ōrum n
Abderites |  Abderītes, ae m
abdicatio |  abdicatio, ōnis f
abdico |  I abdĭco, āvi, ātum, āre
abditus |  abdĭtus, a, um
abdo |  abdo, dĭdi, dĭtum, ĕre
abdomen |  abdōmen, ĭnis n
abdominalis |  abdominālis, e анат.
abducens |  abdūcens, entis анат.
abduco |  abdūco, duxi, ductum, ĕre
abductio |  abductio, ōnis f
abductor |  abductor, ōris m
Abella |  Abella, ae f
Abellani |  Abellāni, ōrum m
abeo |  abeo, ii (īvi), ĭtum, īre
abequito |  abequĭto, āvi, ātum, āre
aberrans |  aberrans, antis анат.
aberratio |  aberratio, ōnis f
aberro |  aberro, āvi, ātum, āre
abfore |  abfŏre inf.
abforem |  abfŏrem impf.
abhinc |  abhinc adv.
abhorreo |  abhorreo, ui, --, ēre
Abicinum |  Abicīn(um, i n
abicio |  abicio
abiegnus |  abiegnus, a, um
abies |  abies, ĕtis f
abigo |  abĭgo, ēgi, actum, ĕre
Abiguanilum |  Abiguanīl(um, i n
abitus |  abĭtus, ūs m
abjectio |  abjectio, ōnis f
abjectus |  abjectus, а, um
abjicio |  abjicio (abicio), jēci, jēctum, ĕre
abjudico |  abjudĭco, āvi, ātum, āre
abjungo |  abjungo, junxi, junctum, ĕre
abjuro |  abjūro, āvi, ātum, āre
ablegatio |  ablegatio, ōnis f
ablego |  ablēgo, āvi, ātum, āre
abludo |  ablūdo, --, --, ĕre досл.
abluo |  abluo, ui, utum ere part.
abnego |  abnego, avi, atum, are
abnormis |  abnormis, e,
abnuo |  abnuo, ui, iturus, ere
abolesco |  abolesco, evi, --, ere
abolitio |  abolitio, onis f
abomino |  abomino, avi, atum, are
abominor |  abominor, atus sum, ari
Abominum |  Abomin(um, i n
abominundus |  abominundus, a, um
aboralis |  aboralis, e анат.
abortio |  abortio, onis f
abortivus |  abortivus, а, um
abrado |  abrado, rasi, rasum, ere
abripio |  abripio, ripui, reptum, ere
Abrodanum |  Abrodan(um, i n
Abrodilum |  Abrodil(um, i n
Abrogenum |  Abrogen(um, i n
abrogo |  abrogo, avi, atum, are
abrotonum |  abrotonum, i n
abrotonus |  abrotonus, i m
Abrovalum |  Abroval(um, i n
abrumpo |  abrumpo, rupi, ruptum, ere
abruptio |  abruptio, onis f
abruptus |  abruptus, a, um
abs |  abs
abscedo |  abscedo, cessi, cessum, ere
abscessio |  abscessio, onis f
abscessus |  abscessus, us m
abscido |  abscido, cidi, cisum, ere
abscindo |  abscindo, scidi, scissum, ere
abscisus |  abscisus, a, um
abscondite |  abscondite adv.
absconditus | absconditus, а, um
abscondo |  abscondo, condi (condidi), conditum, ere
absens |  absens, entis part.
absentia |  absentia, ae f
Absentolum |  Absentol(um, i n
absimilis |  absimilis, e
absinthium |  absinthium, i n
absisto |  absisto, stiti, --, ere
absolute |  absolute adv.
absolutio |  absolutio, onis f
absolvo |  absolvo, solvi, solutum, ere
absonus |  absonus, a, um
absorbeo |  absorbeo, sorbui (sorpsi), sorptum, ere
absp |  absp...
absque |  absque praep.
abstemius |  abstemius, a, um
abstergeo |  abstergeo, tersi, tersum, ere
absterreo |  absterreo, ui, itum, ere
abstinens |  abstinens, entis
abstinenter |  abstinenter adv.
abstinentia |  abstinentia, ae f
abstineo |  abstineo, ui, tentum, ere pass.
Abstinylum |  Abstinyl(um, i n
absto |  absto, --, --, are
abstraho |  abstraho, traxi, tractum, ere
abstrudo |  abstrudo, trusi, trusum, ere
abstrusus |  abstrusus, а, um
absulutus |  absulutus, a, um
absum |  absum, afui (abfui), afuturus, abesse part.
absumo |  absumo, sumpsi, sumptum, ere pass.
absurde |  absurde adv.
absurdus |  absurdus, a, um
Abuleminum |  Abulemin(um, i n
abuleo |  abuleo, evi, itum, ere
abundans |  abundans, antis
abundantia |  abundantia, ae f
abunde |  abunde adv.
abundo |  abundo, avi, atum, are
abusque |  abusque praep.
abusus |  abusus, us m
abutor |  abutor, usus sum, uti
ac |  I ac
acacia |  acacia, ae f
Academia |  Academia, ae f
Academicus |  Academicus, a, um
Academus |  Academus, i m
acalanthis |  acalanthis, idis f
Acamas |  Acamas, antis m
Acanthus |  I Acanthus, i f
Acarnanes |  Acarnanes, um m
Acarnania |  Acarnania, ae f
Acastus |  Acastus, i m
Acca |  Acca Larentia f
accedo |  accedo, cessi, cessum, ere
accelerans |  accelerans, antis
accelero |  accelero, avi, atum, are
accendo |  accendo, cendi, censum, ere pass.
accenseo |  accenseo, --, censum, ere
accensus |  accensus, i m
acceptio |  acceptio, onis f
acceptum |  acceptum, i n
acceptus |  acceptus, a, um
accerso |  accerso
accessio |  accessio, onis f
accessorius |  accessorius, a, um
accessus |  accessus, us m
accido |  I accido, cidi, cisum, ere pass.
accingo |  accingo, cinxi, cinctum, ere pass.
accio |  accio, civi (cii), citum, ire
accipio |  accipio, cepi, ceptum, ere
accipiter |  accipiter, tris m
accitus |  accitus, us m
acclamatio |  acclamatio, onis f
acclamo |  acclamo, avi, atum, are
acclaro |  acclaro, avi, --, are
acclinis |  acclinis, e
acclino |  acclino, avi, atum, are
acclivis |  acclivis, e
acclivitas |  acclivitas, atis f
acclivus |  acclivus, a, um
accola |  accola, ae m
accolo |  accolo, colui, cultum, ere
accommodatio |  accommodatio, onis f
accommodatus |  accommodatus, а, um
accommodo |  accommodo, avi, atum, are
accommodus |  accommodus, a, um
accredo |  accredo, didi, ditum, ere
accresco |  accresco, crevi, cretum, ere
accubita |  accubita, ae f
accubitio |  accubitio, onis f
accubo |  accubo, --, --, are
accumbo |  accumbo, cubui, cubitum, ere
accumulo |  accumulo, avi, atum, are
accurate |  accurate adv.
accuratus |  accuratus, a, um
accuro |  accuro, avi, atum, are
accurro |  accurro, (cu)curri, cursum, ere
accusatio |  accusatio, onis f
accusator |  accusator, aris m
accusatorie |  accusatorie adv.
accusatorius |  accusatorius, a, um
accuso |  accuso, avi, atum, are
Ace |  Ace, es f
Aceclidinum |  Aceclidin(um, i n
Acecolinum |  Acecolin(um, i n
Acedigalum |  Acedigal(um, i n
Acedoxinum |  Acedoxin(um, i n
Acenocumarinum |  Acenocumarin(um, i n
Acenocumarolum |  Acenocumarol(um, i n
Acephenum |  Acephen(um, i n
acer |  I acer, eris n
acer | acer, cris, cre
acerbe |  acerbe adv.
acerbitas |  acerbitas, atis f
acerbo |  acerbo, --, --, are
acerbus |  acerbus, a, um
acernus |  acernus, a, um
acerra |  acerra, ae f
Acerrae |  Acerrae, arum f
Acerrani |  Acerrani, orum m
acervatim |  acervatim adv.
acervo |  acervo, avi, atum, are
acervulus |  acervulus, i m
acervus |  acervus, i m
Acesalum |  Acesal(um, i n
acesco |  acesco, acui, --, ere
Acesines |  Acesines, is m
Acesta |  Acesta, ae f
Acestaei |  Acestaei, orum m
Acestenses |  Acestenses, ium m
Acestes |  Acestes, ae m
acetabularis |  acetabularis, e анат.
acetabulum |  acetabulum, i n
Acetalaxum |  Acetalax(um, i n
Acetaminophenum |  Acetaminophen(um, i n
acetaria |  I acetaria, ae f
acetarium |  acetarium, i n
Acetarsolum |  Acetarsol(um, i n
Acetarsonum |  Acetarson(um, i n
acetas |  acetas, atis m
Acetazinum |  Acetazin(um, i n
Acetazolamidum |  Acetazolamid(um, i n
Aceticylum |  Aceticyl(um, i n
Acetochloroformum |  Acetochloroform(um, i n
Acetolum |  Acetol(um, i n
Acetophenetidinum |  Acetophenetidin(um, i n
Acetophenidinum |  Acetophenidin(um, i n
Acetophenum |  Acetophen(um, i n
Acetoptum |  Acetopt(um, i n
Acetosalum |  Acetosal(um, i n
Acetoxyprogesteronum |  Acetoxyprogesteron(um, i n
Acetparaphenalidum |  Acetparaphenalid(um, i n
Acetphenarsinum |  Acetphenarsin(um, i n
Acetphenolisatinum |  Acetphenolisatin(um, i n
Acetriodonum |  Acetriodon(um, i n
acetum |  acetum, i n
Acetylcholinum |  Acetylcholin(um, i n
Acetyldigitoxinum |  Acetyldigitoxin(um, i n
Acetylinum |  Acetylin(um, i n
acetylsalicylicus |  acetylsalicylicus, a, um фармац.
Acetylsalum |  Acetylsal(um, i n
Acetysalum |  Acetysal(um, i n
Achaei |  Achaei, orum m
Achaemenes |  Achaemenes, is m
Achaemenidae |  Achaemenidae, arum m
Achaemenius |  Achaemenius, a, um
Achaeus |  I Achaeus, a, um m
Achaia |  Achaia f
Achaias |  Achaias, adis f
Achaicus |  Achaicus, a, um
Achais |  Achais, idis f
Achaius |  Achaius, a, um
Acharnae |  Acharnae, arum f
Acharnanus |  Acharnanus, a, um
Achates |  Achates, ae m
acheilia |  acheilia, ae f
Acheloias |  Acheloias, adis f
Acheloides |  Acheloides, um f
Achelois |  Achelois, idis f
Acheloius |  Acheloius, a, um
Achelous |  Achelous, i m
Acheron |  Acheron, ontis ( acc.
Acheruns |  Acheruns, untis m
Acherunsius |  Acherunsius, a, um
Acherusia |  Acherusia, ae f
Acherusis |  Acherusis, idis f
Acherusius |  Acherusius, a, um
Achillea |  Achillea millefolium бот.
Achilleinum |  Achillein(um, i n
Achilleis |  Achilleis, idos f
Achilles |  Achilles, is m
Achilleus |  Achilleus, a, um
Achillides |  Achillides, ae m
Achivi |  Achivi, orum m
achlorhydria |  achlorhydria, ае f
Acholl |  Acholl...
Achradina |  Achradina, ae f
Achroinycinum |  Achroinycin(um, i n
achylia |  achylia, ае f
Acidalia |  Acidalia, ae f
Acidamonum |  Acidamon(um, i n
Acidin |  Acidin-pepsin(um, i n
Acidogenum |  Acidogen(um, i n
Acidol |  Acidol-pepsin(um, i n
acidosis |  acidosis, is f
Acidotestum |  Acidotest(um, i n
Acidulinum |  Acidulin(um, i n
acidum |  acidum, i n
acidus |  acidus, a, um
acies |  acies, ei f
Acilla |  Acilla (Acylla, Acholla), ae f
Acillitani |  Acillitani, orum m
Acillitanus |  Acillitanus
Acilus |  Acilus, a, um
Acimetionum |  Acimetion(um, i n
acinaces |  acinaces, is m
Acinitrazolum |  Acinitrazol(um, i n
acinum |  acinum, i n
acinus |  acinus, i m
acipenser |  acipenser, eris m
Acipepsolum |  Acipepsol(um, i n
Aciphenochinolinum |  Aciphenochinolin(um, i n
Acis |  Acis, idis m
aclys |  aclys, ydis m
Acmonenses |  Acmonenses, ium m
Acmonensis |  Acmonensis, e
Acmonia |  Acmonia, ае f
Acnosanum |  Acnosan(um, i n
Acofinum |  Acofin(um, i n
aconitum |  aconitum i, n
Acophytum |  Acophyt(um, i n
acquiesco |  acquiesco, quievi, quietum, ere
acquiro |  acquiro, quisivi, quisitum, ere
acquisitus |  acquisitus, а, um мед.
Acragan |  Acraga(n)s, antis m
Acrichinum |  Acrichin(um, i n
Acricidum |  Acricid(um, i n
Acriflavinum |  Acriflavin(um, i n
acrimonia |  acrimonia, ae f
Acrinolinum |  Acrinolin(um, i n
Acrinolum |  Acrinol(um, i n
Acrisione |  Acrisione, es f
Acrisioneus |  Acrisioneus, a, um
Acrisioniades |  Acrisioniades, ae m
Acrisius |  Acrisius, i m
acriter |  acriter adv.
acroaesthesia |  acroaesthesia, ае f
acroama |  acroama, atis n
acrocarpus |  acrocarpus, a, um бот.
Acroceraunia |  Acroceraunia, orum n
Acrocorinthus |  Acrocorinthus, i f
acrocyanosis |  acrocyanosis, is f
acrodons |  acrodons, ontis биолог.
acromegalia |  acromegalia, ае f
acromialis |  acromialis, e анат.
acromion |  acromion, i n
acrophobia |  acrophobia, ае f
acropodium |  acropodium, i n
acta |  I acta, ae f
Actaei |  Actaei, orum m
Actaeus |  Actaeus, a, um
Actasum |  Actas(um, i n
Acte |  Acte, es f
Actharum |  Acthar(um, i n
Actiacus |  Actiacus, a, um
Actias |  I Actias, adis
actinomyces |  actinomyces, etis f
Actinomycinum |  Actinomycin(um, i n
actinophagi |  actinophagi, orum n
actio |  actio, onis f
Actium |  Actium, i n
Actius |  Actius, a, um
activatus |  activatus, а, um хим.
Actonum |  Acton(um, i n
actor |  actor, oris m
Actozinum |  Actozin(um, i n
Actropum |  Actrop(um, i n
actuaria |  actuaria, ae f
actuarius |  actuarius, a, um
actus |  actus, us m
actutum |  actutum adv.
aculeus |  aculeus, i m
acumen |  acumen, inis n
acuo |  acuo, acui, acutum, ere
acus |  acus, us f
acusticus |  acusticus, a, um
acute |  acute adv.
acutifolius |  acutifolius, а, um бот.
acutirostris |  acutirostris, e зоолог.
acutus |  acutus, a, um
Acylanidum |  Acylanid(um, i n
Acylanilum |  Acylanil(um, i n
Acylpyrinum |  Acylpyrin(um, i n
Acynormum |  Acynorm(um, i n
ad |  ad praep.
Adabromum |  Adabrom(um, i n
adactio |  adactio, onis f
adaeque |  adaeque adv.
adaequo |  adaequo, avi, atum, are
Adalinum |  Adalin(um, i n
adamanteus |  adamanteus и adamantinus, a, um
adamantinus |  adamantinus, a, um анат.
adamas |  adamas, antis ( acc.
adamo |  adamo, avi, atum, are
Adanonum |  Adanon(um, i n
adaperio |  adaperio, perui, pertum, ire
adapertilis |  adapertilis, e
adaptatio |  adaptatio, onis f
adaquor |  adaquor, atus sum, ari
adaugeo |  adaugeo, auxi, auctum, ere
adbibo |  adbibo, bibi, (bibitum), ere
adc |  adc...
addenseo |  addenseo, --, --, ere
addico |  addico, dixi, dictum, ere
addictio |  addictio, onis f
addictus |  addictus, a, um
addisco |  addisco, didici, --, ere
additamentum |  additamentum, i n
addo |  addo, didi, ditum, ere
addoceo |  addoceo, docui, doctum, ere
addubito |  addubito, avi, atum, are
adduco |  adduco, duxi, ductum, ere
adductio |  adductio, onis f
adductor |  adductor, oris m
adductorius |  adductorius, a, um
Adebitum |  Adebit(um, i n
adedo |  adedo, edi, esum, ere
ademptio |  ademptio, onis f
ademptus |  ademptus, a, um
aden |  aden, is m
adenocarcinoma |  adenocarcinoma, atis n
adenocytus |  adenocytus, i m
adenohypophysis |  adenohypophysis, is f
adenoideus |  adenoideus, a, um анат.
adenoma |  adenoma, atis n
adenosintriphosphoricus |  adenosintriphosphoricus, а, um фармац.
adenotomia |  adenotomia, ае f
adentia |  adentia, ае f
adeo |  I adeo adv.
Adeprilum |  Adepril(um, i n
adeps |  adeps, ipis m
adeptio |  adeptio, onis f
adequito |  adequito, avi, atum, are
Aderminum |  Adermin(um, i n
adf |  adf...
adg |  adg...
adhaereo |  adhaereo, haesi, haesum, ere
adhaeresco |  adhaeresco, haesi, haesum, ere
adhaesivus |  adhaesivus, а, um
adhesio |  adhesio, onis f
adhibeo |  adhibeo, hibui, hibitum, ere
adhinnio |  adhinnio, ivi (ii), itum, ire
adhortatio |  adhortatio, onis f
adhortator |  adhortator, oris m
adhortor |  adhortor, atus sum, ari
adhuc |  adhuc adv.
Adiabene |  Adiabene, es и Adiabena, ae f
Adiabeni |  Adiabeni, orum m
Adiabenicus |  Adiabenicus, a, um
Adiabenus |  Adiabenus, a, um
Adiazinum |  Adiazin(um, i n
adicio |  adicio см.
adigo |  adigo, egi, actum, ere
adimo |  adimo, emi, em(p)tum ere
adinsurgo |  adinsurgo, --, --, ere
Adipalitum |  Adipalit(um, i n
Adipinas |  Adipinas, atis m
Adipiodonum |  Adipiodon(um, i n
adipiscor |  adipiscor, deptus sum, dipisci
adiponecrosis |  adiponecrosis, is f
Adiposidum |  Adiposid(um, i n
Adiposinum |  Adiposin(um, i n
adiposus |  adiposus, a, um
Adiprazina |  Adiprazina, ае f
aditus |  aditus, us m
Adiurecrinum |  Adiurecrin(um, i n
adjaceo |  adjaceo, --, --, ere
adjectio |  adjectio, onis f
adjicio |  adjicio, jeci, jectum, ere
adjudico |  adjudico, avi, atum, are
adjumentum |  adjumentum, i n
adjunctio |  adjunctio, onis f
adjunctum |  adjunctum, i n
adjunctus |  adjunctus, a, um
adjungo |  adjungo, junxi, junctum, ere pass.
adjuro |  adjuro, avi, atum, are
adjutor |  adjutor, oris m
adjutrix |  adjutrix, icis f
adjuvo |  adjuvo, juvi, jutum, juvare
adl |  adl...
admaturo |  admaturo, --, --, are
admetior |  admetior, mensus sum, iri
Admetus |  Admetus, i m
adminiculum |  adminiculum, i n
administer |  administer, tri m
administra |  administra, ae f
administratio |  administratio, onis f
administro |  administro, avi, atum, are
admirabilis |  admirabilis, e
admirandus |  admirandus, a, um
admiratio |  admiratio, onis f
admiror |  admiror, atus sum, ari
admisceo |  admisceo, miscui, mixtum (mistum), ere
admissarius |  admissarius, i m
admissum |  admissum, i n
admissus |  admissus, a, um
admitto |  admitto, misi, missum, ere
admixtio |  admixtio, onis f
admodum |  admodum adv.
admoneo |  admoneo, ui, itum, ere
admonitio |  admonitio, onis f
admonitor |  admonitor, oris m
admonitus |  admonitus, (us) n
admordeo |  admordeo, mordi, morsum, ere
admotus |  admotus, a, um
admoveo |  admoveo, movi, motum, ere
admugio |  admugio, ivi, --, ire
admurmuratio |  admurmuratio, onis f
admurmuro |  admurmuro, avi, atum, are
adn |  I adn...
Adnephrinum |  Adnephrin(um, i n
adnexa |  adnexa, orum n
adoleo |  adoleo, ui, (evi), (ultum), ere
adolesc |  adolesc...
adolesco |  I adolesco, --, --, ere
adolfactorius |  adolfactorius, a, um анат.
Adonalum |  Adonal(um, i n
Adonis |  I Adonis, idis acc.
Adonisidum |  Adonisid(um, i n
adoperio |  adoperio, perui, pertum, ire
Adophenum |  Adophen(um, i n
adoptatio |  adoptatio
adoptio |  adoptio, onis f
adoptivus |  adoptivus, a, um
adopto |  adopto, avi, atum, are
ador |  ador, oris n
adoratio |  adoratio, onis f
adorea |  adorea, ae f
adoreus |  adoreus, a, um
adoria |  adoria, ae f
adorior |  adorior, ortus sum, iri
Adorminum |  Adormin(um, i n
adorno |  adorno, avi, atum, are
adoro |  adoro, avi, atum, are
adp |  adp...
adq |  adq...
adrado |  adrado, rasi, rasum, ere
Adramytt |  Adramyt(t)eum (Adramyt(t)ion), i n
Adramyttenus |  Adramyttenus, i m
Adrana |  Adrana, ae m
Adrastus |  Adrastus, i m
Adrenalinum |  Adrenalin(um, i n
adrenalis |  adrenalis, e анат.
Adrenaminum |  Adrenamin(um, i n
Adreninum |  Adrenin(um, i n
Adrenocorticotrophinum |  Adrenocorticotrophin(um, i n
adrenocorticotropinus |  adrenocorticotropinus, а, um
Adrenoxylum |  Adrenoxyl(um, i n
adrep |  adrep...
Adresonum |  Adreson(um, i n
Adri |  Adri...
Adrianolum |  Adrianol(um, i n
adrid |  adrid..., adrig..., adrip..., adris..., adris..., adrod..., adrog..., adros
Adroxonum |  Adroxon(um, i n
Adrumetini |  Adrumetini, orum m
Adrumetum |  Adrumetum (Hadrumetum), i n
ads |  ads...
adsc |  adsc...
adsp |  adsp...
adst |  adst...
adstringens |  adstringens, entis
adt |  adt...
Aduatuca |  Aduatuca, ae f
Aduatuci |  Aduatuci, orum m
adulatio |  adulatio, onis f
adulescens |  adulescens, entis adj.
adulescentia |  adulescentia, ae f
adulescentulus |  adulescentulus, i m
adulo |  adulo, avi, atum, are
adulor |  adulor, atus sum, ari
adulter |  I adulter, era, erum поэт.
adultera |  adultera, ae f
adulterinus |  adulterinus, a, um
adulterium |  adulterium, i n
adultero |  adultero, avi, atum, are
adultus |  adultus, a, um
adumbilicalis |  adumbilicalis, e анат.
Adumbranum |  Adumbran(um, i n
adumbratus |  adumbratus, a, um
adumbro |  adumbro, avi, atum, are
aduncus |  aduncus, a, um
adurgeo |  adurgeo, --, --, ere
aduro |  aduro, ussi, ustum, ere поэт.
adusque |  adusque praep.
adustus |  adustus, a, um
advecticius |  advecticius, a, um
advehens |  advehens, entis
advelo |  advelo, --, --, are
advena |  advena, ae m
advenio |  advenio, veni, ventum, ire
adventicius |  adventicius, a, um
adventitia |  adventitia, ae f
adventitialis |  adventitialis, e
adventitius |  adventitius, a, um
advento |  advento, avi, atum, are
adventus |  adventus, us m
adversa |  adversa, orum n/pl
adversaria |  adversaria, orum n
adversarius |  I adversarius, a, um m
adversio |  adversio, onis f
adversor |  adversor, atus sum, ari
adversus |  I adversus, a, um adv.
adverto |  adverto, verti, versum, ere
