Babylon |  Babylon, onis f
Babylonia |  Babylonia, ae f
Babylonicus |  Babylonicus, a, um
Babylonii |  Babylonii, orum m
Babylonius |  Babylonius, a, um
baca |  baca (bacca), ae f
bacatus |  bacatus, a, um
bacca |  I bacca, ae f
baccalauriatus |  baccalauriatus, us m
baccar |  baccar (bacchar), aris n
baccatus |  baccatus, a, um
baccha |  baccha, ae f
Bacchanal |  Bacchanal, alis n
Bacchanalia |  Bacchanalia, ium n
Bacchanalis |  Bacchanalis, e
bacchar |  bacchar, aris n
baccharis |  baccharis, is f
bacchatio |  bacchatio, onis f
Bacchejus |  Bacchejus, a, um
Baccheus |  Baccheus, a, um
Bacchiadae |  Bacchiadae, arum m
Bacchicus |  Bacchicus, a, um
Bacchis |  Bacchis, idis f
Bacchius |  Bacchius, a, um
bacchor |  bacchor, atus sum, ari pass.
Bacchus |  Bacchus, i m
baccifer |  baccifer, a, um
baccula |  baccula (bacula), ae f
Bacenis |  Bacenis, is f
bacifer |  bacifer, era, erum
bacillum |  bacillum, i n
bactericidus |  bactericidus, a, um мед.
bacteroidum |  bacteroidum, i n
Bactra |  Bactra, orum n
Bactri |  Bactri, orum m
Bactriani |  Bactriani, orum m
Bactrianus |  Bactrianus, a, um
Bactrus |  Bactrus, i m
Bactylanum |  Bactylan(um, i n
baculum |  baculum, i n
Badionalum |  Badional(um, i n
Baebius |  Baebius, a, um
Baecula |  Baecula (Baecyla), ae f
Baecyla |  Baecyla, ae f
Baetici |  Baetici, orum m
Baeticus |  Baeticus, a, um
Baetis |  Baetis, is f
Bagaudae |  Bagaudae, arum m
Bagoas |  Bagoas, ae m
Bagous |  Bagous, i m
Bagrada |  Bagrada, ae m
Baittiades |  Baittiades, ae m
Bajae |  Bajae, arum f
Bajanus |  Bajanus, a, um
balaena |  balaena, ae f
balanus |  balanus, i
balatro |  balatro, onis m
balatus |  balatus, us m
balbus |  balbus, a, um
balbutio |  balbutio, ivi, itum, ire
Baleares |  Baleares, ium f
Balearis |  I Balearis, e m
Balearlicus |  Balearlicus, a, um
balineum |  balineum n
balista |  balista или ballista, ae f
ballista |  I ballista, ae f
balneae |  balneae, arum f
balneator |  balneator, oris m
balneolum |  balneolum, i n
balneum |  balneum, i n
balo |  balo, avi, atum, are
balsamum |  balsamum, i n
balteus |  balteus, i m
Balusilum |  Balusil(um, i n
Bamballo |  Bamballo, onis m
Bamethanum |  Bamethan(um, i n
Banacidum |  Banacid(um, i n
bandaletta |  bandaletta, ae f
Bandusia |  Bandusia, ae f
Banocidum |  Banocid(um, i n
Banthioninum |  Banthionin(um, i n
Bantia |  Bantia, ae f
Bantini |  Bantini, orum m
Bantinus |  Bantinus, a, um
barathrum |  barathrum, i n
barba |  barba, ae f
Barbamylum |  Barbamyl(um, i n
Barbana |  Barbana, ae m
barbare |  barbare adv.
barbaria |  barbaria, ae f
barbaricus |  barbaricus, a, um
barbaries |  barbaries, ei f
barbarus |  I barbarus, a, um m
barbatus |  barbatus, a, um
Barbenylum |  Barbenyl(um, i n
Barbidormum |  Barbidorm(um, i n
Barbinalum |  Barbinal(um, i n
Barbiphenum |  Barbiphen(um, i n
Barbitalum |  Barbital(um, i n
Barbitonum |  Barbiton(um, i n
barbitos |  barbitos, i m
Barbituralum |  Barbitural(um, i n
barbula |  barbula, ae f
Barca |  Barca, ae m
Barcaei |  Barcaei, orum m
Barce |  Barce, es f
Barcini |  Barcini, orum m
Barcinus |  Barcinus, a, um
bardus |  bardus, a, um
Bargusii |  Bargusii, orum m
Bargylia |  Bargylia, orum n
Bargyliae |  Bargyliae, arum f
Bargylietae |  Bargylietae, arum m
Bargylieticus |  Bargylieticus, a, um
Barium |  I Barium, i n
barotrauma |  barotrauma, atis n
barrus |  barrus, i m
Barvincanum |  Barvincan(um, i n
basalis |  basalis, e анат.
basialis |  basialis, e
basilaris |  basilaris, e анат.
basilica |  basilica, ae f
basilicus |  basilicus, a, um
basion |  basion, i n
basiopodium |  basiopodium, i n
basis |  basis, is f
basisphenoidum |  basisphenoid(um, i анат.
basivertebralis |  basivertebralis, e анат.
Basolanum |  Basolan(um, i n
Bassania |  Bassania, ae f
Bassanitae |  Bassanitae, arum m
Bassareus |  Bassareus (=Bassare^us), ei m
Bastarnae |  Bastarnae (Basternae), arum m
Basternae |  Basternae, arum m
Batavi |  Batavi, orum m
Batavodurum |  Batavodurum, i n
Batavus |  Batavus, a, um
Bathyllus |  Bathyllus, i m
batillum |  batillum, i n
Batilolum |  Batilol(um, i n
Battus |  Battus, i m
Batulum |  Batulum, i n
Baucis |  Baucis, idis f
Bauli |  Bauli, orum m
Bavius |  Bavius, i m
Beacillinum |  Beacillin(um, i n
Beadoxum |  Beadox(um, i n
beate |  beate adv.
beatus |  beatus, a, um
Bebryces |  Bebryces, um m
Bebrycia |  Bebrycia, ae f
Bebrycius |  Bebrycius, a, um
Becaptanum |  Becaptan(um, i n
Becarbonum |  Becarbon(um, i n
Bedoxinum |  Bedoxin(um, i n
Bedriacum |  Bedriacum, i n
Bedumilum |  Bedumil(um, i n
Beflavinum |  Beflavin(um, i n
Beflavitum |  Beflavit(um, i n
Befunginum |  Befungin(um, i n
Beglucinum |  Beglucin(um, i n
Belfacillinum |  Belfacillin(um, i n
Belgae |  Belgae, arum m
Belgicus |  Belgicus, a, um
Belgium |  Belgium, i n
Belides |  Belides, ae m
Belis |  Belis, idis f
Belladonna |  Belladonna, ae f
Bellalginum |  Bellalgin(um, i n
Bellasponum |  Bellaspon(um, i n
Bellasthesinum |  Bellasthesin(um, i n
Bellataminalum |  Bellataminal(um, i n
bellator |  bellator, oris m
bellatrix |  bellatrix, icis f
Bellazonum |  Bellazon(um, i n
belle |  belle adv.
Bellerophon |  Bellerophon, ontis m
Bellerophontes |  Bellerophontes, ae m
bellicosus |  bellicosus, a, um
bellicum |  bellicum, i n
bellicus |  bellicus, a, um
belliger |  belliger, era, erum
belligero |  belligero, avi, atum, are
bellipotens |  bellipotens, entis
bello |  bello, avi, atum, are
Bellocassi |  Bellocassi, orum m
Belloidum |  Belloid(um, i n
Bellona |  Bellona, ae f
Bellovaci |  Bellovaci, orum m
bellua |  bellua, ae f
bellum |  bellum, i n
belluosus |  belluosus, a, um
bellus |  bellus, a, um
belua |  belua (bellua), ae f
beluosus |  beluosus, a, um
Belus |  Belus, i m
Bemegridum |  Bemegrid(um, i n
Bemephatum |  Bemephat(um, i n
Benactina |  Benactina, ae f
Benactizynum |  Benactizyn(um, i n
Benacus |  Benacus, i m
Benadonum |  Benadon(um, i n
Benadrylum |  Benadryl(um, i n
Bencyclanum |  Bencyclan(um, i n
Bendorum |  Bendor(um, i n
bene |  bene adv.
Benecardinum |  Benecardin(um, i n
benedico |  benedico, dixi, dictum, ere
Benedormum |  Benedorm(um, i n
benefacio |  benefacio, feci, factum, ere
beneficiarii |  beneficiarii, orum m
beneficiarius |  beneficiarius, a, um
beneficium |  beneficium, i n
beneficus |  beneficus, a, um compar.
Benemycinum |  Benemycin(um, i n
Benerva |  Benerva, ae f
Beneurinum |  Beneurin(um, i n
Beneventanus |  Beneventanus, a, um
Beneventum |  Beneventum, i n
benevolentia |  benevolentia, ae f
benevolus |  benevolus, a, um compar.
Benicotum |  Benicot(um, i n
benigne |  benigne adv.
benignitas |  benignitas, atis f
benignus |  benignus, a, um мед.
Benilum |  Benil(um, i n
Benphthalatum |  Benphthalat(um, i n
Bensothiozonum |  Bensothiozon(um, i n
Benucidum |  Benucid(um, i n
Benzacillinum |  Benzacillin(um, i n
Benzacinum |  Benzacin(um, i n
Benzamonum |  Benzamon(um, i n
Benzchlorpropamidum |  Benzchlorpropamid(um, i n
Benzestrinum |  Benzestrin(um, i n
Benzestrolum |  Benzestrolum
Benzethacilum |  Benzethacil(um, i n
Benzhydraminum |  Benzhydramin(um, i n
benzinum |  benzinum, i n
benzoas |  benzoas, atis m
Benzobarbitalum |  Benzobarbital(um, i n
Benzocainum |  Benzocain(um, i n
Benzodiapinum |  Benzodiapin(um, i n
Benzodixinum |  Benzodixin(um, i n
benzoicus |  benzoicus, a, um хим.
Benzonalum |  Benzonal(um, i n
Benzonaphtholum |  Benzonaphthol(um, i n
Benzosulfonas |  Benzosulfonas, atis m
Benzpropaminum |  Benzpropamin(um, i n
Benzylium |  Benzylium, i n
Benzylpenicillinum |  Benzylpenicillinum-natrium, Benzylpenicillini-natrii n
beo |  beo, avi, atum, are
Bepasalum |  Bepasal(um, i n
Bepascum |  Bepasc(um, i n
Berberinum |  Berberin(um, i n
Berberis |  Berberis, idis f
Berecyntae |  Berecyntae, arum m
Berecyntes |  Berecyntes, um m
Berecyntius |  Berecyntius, a, um
Berenice |  Berenice (Beronice), es f
Berenicis |  Berenicis, idis f
Bergomum |  Bergomum, i n
Berinum |  Berin(um, i n
Berlicetinum |  Berlicetin(um, i n
Berlophenum |  Berlophen(um, i n
beroarius |  beroarius, i m
Beroea |  Beroea, ae f
Beroeaeus |  Beroeaeus, i m
Beroeenses |  Beroeenses, ium m
Berolasa |  Berolasa, ae f
Berones |  Berones, um m
Beronice |  Beronice, es f
Beroxanum |  Beroxan(um, i n
berta |  berta, ae f
Berubigenum |  Berubigen(um, i n
Berytus |  Berytus, i f
Besalolum |  Besalol(um, i n
Besaltica |  Besaltica, ae f
Besatinum |  Besatin(um, i n
Bessi |  Bessi, orum m
Bessicus |  Bessicus, a, um
Bessus |  Bessus, i m
bestia |  bestia, ae f
bestiarius |  I bestiarius, a, um m
Beta |  Beta, ae f
Betabionum |  Betabion(um, i n
Betacidum |  Betacid(um, i n
Betaminum |  Betamin(um, i n
Betaneurinum |  Betaneurin(um, i n
Betasinum |  Betasin(um, i n
Betavitamum |  Betavitam(um, i n
Betavitanum |  Betavitan(um, i n
Betaxinum |  Betaxin(um, i n
Bethiaminum |  Bethiamin(um, i n
Bethiolum |  Bethiol(um, i n
Betula |  Betula, ae f
Beviminum |  Bevimin(um, i n
Bevitalum |  Bevital(um, i n
Bevitinum |  Bevitin(um, i n
bialatus |  bialatus, a, um зоолог.
Bias |  Bias, antis m
Bibaculus |  Bibaculus, i m
bibleus |  bibleus, a, um ист.
Biblia |  Biblia, ae f
bibo |  bibo, bibi, (potum
Bibracte |  Bibracte, is n
Bibrax |  Bibrax, actis f
Bibroci |  Bibroci, orum m
bibulus |  I bibulus, a, um m
biceps |  biceps, cipitis поэт.
bicipitalis |  bicipitalis, e анат.
bicipitoradialis |  bicipitoradialis, e анат.
bicolor |  bicolor, oris
bicorniger |  bicorniger, eri m
bicornis |  bicornis, e
bicuspidalis |  bicuspidalis, e
bicuspidatus |  bicuspidatus, a, um
bidens |  I bidens, entis m
bidental |  bidental, alis n
bidestillatus |  bidestillatus, a, um хим.
Bidini |  Bidini, orum m
Bidinus |  Bidinus, a, um
Bidis |  Bidis, is f
biduum |  biduum, i n
biennium |  biennium, i n
bifariam |  bifariam adv.
bifer |  bifer, era, erum
bifidus |  bifidus, a, um
biflagellatus |  biflagellatus, a, um биолог.
biflorus |  biflorus, a, um бот.
biforis |  biforis, e
biformis |  biformis, e
bifrons |  bifrons, ontis
bifurcatio |  bifurcatio, onis f
bifurcus |  bifurcus, a, um
bigae |  bigae, arum f
bigatus |  I bigatus, a, um m
Bigerra |  Bigerra, ae f
Bigerriones |  Bigerriones, um m
Bigumalum |  Bigumal(um, i n
bijugi |  bijugi, orum m
bijugis |  bijugis, e
bijugus |  bijugus, a, um
bilateralis |  bilateralis, e
Bilbilis |  Bilbilis, is f
Biletanum |  Biletan(um, i n
biliaris |  biliaris, e
bilibra |  bilibra, ae f
bilibris |  bilibris, e
Bilicholum |  Bilichol(um, i n
bilifer |  bilifer, era, erum анат.
Bilignostum |  Bilignost(um, i n
Biligrafinum |  Biligrafin(um, i n
bilinguis |  bilinguis, e
biliosus |  biliosus, a, um
bilirubinicus |  bilirubinicus, a, um мед.
bilirubinum |  bilirubinum, i, n
bilirubinuria |  bilirubinuria, ae f
bilis |  bilis, is f
Biliselectanum |  Biliselectan(um, i n
Bilitestum |  Bilitest(um, i n
Bilitonum |  Biliton(um, i n
Bilitrastum |  Bilitrast(um, i n
bilix |  bilix, icis
Bilizorinum |  Bilizorin(um, i n
Bilospectum |  Bilospect(um, i n
bilustris |  bilustris, e
bimanualis |  bimanualis, e
bimaris |  bimaris, e
bimaritus |  bimaritus, i m
bimater |  bimater, tris m
bimembris |  bimembris, e
bimestris |  bimestris, e
bimulus |  bimulus, a, um
bimus |  bimus, a, um
binauralis |  binauralis, e анат.
Bingium |  Bingium, i n
bini |  bini, ae, a gen.
binoculum |  binoculum, i m
binominis |  binominis, e
Binotalum |  Binotal(um, i n
binuclearis |  binuclearis, e биолог.
Bio |  Bio, onis m
Biobamatum |  Biobamat(um, i n
Biocodonum |  Biocodon(um, i n
Biocorum |  Biocor(um, i n
biogenesis |  biogenesis, is f
biogenus |  biogenus, a, um биолог.
Biogluminum |  Bioglumin(um, i n
Biogrisinum |  Biogrisin(um, i n
biologia |  biologia, ae f
biologicus |  biologicus, a, um
biologus |  biologus, i m
Biomycinum |  Biomycin(um, i n
Bion |  Bion (Bio), onis m
Bioneus |  Bioneus, a, um
Bioparum |  Biopar(um, i n
Biophenicolum |  Biophenicol(um, i n
biopsia |  biopsia, ae f
Biossedum |  Biossed(um, i n
Bioxilasa |  Bioxilasa, ae f
bipalmis |  bipalmis, e
bipartio |  bipartio (bipertio), ivi, itum, ire
bipartito |  bipartito adv.
bipartitus |  bipartitus, a, um
bipatens |  bipatens, entis
bipedalis |  bipedalis, e
bipedes |  bipedes, um m
bipennatus |  bipennatus, a, um анат.
bipennifer |  bipennifer, era, erum
bipennis |  I bipennis, e f
Biperidinum |  Biperidin(um, i n
bipertio |  bipertio, ivi, itum, ire
bipertitus |  bipertitus, a, um
bipes |  bipes, edis
bipolaris |  bipolaris, e анат.
biremis |  I biremis, e f
birota |  birota, ae f
birotarius |  birotarius, i m
birretum |  birretum, i n
Birutanum |  Birutan(um, i n
bis |  bis adv.
Bisacodylum |  Bisacodyl(um, i n
Bisaltae |  Bisaltae, arum m
Bisaltia |  Bisaltia (Besaltica) ae f
Bisaltis |  Bisaltis, idis f
Bisanthe |  Bisanthe, es f
Bismuthum |  Bismuthum, i n
Bistones |  Bistones, um m
Bistonis |  I Bistonis, idis f
Bistonius |  Bistonius, a, um
bistorta |  bistorta, ae f
Bistrium |  Bistrium, i n
bisulcus |  bisulcus, a, um
Bithiolum |  Bithiol(um, i n
Bithiurolum |  Bithiurol(um, i n
Bithyni |  Bithyni, orum m
Bithynia |  Bithynia, ae f
Bithynicus |  Bithynicus, a, um
Bithynis |  Bithynis, idis f
Bithynus |  Bithynus, a, um
Bito |  Bito, onis m
Biton |  Biton (Bito), onis m
bitumen |  bitumen, inis n
bitumineus |  bitumineus, a, um
Bituriges |  Bituriges, um m
bivalvis |  bivalvis, e биолог.
Bivelinum |  Bivelin(um, i n
biventer |  biventer, tra, trum анат.
biventricus |  biventricus, a, um анат.
bivium |  bivium, i n
bivius |  bivius, a, um
blaesus |  blaesus, a, um
Blanda |  Blanda, ae f
Blandae |  Blandae, arum f
blande |  blande adv.
blandimentum |  blandimentum, i n
blandior |  blandior, itus sum, iri
blanditia |  blanditia, ae f
blandus |  blandus, a, um
blastopathia |  blastopathia, ae f
blastula |  blastula, ae f
blastus |  blastus, i m
Blatella |  Blatella, ae f
blatero |  blatero, avi, atum, are
blatta |  blatta, ae f
blattodeus |  blattodeus, a, um зоолог.
Blattoptera |  Blattoptera, orum n
blattopterus |  blattopterus, a, um зоолог.
Blaudenius |  Blaudenius, a, um
Blaudus |  Blaudus, i m
blepharitis |  blepharitis, idis f
blepharon |  blepharon, i n
blepharoplastica |  blepharoplastica, ae f
blepharoptosis |  blepharoptosis, is f
blepharospasmus |  blepharospasmus, i m
blepharotomia |  blepharotomia, ae f
boarius |  boarius, a, um
Bocchar |  Bocchar, aris m
bocchus |  I bocchus, i m
Boebe |  Boebe, es f
Boebeis |  Boebeis, idis f
Boebejus |  Boebejus, a, um
boeotarchus |  boeotarchus, ae m
Boeoti |  Boeoti, orum m
Boeotia |  Boeotia, ae f
Boeotius |  Boeotius, a, um
Boeotus |  Boeotus, a, um
Boethus |  Boethus, i m
Bogud |  Bogud, udis m
Boja |  Boja, ae f
Boji |  Boji, orum m
Bojohaemum |  Bojohaemum, i n
Bola |  Bola, ae f
Bolae |  Bolae, arum f
Bolani |  Bolani, orum m
Bolanus |  Bolanus, a, um
Bolus |  Bolus, i m
Bombus |  Bombus, i m
Bomilcar |  Bomilcar, aris m
Bona |  Bona Dea f
bonitas |  bonitas, atis f
Bonna |  Bonna, ae f
Bonnensis |  Bonnensis, e
Bononia |  Bononia, ae f
Bononiensis |  Bononiensis, e
bonum |  bonum, i n
bonus |  bonus, a, um compar.
boo |  boo, avi, --, are
Bootes |  Bootes, ae (и is) m
Bora |  Bora, ae m
Borax |  Borax, acis f
Boreas |  Boreas, ae m
boreus |  boreus, a, um
boricus |  boricus, a, um хим.
Borysthenes |  Borysthenes, is m
bos |  bos, bovis m
Bosporani |  Bosporani, orum m
Bosporanus |  Bosporanus, a, um
Bosporius |  Bosporius, a, um
Bosporus |  Bosporus, i m
botulus |  botulus, i m
Bovianum |  Bovianum, i n
Bovidae |  Bovidae, arum f
Bovillae |  Bovillae, arum f
Bovillanus |  Bovillanus, a, um
bovillus |  bovillus, a, um
bracae |  bracae (bracca), arum f
bracatus |  bracatus (braccatus), a, um геогр.
brachia |  brachia, orum n
brachialis |  brachialis, e
brachicephalus |  brachicephalus, i m
brachiocephalicus |  brachiocephalicus, a, um анат.
brachium |  brachium, i n
brachyarthrus |  brachyarthrus, a, um биолог.
brachycephalia |  brachycephalia, ae f
brachydactylus |  brachydactylus, a, um зоолог.
brachyglossus |  brachyglossus, a, um биолог.
brachygnathia |  brachygnathia, ae f
brachypterus |  brachypterus, a, um зоолог.
bractea |  bractea (brattea), ae f
bradycardia |  bradycardia, ae f
bradykinesia |  bradykinesia, ae f
bradyphagia |  bradyphagia, ae f
branchialis |  branchialis, e анат.
Branchidae |  Branchidae, arum m
Branchiopoda |  Branchiopoda, orum n
Brannovices |  Brannovices
Brannovii |  Brannovii, orum m
Brassica |  Brassica, ae f
brattea |  I brattea, ae f
Brattianus |  Brattianus, a, um
