caballus |  caballus, i m
Cabillonum |  Cabillonum, i n
Cabira |  Cabira, orum n
Cabiri |  Cabiri, orum m
cacao |  cacao indecl.
cachinno |  cachinno, avi, atum, are
cachinnus |  cachinnus, i m
caco |  caco, avi, atum, are
cacumen |  cacumen, inis n
cacumino |  cacumino, avi, atum, are
Cacus |  Cacus, i m
cadaver |  cadaver, eris n
Cadmea |  Cadmea, ae f
Cadmeis |  I Cadmeis, idos f
Cadmejus |  Cadmejus, a, um
Cadmeus |  Cadmeus, a, um
Cadmus |  Cadmus, i m
cado |  cado, cecidi, casum, ere
caduceator |  caduceator, oris m
caduceum |  caduceum, i n
caduceus |  caduceus, i m
caducifer |  caducifer, eri m
caducus |  caducus, а, um юр.
Cadurci |  Cadurci, orum m
cadus |  cadus, i m
Cadusii |  Cadusii, orum m
Caecilianus |  Caecilianus, a, um
Caecilius |  I Caecilius, a, um
caecitas |  caecitas, atis f
caeco |  caeco, avi, atum, are
Caecubus |  Caecubus, a, um
Caeculus |  Caeculus, i m
caecus |  caecus, a, um бот.
caedes |  caedes, is f
caedo |  caedo, cecidi, caesum, ere
caelamen |  caelamen, inis n
caelator |  caelator, oris m
caelebs |  caelebs, ibis
caeles |  I caeles, itis m
caelestis |  I caelestis, e m
Caelianus |  Caelianus, a, um
caelibatus |  caelibatus, us m
caelicola |  caelicola, ae m
caelifer |  caelifer, era, erum
Caelius |  Caelius (Coelius), a, um
caelo |  caelo, avi, atum, are ����.
caelum |  caelum (coelum), i n
caelus |  caelus, i m
caementum |  caementum, i n
caena |  caena
Caenina |  Caenina, ae f
Caeninenses |  Caeninenses, ium m
Caeninus |  Caeninus, a, um
caeno |  caeno, avi, atum, are
Caenophrurium |  Caenophrurium, i n
caenum |  caenum, i n
caepa |  caepa, ae f
caepe |  caepe, is n
Caepio |  Caepio, onis m
Caere |  Caere, n
Caeres |  I Caeres, itis f
Caeretani |  Caeretani, orum m
Caeretanus |  Caeretanus, a, um
Caeretes |  Caeretes, um m
caerimonia |  caerimonia, ae f
Caerites |  Caerites m
caerula |  caerula,orum n
caeruleus |  caeruleus
caerulus |  caerulus, a, um
Caesar |  Caesar, aris m
Caesarea |  Caesarea, ae f
Caesareus |  Caesareus, a, um
Caesariani |  Caesariani, orum m
Caesarianus |  Caesarianus, a, um
Caesariensis |  Caesariensis, e
caesaries |  caesaries, ei f
Caesarinus |  Caesarinus, a, um
Caesena |  Caesena, ae f
Caesia |  Caesia silva f
caesim |  caesim adv.
Caeso |  Caeso, onis m
Caesonius |  Caesonius, a, um
caespes |  caespes, itis m
caestus |  caestus, us m
caet |  caet...
caetra |  caetra, ae f
caetratus |  caetratus a, um
cafea |  cafea, ae f
cafeum |  cafeum, i n
Caffeinum |  Caffein(um, i n
Cafronum |  Cafron(um, i n
Caicus |  Caicus, i m
Cajeta |  Cajeta, ae f
Cajete |  Cajete, es f
Cajus |  Cajus, a, um
Calaber |  Calaber, bra, brum
Calabri |  Calabri, orum m
Calabria |  Calabria, ae f
Calacte |  Calacte, es f
Calactini |  Calactini, orum m
Calactinus |  Calactinus, a, um
Calagurris |  Calagurris, is f
Calagurritani |  Calagurritani, orum m
Calais |  Calais, idis m
Calamis |  Calamis, idis m
calamister |  calamister, tri m
calamistratus |  calamistratus, a, um
calamistrum |  calamistrum, tri n
calamitas |  calamitas, atis f
calamitosus |  calamitosus, a, um
calamus |  calamus, i m
calantica |  calantica, ae f
calathus |  calathus, i m
Calatia |  Calatia, ae f
Calatini |  Calatini, orum m
Calatinus |  Calatinus, a, um
Calaurea |  Calaurea (Calauria), ae f
calautica |  calautica (calantica), ae f
calcaneocuboideus |  calcaneocuboideus, a, um анат.
calcaneonavicularis |  calcaneonavicularis, e анат.
calcaneum |  calcaneum, i n
calcaneus |  calcaneus, a, um анат.
calcar |  calcar, aris n
calcarinus |  calcarinus, a, um
Calcedon |  Calcedon, onis f
calceo |  calceo, avi, atum, are
calceus |  calceus, i m
Calchas |  Calchas, antis m
Calchedon |  Calchedon (Calcedon, Chalcedon), onis f
Calchedonii |  Calchedonii, orum m
Calchedonius |  Calchedonius, a, um
calci |  calci...
Calciferolum |  Calciferol(um, i n
Calciiodinum |  Calciiodin(um, i n
calcitro |  calcitro, avi, atum, are
Calcium |  Calcium, i n
calcius |  calcius, i m
calco |  calco, avi, atum, are
Calcuitum |  Calcuit(um, i n
calculosis |  calculosis, is f
calculosus |  calculosus, a, um мед.
calculus |  calculus, i m
calda |  calda, ae f
caldus |  caldus, a, um
Caledonia |  Caledonia, ae f
calefacio |  calefacio или calfacio, feci, factum, ere
calefacto |  calefacto, --, --, are
calefio |  calefio pass.
Calendae |  Calendae (Kalendae), arum f
calendarium |  calendarium, i n
Calendula |  Calendula, ae f
Calenus |  Calenus, a, um
caleo |  caleo, ui, -- ere
Cales |  Cales, ium f
calesco |  calesco, calui, --, ere
Caletes |  Caletes, um m
Caleti |  Caleti, orum m
calfacio |  calfacio, feci, factum, ere
calfacto |  calfacto, --, --, are
Calgamum |  Calgam(um, i n
caliandrum |  caliandrum (caliendrum), i n
calices |  calices, um f
caliculus |  caliculus, i m
calida |  I calida (calda), ae f
calidus |  calidus (caldus), a, um
caliendrum |  caliendrum, i n
caliga |  caliga, ae f
caliginosus |  caliginosus, a, um
caligo |  I caligo, avi, atum, are f
calix |  calix, icis m
calleo |  calleo, ui, --, ere
Callicula |  Callicula, ae f
callide |  callide adv.
calliditas |  calliditas, atis f
Callidromos |  Callidromos (-us), i m
callidus |  callidus, a, um
Callifae |  Callifae, arum f
Callimachus |  Callimachus, i m
Calliope |  Calliope, es f
Calliphon |  Calliphon, ontis m
Callipolis |  Callipolis, is f
