Daci |  Daci, orum m
Dacia |  Dacia, ae f
Dacoromania |  Dacoromania, ae f
Dacortinum |  Dacortin(um, i n
dacryoadenalgia |  dacryoadenalgia, ae f
dacryoadenitis |  dacryoadenitis, idis f
dacryocystectomia |  dacryocystectomia, ae f
dacryocystitis |  dacryocystitis, idis f
dacryocystorhinostomia |  dacryocystorhinostomia, ae f
dacryocystus |  dacryocystus, i m
dacryostenosis |  dacryostenosis, is f
dactylalgia |  dactylalgia, ae f
dactylomegalia |  dactylomegalia, ae f
Dactylorhiza |  Dactylorhiza, ae f
dactylospasmus |  dactylospasmus, i m
dactylus |  dactylus, i m
Daedala |  Daedala, orum n
Daedaleus |  Daedaleus, a, um
Daedalus |  Daedalus (-os), i m
daedalus |  daedalus, a, um
Dahae |  Dahae, arum m
Daimstonum |  Daimston(um, i n
Dalgolum |  Dalgol(um, i n
Dalmatae |  Dalmatae (Delmatae), arum m
Dalmatia |  Dalmatia (Delmatia), ae f
Dalmaticus |  Dalmaticus (Delmaticus), a, um
dama |  dama (damma), ae f
Damascus |  Damascus, i f
Damilenum |  Damilen(um, i n
damiurgus |  damiurgus, i m
damma |  damma, ae f
damnatio |  damnatio, onis f
damnatorius |  damnatorius, a, um
damnatus |  damnatus, a, um
damno |  damno, avi, atum, are pass.
damnose |  damnose adv.
damnosus |  damnosus, a, um
damnum |  damnum, i n
Damocles |  Damocles, is m
Damon |  Damon, onis m
Danae |  Danae, es f
Danaeius |  Danaeius, a, um
Danai |  Danai, orum m
Danantizolum |  Danantizol(um, i n
Danaus |  I Danaus, a, um m
Dania |  Dania, ae f
Danilonum |  Danilon(um, i n
Danubius |  Danubius, i m
Danuvius |  Danuvius (Danubius), i m
Danylenum |  Danylen(um, i n
Daphne |  Daphne, es f
Daphnenses |  Daphnenses, ium m
Daphnensis |  Daphnensis, e
Daphnis |  Daphnis, idis m
Dapotum |  Dapot(um, i n
daps |  daps, dapis f
Dapsonum |  Dapson(um, i n
Daraclorum |  Daraclor(um, i n
Daraprimum |  Daraprim(um, i n
Dardani |  Dardani, orum m
Dardania |  I Dardania, ae f
Dardanides |  Dardanides, ae m
Dardanis |  Dardanis, idis f
Dardanius |  Dardanius, a, um поэт.
Dardanus |  I Dardanus, a, um поэт.
Darenthinum |  Darenthin(um, i n
Dareus |  Dareus (Darius), i m
Darminolum |  Darminol(um, i n
Dartalum |  Dartal(um, i n
dartos |  dartos indecl.
dasyanthus |  dasyanthus, a, um бот.
dasyphyllus |  dasyphyllus, a, um бот.
Dasyurus |  Dasyurus, i m
datio |  datio, onis f
dativus |  dativus, a, um
dator |  dator, oris m
Daucarinum |  Daucarin(um, i n
Daucus |  Daucus, i f
Daulias |  Daulias, adis
Daulis |  Daulis, idis f
Daulius |  Daulius, a, um
Daunias |  Daunias, adis f
Daunius |  Daunius, a, um
Daunomycinum |  Daunomycin(um, i n
Daunus |  Daunus, i m
Daurinum |  Daurin(um, i n
Davosinum |  Davosin(um, i n
de |  de praep.
dea |  dea, ae f
dealbo |  dealbo, avi, atum, are
dearmo |  dearmo, avi, atum, are
debacchor |  debacchor, atus sum, ari
Debefenium |  Debefenium, i n
debellator |  debellator, oris m
debello |  debello, avi, atum, are
Debenalum |  Debenal(um, i n
debeo |  debeo, bui, bitum, ere pass.
debilis |  debilis, e
debilitas |  debilitas, atis f
debilitatio |  debilitatio, onis f
debilito |  debilito, avi, atum, are pass.
debitio |  debitio, onis f
debitor |  debitor, oris m
debitum |  debitum, i n
debitus |  debitus, a, um
Decadilum |  Decadil(um, i n
Decadronum |  Decadron(um, i n
Decamevitum |  Decamevit(um, i n
Decaminum |  Decamin(um, i n
decanto |  decanto, avi, atum, are
Decapoda |  Decapoda, orum n
decedo |  decedo, cessi, cessum, ere воен.
Decelea |  Decelea (Decelia), ae f
decem |  decem
december |  I december, bris, bre m
decemflorus |  decemflorus, a, um бот.
decemlineatus |  decemlineatus, a, um биолог.
decempeda |  decempeda, ae f
decempedator |  decempedator, oris m
decemplex |  decemplex, icis
decemprimi |  decemprimi, orum m
decemvir |  decemvir, i m
decemviralis |  decemviralis, e
decemviratus |  decemviratus, us m
decens |  decens, entis
decenter |  decenter adv.
deceo |  deceo, cui, --, ere
decerno |  decerno, crevi, cretum, ere юр.
decerpo |  decerpo, cerpsi, cerptum, ere
decertatio |  decertatio, onis f
decerto |  decerto, avi, atum, are
decessio |  decessio, onis f
decessor |  decessor, oris m
decessus |  decessus, us m
decet |  decet см.
Decetia |  Decetia, ae f
Decianus |  Decianus, a, um
decido |  I decido, cidi, --, ere
decidua |  decidua, ae f
decidualis |  decidualis, e анат.
deciduus |  deciduus, a, um анат.
deciens |  deciens (decies) adv.
decies |  decies
decima |  decima, ae f
decimana |  decimana, ae f
decimanus |  I decimanus (decumanus), a, um юр.
decimum |  decimum adv.
decimus |  I decimus (dеcumus), a, um m
decipio |  decipio, cepi, ceptum, ere поэт.
decisio |  decisio, onis f
Decius |  Decius, a, um
declamatio |  declamatio, onis f
declamator |  declamator, oris m
declamito |  declamito, avi, atum, are
declamo |  declamo, avi, atum, are
declaratio |  declaratio, onis f
declaro |  declaro, avi, atum, are
declinatio |  declinatio, onis f
declino |  declino, avi, atum, are
declive |  declive, is n
declivia |  declivia, ium n
declivis |  declivis, e
declivitas |  declivitas, atis f
decoco |  decoco, coxi, coctum, ere
decoctor |  decoctor, oris m
decoctum |  decoctum, i n
decolor |  decolor, oris
decoloro |  decoloro, avi, atum, are
decoquo |  decoquo (decoco), coxi, coctum, ere
decor |  I decor, oris m
decore |  decore adv.
decoro |  decoro, avi, atum, are
Decortenum |  Decorten(um, i n
Decortinum |  Decortin(um, i n
Decortonum |  Decorton(um, i n
decorum |  decorum, i n
decorus |  decorus, a, um
Decosteronum |  Decosteron(um, i n
Decostratum |  Decostrat(um, i n
decresco |  decresco, crevi, cretum, ere
decretum |  decretum, i n
decumanus |  decumanus
decumbo |  decumbo, cubui, --, ere
decumus |  decumus, a, um
decuria |  decuria, ae f
decuriatio |  decuriatio, onis f
decuriatus |  decuriatus, us m
decurio |  I decurio, avi, atum, are m
decurro |  decurro, curri (cucurri), cursum, ere воен.
decursio |  decursio, onis f
decursus |  decursus, us m
decurto |  decurto, avi, atum, are
decus |  decus, oris n
decussatio |  decussatio, onis f
decussatus |  decussatus, a, um
decutio |  decutio, cussi, cussum, ere
Dedalonum |  Dedalon(um, i n
dedeceo |  dedeceo, cui, --, ere
dedecor |  dedecor, oris
dedecoro |  dedecoro, avi, atum, are
dedecus |  dedecus, oris n
dedeleo |  dedeleo, dolui, --, ere
dedicatio |  dedicatio, onis f
dedico |  dedico, avi, atum, are
dedignor |  dedignor, atus sum, ari
dedisco |  dedisco, didici, --, ere
dediticius |  dediticius, a, um
deditio |  deditio, onis f
deditus |  deditus, a, um
dedo |  dedo, didi, ditum, ere
dedoceo |  dedoceo, --, --, ere
Dedoranum |  Dedoran(um, i n
deduco |  deduco, duxi, ductum, ere воен.
deductio |  deductio, onis f
deductor |  deductor, oris m
deductus |  deductus, a, um
deerro |  deerro, avi, atum, are
defatigatio |  defatigatio (defetigatio), onis f
defatigo |  defatigo (defetigo), avi, atum, are
defatiscor |  defatiscor, fessus sum, fatisci
defectio |  defectio, onis f
defectus |  I defectus, a, um m
defendo |  defendo, fendi, fensum, ere
defensio |  defensio, onis f
defenso |  defenso, --, --, are
defensor |  defensor, oris m
deferens |  deferens, entis анат.
deferentialis |  deferentialis, e анат.
defero |  defero, teli, latum, ferre pass.
Deferoxaminum |  Deferoxamin(um, i n
defervesco |  defervesco, fervi
defessus |  defessus, a, um
defetigatio |  defetigatio, onis f
defetigo |  defetigo, avi, atum, are
defetiscor |  defetiscor (defatiscor), fessus sum, fetisci
deficio |  deficio, feci, fectum, ere
defigo |  defigo, fixi, fixum, ere pass.
defingo |  defingo, finxi, fictum, ere
definio |  definio, ivi (ii), itum, ire
definite |  definite adv.
definitio |  definitio, onis f
defio |  defio, --, fieri
defixus |  defixus, a, um
deflagratio |  deflagratio, onis f
deflagro |  deflagro, avi, atum, are
deflecto |  deflecto, flexi, flexum, ere
defleo |  defleo, flevi, fletum, ere
defloresco |  defloresco, florui, --, ere
defluo |  defluo, fluxi, fluxum, ere
defodio |  defodio, fodi, fossum, ere
defore |  defore inf.
deformatio |  deformatio, onis f
deformis |  deformis, e
deformitas |  deformitas, atis f
deformo |  I deformo, avi, atum, are
defraudo |  defraudo, avi, atum, are
defrenatus |  defrenatus, a, um
defrico |  defrico, fricui, fricatum (frictum), are
defringo |  defringo, fregi, fractum, ere
defrutum |  defrutum, i n
defugio |  defugio, fugi, --, ere
defundo |  defundo, fudi, fusum, ere
defungor |  defungor, functus sum, fungi
degener |  degener, eris
degeneratio |  degeneratio, onis f
degenero |  degenero, avi, atum, are
dego |  dego, degi, --, ere
degrandinat |  degrandinat impers.
Degranolum |  Degranol(um, i n
degravo |  degravo, avi, atum, are
degredior |  degredior, gressus sum, gredi
degusto |  degusto, avi, atum, are
dehelminthisatio |  dehelminthisatio, onis f
dehinc |  dehinc adv.
dehiscens |  dehiscens, entis анат.
dehisco |  dehisco, --, --, ere
dehonestamentum |  dehonestamentum, i n
dehonesto |  dehonesto, --, --, are
dehortor |  dehortor, atus sum, ari
Dehycholum |  Dehychol(um, i n
Dehydratinum |  Dehydratin(um, i n
Dehydrobenzperidolum |  Dehydrobenzperidol(um, i n
Dehydrocholinum |  Dehydrocholin(um, i n
Dehydrocortisolum |  Dehydrocortisol(um, i n
Dehydrocortisonum |  Dehydrocortison(um, i n
Dehydrostreptomycinum |  Dehydrostreptomycin(um, i n
Deianira |  Deianira, ae f
deicio |  deicio, jeci, jectum, ere
Deidamia |  Deidamia, ae f
dein |  dein
deinceps |  deinceps adv.
deinde |  deinde (dein) adv.
Deionides |  Deionides, ae m
Deiphobe |  Deiphobe, es f
Deiphobus |  Deiphobus, i m
dejectio |  dejectio, onis f
dejectus |  I dejectus, a, um m
dejero |  dejero, avi, atum, are
dejicio |  dejicio (deicio), jeci, jectum, ere
dejuro |  dejuro, avi, atum, are
Dekadinum |  Dekadin(um, i n
Dekristolum |  Dekristol(um, i n
delabor |  delabor, lapsus sum, labi
Delagilum |  Delagil(um, i n
Delalutinum |  Delalutin(um, i n
delamentor |  delamentor, --, ari
delasso |  delasso, avi, atum, are
Delatestrylum |  Delatestryl(um, i n
delatio |  delatio, onis f
delator |  delator, oris m
Delcortinum |  Delcortin(um, i n
delectamentum |  delectamentum, i n
delectatio |  delectatio, onis f
delecto |  delecto, avi, atum, are pass.
delectus |  delectus, us m
delego |  delego, avi, atum, are
delenimentum |  delenimentum (delinimentum), i n
delenio |  delenio, (delinio), ivi, itum, ire
deleo |  deleo, levi, letum, ere
delestabilis |  delestabilis, e
deletrix |  deletrix, icis f
Delia |  Delia, ae f
Deliacus |  Deliacus, a, um
deliberabundus |  deliberabundus, a, um
deliberatio |  deliberatio, onis f
deliberator |  deliberator, oris m
delibero |  delibero, avi, atum, are
delibo |  delibo, avi, atum, are
delibro |  delibro, avi, atum, are
delibutus |  delibutus, a, um
delicate |  delicate adv.
delicatus |  delicatus, a, um
deliciae |  deliciae, arum f
delicium |  delicium, i n
delictum |  delictum, i n
deligo |  I deligo, avi, atum, are воен.
delin |  delin...
delinimentum |  delinimentum, i n
delinio |  delinio, ivi, itum, ire
delinquo |  delinquo, liqui, lictum, ere
deliquesco |  deliquesco, licui, --, ere
deliratio |  deliratio, onis f
deliro |  deliro, avi, --, are
delirus |  delirus, a, um
delitesco |  delitesco (delitisco), tui, --, ere
delitigo |  delitigo, --, --, are
delitisco |  delitisco), tui, --, ere
Delium |  Delium, i n
Delius |  I Delius, a, um m
Delmatae |  Delmatae, arum m
Delmatia |  Delmatia, ae f
Delmaticus |  Delmaticus, a, um
Delos |  Delos, i f
Delphi |  I Delphi, orum m
Delphicus |  Delphicus, a, um
delphin |  delphin, inis m
delphinus |  delphinus, i m
Delsolonum |  Delsolon(um, i n
Delta |  Delta n
delta |  delta, ae f
Deltalinum |  Deltalin(um, i n
Deltaminum |  Deltamin(um, i n
Deltastabum |  Deltastab(um, i n
Deltidrosolum |  Deltidrosol(um, i n
Deltisotonum |  Deltisoton(um, i n
deltoideus |  deltoideus, a, um анат.
Deltoton |  Deltoton, i n
delubrum |  delubrum, i n
deludo |  deludo, lusi, lusum, ere
Delvexum |  Delvex(um, i n
Delysidum |  Delysid(um, i n
demadesco |  demadesco, madui, --, ere
demando |  demando, avi, atum, are
demens |  demens, entis
dementer |  dementer adv.
dementia |  dementia, ae f
demercurisatio |  demercurisatio, onis f
demereo |  demereo, merui, --, ere
demereor |  demereor, meritus sum, eri
demergo |  demergo, mersi, mersum, ere
Demerolum |  Demerol(um, i n
demeto |  demeto, messui, messum, ere
demigratio |  demigratio, onis f
demigro |  demigro, avi, atum, are
deminuo |  deminuo, minui, minutum, ere
deminutio |  deminutio, onis f
demiror |  demiror, atus sum, ari
demisse |  demisse adv.
demissio |  demissio, onis f
demissus |  demissus, a, um
demitto |  demitto, misi, missum, ere воен.
demiurgus |  demiurgus (damiurgus), i m
demo |  demo, dempsi, demptum, ere
democratia |  democratia, ae f
Democritea |  Democritea, orum n
Democriteus |  Democriteus (-ius), a, um
Democritii |  Democritii, orum m
Democritus |  Democritus, i m
demolior |  demolior, molitus sum, iri
demolitio |  demolitio, onis f
demonstratio |  demonstratio, onis f
demonstro |  demonstro, avi, atum, are юр.
demorior |  demorior, mortuus sum, mori
demoror |  demoror, atus sum, ari
demoveo |  demoveo, movi, motum, ere
demugitus |  demugitus, a, um
demulceo |  demulceo, mulsi, mulsum (mulctum), ere
demum |  demum adv.
demurmuro |  demurmuro, --, --, are
denarius |  denarius, i m
denarro |  denarro, avi, atum, are
denato |  denato, --, --, are
Dendrilum |  Dendril(um, i n
dendrochronologia |  dendrochronologia, ae f
Dendrocopos |  Dendrocopos, i m
Dendrolagus |  Dendrolagus, i m
dendrologus |  dendrologus, i m
denego |  denego, avi, atum, are
deni |  deni, ae, a gen.
denique |  denique adv.
denomino |  denomino, avi, atum, are
denormo |  denormo, --, --, are
denoto |  denoto, avi, atum, are
dens |  dens, dentis m
dense |  dense adv.
denseo |  denseo, sui, --, ere pass.
denso |  denso, avi, atum, are
densus |  densus, a, um
dentalia |  dentalia, ium n
dentalis |  dentalis, e
dentatus |  dentatus, a, um
denticulatus |  denticulatus, a, um
dentiformis |  dentiformis, e
dentifricium |  dentifricium, i n
dentinum |  dentinum, i n
dentiscalpium |  dentiscalpium, i n
denubo |  denubo, nupsi, nuptum, ere
denudo |  denudo, avi, atum, are
denuntiatio |  denuntiatio, onis f
denuntio |  denuntio, avi, atum, are юр.
denuo |  denuo adv.
denus |  denus, a, um sg.
Deois |  Deois, idis f
Deoius |  Deoius, a, um
deonero |  deonero, --, --, are
depaciscor |  depaciscor (depeciscor), pactus (pectus) sum, pacisci (pecisci)
depasco |  depasco, pavi, pastum, ere
depascor |  depascor, pastus sum, pasci
depeciscor |  depeciscor, pectus sum, pecisci
depecto |  depecto, pexi, pexum, ere
depeculator |  depeculator, oris m
depeculor |  depeculor, peculatus sum, ari
depello |  depello, puli, pulsum, ere воен.
dependeo |  dependeo, --, --, ere
dependo |  dependo, pendi, pensum, ere
deperdo |  deperdo, perdidi, perditum, ere
depereo |  depereo, perii, periturus, ire
depingo |  depingo, pinxi, pictum, ere
deplango |  deplango, planxi, planctum, ere
deploro |  deploro, avi, atum, are
depolio |  depolio, avi, atum, are
depono |  depono, posui, positum, ere pass.
depopulatio |  depopulatio, onis f
depopulator |  depopulator, oris m
depopulatus |  depopulatus, a, um
depopulo |  depopulo, avi, atum, are
depopulor |  depopulor, atus sum, ari
deporto |  deporto, avi, atum, are
deposco |  deposco, poposci, --, ere
Deposulfalum |  Deposulfal(um, i n
Deposulum |  Deposul(um, i n
depraelior |  depraelior, --, ari
depravo |  depravo, avi, atum, are
deprecatio |  deprecatio, onis f
deprecator |  deprecator, oris m
deprecor |  deprecor, atus sum, ari
deprehendo |  deprehendo (deprendo), prehendi (prendi), prehensum (prensum), ere pass.
deprehensio |  deprehensio, onis f
deprendo |  deprendo, prendi, prensum, ere
Depressanum |  Depressan(um, i n
Depressinum |  Depressin(um, i n
depressor |  depressor, oris m
depressus |  depressus, a, um
Depridolum |  Depridol(um, i n
Depriminum |  Deprimin(um, i n
deprimo |  deprimo, pressi, pressum, ere
Deprinolum |  Deprinol(um, i n
deproelior |  deproelior, --, ari
depromo |  depromo, prompsi, promptum, ere
depropero |  depropero, --, --, are
depudet |  depudet, puduit, --, ere impers.
depugis |  depugis, e
depugno |  depugno, avi, atum, are
depulsio |  depulsio, onis f
depulsor |  depulsor, oris m
deputo |  deputo, --, --, are
depygis |  depygis, e
Dequadinum |  Dequadin(um, i n
Dequalonum |  Dequalon(um, i n
Dequasponum |  Dequaspon(um, i n
Derbe |  Derbe, es f
Derbetes |  Derbetes, is m
Derbices |  Derbices, um m
Dercetis |  Dercetis, is f
derectus |  derectus, a, um
derelinquo |  derelinquo, liqui, lictum, ere
derepente |  derepente adv.
derideo |  derideo, risi, risum, ere
deridiculum |  deridiculum, i n
