ea |  ea adv.
eadem |  eadem adv.
Ebenales |  Ebenales, ium f
ebenus |  ebenus (hebenus), i f
ebibo |  ebibo, bibi, --, ere поэт.
eblandior |  eblandior, itus sum, iri
Eboracum |  Eboracum, i n
ebrietas |  ebrietas, atis f
ebriosus |  ebriosus, a, um
ebrius |  ebrius, a, um
ebulum |  ebulum, i n
ebulus |  ebulus, i m
ebur |  ebur, oris n
eburneus |  I eburneus, a, um анат.
eburnus |  eburnus, a, um
Eburones |  Eburones, um m
Ebutolum |  Ebutol(um, i n
Ecbatana |  Ecbatana, orum n
ecce |  ecce adv.
ecdurus |  ecdurus, a, um
ecf |  ecf...
ecfercio |  ecfercio, --, fertum, ire
ecfodio |  ecfodio, fodi, fossum, ere
echeneis |  echeneis, idis f
echidna |  I echidna, ae f
Echinopanax |  Echinopanax, acis f
echinus |  echinus, i m
echo |  echo, us f
ecloga |  ecloga, ae f
Eclorilum |  Ecloril(um, i n
Ecmolinum |  Ecmolin(um, i n
ecquando |  ecquando adv.
ecqui |  ecqui, ecquae (ecqua), ecquod
ecquid |  ecquid adv.
ecquis |  ecquis, ecquid
ecquo |  ecquo adv.
ectoderma |  ectoderma, atis n
ectoplasma |  ectoplasma, atis n
ectropion |  ectropion, i n
eculeus |  I eculeus, a, um m
eczema |  eczema, atis n
Edatacalum |  Edatacal(um, i n
edax |  edax, acis
Edecrilum |  Edecril(um, i n
Edecrinum |  Edecrin(um, i n
eder |  eder...
Ederenum |  Ederen(um, i n
edico |  edico, dixi, dictum, ere
edictum |  edictum, i n
Edionum |  Edion(um, i n
edisco |  edisco, edidici, --, ere
edissero |  edissero, serui, sertum, ere
edisserto |  edisserto, avi, atum, are
editicius |  editicius, a, um
editio |  editio, onis f
editus |  editus, a, um
edo |  I edo, didi, ditum, ere pass.
edoceo |  edoceo, docui, doctum, ere
edomo |  edomo, ui, itum, are
edormio |  edormio, ivi, itum, ire
educatio |  educatio, onis f
educator |  educator, oris m
educo |  I educo, avi, atum, are
edulis |  edulis, e
edurus |  edurus (ecdurus), a, um
Efcamonum |  Efcamon(um, i n
effarcio |  effarcio (effercio, ecfercio), --, fertum, ire поэт.
effatum |  effatum, i n
effectus |  effectus, us m
effeminatus |  effeminatus, a, um
effemino |  effemino, avi, atum, are
efferatus |  efferatus, a, um
effercio |  effercio, --, fertum, ire
efferens |  efferens, entis анат.
effero |  I effero (ecfero), extuli, elatum, efferre pass.
efferus |  efferus (ecferus), a, um
effervesco |  effervesco, ferbui (fervi), --, ere
effervo |  effervo, --, --, ere поэт.
