faba |  faba, ae f
fabalis |  fabalis, e
fabella |  fabella, ae f
faber |  I faber, bra, brum m
fabrefactus |  fabrefactus, a, um
fabrica |  fabrica, ae f
fabricator |  fabricator, oris m
fabrico |  fabrico, avi, atum, are
fabricor |  fabricor, atus sum, ari
fabrilia |  fabrilia, ium n
fabrilis |  fabrilis, e
fabula |  fabula, ae f
fabulor |  fabulor, atus sum, ari
fabulosus |  fabulosus, a, um
facesso |  facesso, ivi, itum, ere
facete |  facete adv.
facetiae |  facetiae, arum f
facetum |  facetum, i n
facetus |  facetus, a, um
facialis |  facialis, e анат.
facies |  facies, ei f
facile |  facile adv.
facilis |  facilis, e
facilitas |  facilitas, atis f
facinerosus |  facinerosus, a, um
facinorosus |  facinorosus (facinerosus), a, um
facinus |  facinus, oris n
facio |  facio, feci, factum, ere
factio |  factio, onis f
factiosus |  factiosus, a, um
factito |  factito, avi, aturo, are
factum |  factum, i n
factus |  factus, a, um
facultas |  facultas, atis f
facunde |  facunde adv.
facundia |  facundia, аe f
facundus |  facundus, a, um
faecula |  faecula, ae f
faelis |  faelis
faen |  faen...
faenum |  faenum, i n
faex |  faex, faecis f
fagineus |  fagineus (faginus), a, um
fagus |  fagus, i f
falarica |  falarica (phalarica), ae f
falcarius |  falcarius, i m
falcatus |  falcatus, a, um
falcifer |  falcifer, era, erum
falciformis |  falciformis, e анат.
falcio |  falcio, fulsi, fultum, ire
Falco |  Falco, onis m
Falernum |  Falernum, i n
Falernus |  Falernus, a, um
Falicorum |  Falicor(um, i n
faliscus |  faliscus, i m
fallacia |  fallacia, ae f
fallaciter |  fallaciter adv.
fallax |  fallax, acis
fallo |  fallo, fefelli, falsum, ere pass.
falso |  falso adv.
falsum |  falsum, i n
falsus |  falsus, a, um
falx |  falx, falcis f
fama |  fama, ae f
famatus |  famatus, a, um
fames |  fames, is f
familia |  familia, ae f
familiaris |  I familiaris, e m
familiaritas |  familiaritas, atis f
familiariter |  familiariter adv.
famosus |  famosus, a, um
famula |  famula, ae f
famularis |  famularis, e
famulor |  famulor, atus sum, ari
famulus |  I famulus, a, um m
fanaticus |  fanaticus, a, um
Fanodormum |  Fanodorm(um, i n
fanum |  fanum, i n
far |  far, farris n
farcio |  farcio, farsi, farctum (fartum), ire
Farfara |  Farfara, ae f
Farganum |  Fargan(um, i n
farina |  farina, ae f
Farmotalum |  Farmotal(um, i n
farrago |  farrago, inis f
fartor |  fartor, oris m
fartum |  fartum, i n
Farutinum |  Farutin(um, i n
fas |  fas n
fasce |  fasce...
fascia |  fascia (fascea), ae f
fasciatus |  fasciatus, a, um
fasciculus |  I fasciculus, i m
fascino |  fascino, avi, atum, are
fascinum |  fascinum, i n
fascinus |  fascinus, i m
fasciola |  fasciola (fasceola), ae f
fasciolaris |  fasciolaris, e анат.
Fasciolinum |  Fasciolin(um, i n
fascis |  fascis, is m
fasti |  fasti, orum m
fastidio |  fastidio, ivi, itum, ire
fastidiose |  fastidiose adv.
fastidiosus |  fastidiosus, a, um поэт.
fastidium |  fastidium, i n
fastigate |  fastigate adv.
fastigatus |  fastigatus, a, um анат.
fastigium |  fastigium, i n
Fastinum |  Fastin(um, i n
fastus |  I fastus, a, um m
fatalis |  fatalis, e
fataliter |  fataliter adv.
fateor |  fateor, fassus sum, eri
faticanus |  faticanus
fatidicus |  fatidicus, a, um
fatifer |  fatifer, era, erum
fatigatio |  fatigatio, onis f
fatigo |  fatigo, avi, atum, are
fatiloquus |  fatiloquus, a, um
fatisco |  fatisco, --, --, ere
fatum |  fatum, i n
fatuus |  fatuus, a, um
fauces |  fauces, ium f
Faunus |  Faunus, i m
fauste |  fauste adv.
Faustulus |  Faustulus, i m
faustus |  faustus, a, um
fautor |  fautor, oris m
fautrix |  fautrix, icis f
faux |  I faux f
faveo |  faveo, favi, fautum, ere
favilla |  favilla, аe f
Favistanum |  Favistan(um, i n
favonius |  favonius, i m
favor |  favor, oris m
favus |  favus, i m
fax |  fax, facis f
Febridolum |  Febridol(um, i n
febris |  febris, is f
februa |  februa, orum n
februarius |  I februarius, a, um m
februus |  februus, a, um
Fecholinum |  Fecholin(um, i n
fecialis |  fecialis
fecunditas |  fecunditas, atis f
fecundo |  fecundo, (avi), atum, are
fecundus |  fecundus, a, um
fel |  fel, fellis n
feles |  feles (felles) f
Felicainum |  Felicain(um, i n
felicitas |  felicitas, atis f
feliciter |  feliciter adv.
Felidae |  Felidae, arum f
felis |  felis, is f
felix |  felix, icis
felles |  felles, is f
felleus |  felleus, a, um анат.
Felosanum |  Felosan(um, i n
Felsolum |  Felsol(um, i n
femen |  femen, inis n
Femerginum |  Femergin(um, i n
Femidinum |  Femidin(um, i n
femina |  femina, ae f
feminalia |  feminalia, ium n
femineus |  femineus, a, um
femininus |  femininus, a, um
femoralis |  femoralis, e анат.
femoropopliteus |  femoropopliteus, a, um анат.
femur |  femur, oris (inis) n
Fenactilum |  Fenactil(um, i n
Fenarsonum |  Fenarson(um, i n
Fendonum |  Fendon(um, i n
fenebris |  fenebris, e
feneratio |  feneratio, onis f
fenerator |  fenerator, oris m
feneror |  feneror, atus sum, ari
fenestra |  fenestra, ae f
fenestrula |  fenestrula, ae f
feneus |  feneus, a, um
fenile |  fenile, is n
Feniodolum |  Feniodol(um, i n
Fenisanum |  Fenisan(um, i n
Fenmetralinum |  Fenmetralin(um, i n
Fenmetrazinum |  Fenmetrazin(um, i n
Fentanestum |  Fentanest(um, i n
Fentanylcitratum |  Fentanylcitrat(um, i n
fenum |  fenum (faenum, foenum), i n
fenus |  fenus, oris n
fera |  fera, ae f
feracius |  feracius adv.
feralia |  feralia, ium n
feralis |  feralis, e
ferax |  ferax, acis
ferculum |  ferculum, i n
fere |  fere adv.
ferentarius |  ferentarius, i m
feretrum |  feretrum, i n
feriae |  feriae, arum f
feriatus |  feriatus, a, um
ferina |  ferina, ae f
ferinus |  ferinus, a, um
ferio |  ferio, --, --, ire
feritas |  feritas, atis f
ferme |  ferme
fermentum |  fermentum, i n
fero |  fero, tuli, latum, ferre воен.
ferocia |  ferocia, ae f
ferocitas |  ferocitas, atis f
ferociter |  ferociter adv.
ferox |  ferox, ocis
ferramentum |  ferramentum, i n
Ferramidum |  Ferramid(um, i n
ferraria |  ferraria, ae f
ferrarius |  ferrarius, a, um
ferratus |  ferratus, a, um
ferreus |  ferreus, a, um
Ferrobionum |  Ferrobion(um, i n
Ferrocalum |  Ferrocal(um, i n
Ferroceronum |  Ferroceron(um, i n
Ferrohaematogenum |  Ferrohaematogen(um, i n
ferrugineus |  I ferrugineus, a, um анат.
ferrugo |  ferrugo, inis f
ferrum |  ferrum, i n
Fertiligenum |  Fertiligen(um, i n
fertilis |  fertilis, e поэт.
fertilitas |  fertilitas, atis f
ferula |  ferula, ae f
ferus |  I ferus, a, um m
fervefacio |  fervefacio, feci, factum, ere
fervens |  fervens, entis
ferveo |  ferveo, bui, --, ere поэт.
fervidus |  fervidus, a, um
fervo |  fervo, vi, --, ere
fervor |  fervor, oris m
fessus |  fessus, a, um
festinanter |  festinanter adv.
festinatio |  festinatio, onis f
festino |  festino, avi, atum, are
festinus |  festinus, a, um
festive |  festive adv.
festivitas |  festivitas, atis f
festivus |  festivus, a, um
festum |  festum, i n
festus |  festus, a, um
feta |  feta, ae f
fetialis |  I fetialis, e m
fetidus |  fetidus, a, um
fetura |  fetura, ae f
fetus |  I fetus (foetus), a, um поэт.
FF |  FF сокр. от
FF. |  FF. сокр. от
fibra |  fibra, ae f
Fibrinogenum |  Fibrinogen(um, i n
Fibrinoiysinum |  Fibrinoiysin(um, i n
fibrocartilagineus |  fibrocartilagineus, a, um анат.
fibrocartilago |  fibrocartilago, inis f
fibroelasticus |  fibroelasticus, a, um анат.
fibroma |  fibroma, atis n
fibromyoma |  fibromyoma, atis n
fibrosis |  fibrosis, is f
fibrosus |  fibrosus, a, um анат.
fibula |  fibula, ae f
fibularis |  fibularis, e анат.
fibulocalcanearis |  fibulocalcanearis, e анат.
ficte |  ficte adv.
fictile |  fictile, is n
fictilis |  fictilis, e
fictor |  fictor, oris m
fictum |  fictum, i n
fictus |  I fictus, a, um m
ficulnus |  ficulnus, a, um
ficus |  ficus, i f
fidelis |  fidelis, e
fidelitas |  fidelitas, atis f
fideliter |  fideliter adv.
fidens |  fidens, entis
fides |  I fides, ei f
fidicen |  fidicen, inis m
fidicina |  fidicina, ae f
fidiculae |  fidiculae, arum f
fido |  fido, fisus sum, ere
fiducia |  fiducia, ae f
fiduciarius |  fiduciarius, a, um
fidus |  fidus, a, um
figo |  figo, fixi, fixum, ere
figura |  figura, ae f
figuro |  figuro, avi, atum, are
filia |  filia, ae f
filiformis |  filiformis, e
filiola |  filiola, ae f
filiolus |  filiolus, i m
filius |  filius, i m
filix |  filix, icis f
Filixanum |  Filixan(um, i n
filum |  filum, i n
fimbria |  fimbria, ae f
fimbriae |  fimbriae, arum f
fimbriatus |  fimbriatus, a, um анат.
fimum |  fimum, i n
fimus |  fimus, i m
findo |  findo, fidi, fissum, ere pass.
fingo |  fingo, finxi, fictum, ere
finiens |  finiens, entis m
finio |  finio, ivi, itum, ire
finis |  finis, is m
finitimi |  finitimi, orum m
finitimus |  finitimus (finitumus), a, um
finitor |  finitor, oris m
finitumus |  finitumus, a, um
fio |  fio, factus sum, fieri pass.
firmamen |  firmamen, inis n
firmamentum |  firmamentum, i n
Firmicutes |  Firmicutes, ium m
firmitas |  firmitas, atis f
firmiter |  firmiter adv.
firmitudo |  firmitudo, inis f
firmo |  firmo, avi, atum, are
firmus |  firmus, a, um воен.
fiscella |  fiscella, ae f
fiscina |  fiscina, ae f
fiscus |  fiscus, i m
fissilis |  fissilis, e
fissura |  fissura, ae f
fissus |  fissus, a, um анат.
fistuca |  fistuca, ae f
fistula |  fistula, ae f
fistulosus |  fistulosus, a, um анат.
fistulotomia |  fistulotomia, ae f
fixatio |  fixatio, onis f
fixus |  fixus, a, um анат.
Fl |  Fl сокр. от
Flabellinum |  Flabellin(um, i n
flabellum |  flabellum, i n
flabrum |  flabrum, i n
flaccidus |  flaccidus, a, um анат.
flaccus |  flaccus, a, um
flagella |  flagella, ae f
flagello |  flagello, avi, atum, are
flagellum |  flagellum, i n
Flagesolum |  Flagesol(um, i n
flagitatio |  flagitatio, onis f
flagitatur |  flagitatur, oris m
flagitiose |  flagitiose adv.
flagitiosus |  flagitiosus, a, um
flagitium |  flagitium, i n
flagito |  flagito, avi, atum, are
flagrans |  flagrans, antis
flagrantia |  flagrantia, ae f
flagro |  flagro, avi, atum, are
flagrum |  flagrum, i n
Flagylum |  Flagyl(um, i n
flamen |  I flamen, inis m
flaminica |  flaminica, ae f
flaminium |  flaminium, i n
flamma |  flamma, ae f
flammeus |  flammeus, a, um
flammifer |  flammifer, era, erum
flammo |  flammo, avi, atum, are
Flamotidum |  Flamotid(um, i n
flasco |  flasco, onis f
flatus |  flatus, us m
Flavaxinum |  Flavaxin(um, i n
flaveo |  flaveo, --, --, ere
flavesco |  flavesco, --, --, ere
flavimaculatus |  flavimaculatus, a, um
Flavinum |  Flavin(um, i n
Flavipinum |  Flavipin(um, i n
Flavitolum |  Flavitol(um, i n
Flavius |  Flavius, a, um
Flavofunginum |  Flavofungin(um, i n
Flavugalum |  Flavugal(um, i n
flavus |  flavus, a, um поэт.
flebilis |  flebilis, e
flebiliter |  flebiliter adv.
flecto |  flecto, flexi, flexum, ere
Flegylum |  Flegyl(um, i n
fleo |  fleo, flevi, fletum, ere
fletus |  fletus, us m
flexanimus |  flexanimus, a, um
flexibilis |  flexibilis, e
flexilis |  flexilis, e
flexio |  flexio, onis f
flexipes |  flexipes, edis
flexor |  flexor, oris m
flexuosus |  flexuosus, a, um
flexura |  flexura, ae f
flexus |  I flexus, a, um анат.
flictus |  flictus, us m
flo |  flo, avi, atum, are
flocculus |  flocculus, i m
Flogicortum |  Flogicort(um, i n
Flora |  Flora, ae f
florens |  florens, entis
floreo |  floreo, ui, --, ere
floresco |  floresco, --, --, ere
floreus |  floreus, a, um
floridus |  floridus, a, um
floriger |  floriger, era, erum бот.
florilegus |  florilegus, a, um
flos |  flos, floris m
flosculus |  flosculus, i m
Flp |  Flp сокр. от
Flucortum |  Flucort(um, i n
Fluctanum |  Fluctan(um, i n
fluctuans |  fluctuans, antis
fluctuatio |  fluctuatio, onis f
fluctuo |  fluctuo, avi, atum, are
fluctuor |  fluctuor, atus sum, ari
fluctus |  fluctus, us m
fluens |  fluens, entis
fluentum |  fluentum, i n
fluidus |  fluidus, a, um
fluito |  fluito, avi, atum, are
Flumazinum |  Flumazin(um, i n
flumen |  flumen, inis n
Flumezinum |  Flumezin(um, i n
flumineus |  flumineus, a, um
Flumoperonum |  Flumoperon(um, i n
fluo |  fluo, fluxi, fluxum, ere
Fluocortolonum |  Fluocortolon(um, i n
Fluosterolonum |  Fluosterolon(um, i n
Fluothanum |  Fluothan(um, i n
