Gades |  Gades, ium f
Gadexylum |  Gadexyl(um, i n
gaesum |  gaesum, i n
Gaetuli |  Gaetuli, orum m
Gajus |  Gajus, a, um
galactocele |  galactocele, es f
galactorrhoea |  galactorrhoea, ae f
galactostasis |  galactostasis, is f
Galba |  Galba, ae m
galbaneus |  galbaneus, a, um
galbanum |  galbanum, i n
galea |  galea, ae f
galeo |  galeo, avi, atum, are pass.
galerum |  galerum, i n
galerus |  galerus, i m
galla |  galla, ae f
Galli |  Galli, orum m
Gallia |  Gallia, ae f
gallina |  gallina, ae f
gallinaceus |  gallinaceus, a, um
gallinarius |  gallinarius, a, um
gallus |  I gallus, i m
Galmaninum |  Galmanin(um, i n
gamogenesis |  gamogenesis, is f
ganea |  ganea, ae f
ganeo |  ganeo, onis m
ganeum |  ganeum, i n
Ganges |  Ganges, is ( acc.
ganglion |  ganglion, i n
Gangliostatum |  Gangliostat(um, i n
Ganymedes |  Ganymedes, is m
Gardenalum |  Gardenal(um, i n
Garimicinum |  Garimicin(um, i n
garon |  garon (garum), i n
garrio |  garrio, ivi (ii), itum, ire
garrulitas |  garrulitas, atis f
garrulus |  garrulus, a, um поэт.
garum |  garum, i n
Garumna |  Garumna, ae m
gas |  I gas n
gaster |  gaster, tris f
gastralgia |  gastralgia, ae f
gastrectasia |  gastrectasia, ae f
gastrectomia |  gastrectomia, ae f
gastricus |  gastricus, a, um анат.
Gastriponum |  Gastripon(um, i n
gastritis |  gastritis, idis f
Gastrobamatum |  Gastrobamat(um, i n
gastrocele |  gastrocele, es f
gastrocnemius |  gastrocnemius, a, um анат.
gastrocolicus |  gastrocolicus, a, um анат.
gastroduodenalis |  gastroduodenalis, e анат.
gastroduodenoscopia |  gastroduodenoscopia, ae f
gastroduodenostomia |  gastroduodenostomia, ae f
gastroenteritis |  gastroenteritis, idis f
gastroenterocolitis |  gastroenterocolitis, idis f
gastroenterologia |  gastroenterologia, ae f
gastroenterostomia |  gastroenterostomia, ae f
gastroepiploicus |  gastroepiploicus, a, um анат.
gastroesophagostomia |  gastroesophagostomia, ae f
gastrogenus |  gastrogenus, a, um мед.
gastrointestinalis |  gastrointestinalis, e мед.
gastrolienalis |  gastrolienalis, e анат.
gastropancreaticus |  gastropancreaticus, a, um анат.
gastrophrenicus |  gastrophrenicus, a, um анат.
Gastropoda |  Gastropoda, orum n
gastroptosis |  gastroptosis, is f
gastrorrhagia |  gastrorrhagia, ae f
gastroscopia |  gastroscopia, ae f
gastrospasmus |  gastrospasmus, i m
gastrostoma |  gastrostoma, atis n
gastrostomia |  gastrostomia, ae f
gastrula |  gastrula, ае f
gastrulatio |  gastrulatio, onis f
gaudeo |  gaudeo, gavisus sum, ere
gaudium |  gaudium, i n
gausape |  gausape, is n
gausapum |  gausapum, i n
gaza |  gaza, ae f
gelatina |  gelatina, ae f
gelatinosus |  gelatinosus, a, um фармац.
gelicidium |  gelicidium, i n
gelida |  gelida, ae f
gelide |  gelide adv.
gelidus |  gelidus, a, um поэт.
gelu |  gelu, us n
gemebundus |  gemebundus, a, um
gemelliparus |  gemelliparus, a, um
gemellus |  gemellus, a, um анат.
gemino |  gemino, avi, atum, are pass.
geminus |  geminus, a, um
gemitus |  gemitus, us m
gemma |  gemma, ae f
gemmatio |  gemmatio, onis f
gemmatus |  gemmatus, a, um
gemmeus |  gemmeus, a, um
gemmo |  gemmo, avi, atum, are
gemo |  gemo, ui, itum, ere
gena |  gena, ae f
Genacortum |  Genacort(um, i n
Genasprinum |  Genasprin(um, i n
Genava |  Genava, ae f
gener |  gener, eri m
generalis |  generalis, e
generatim |  generatim adv.
generatio |  generatio, onis f
generator |  generator, oris m
genero |  genero, avi, atum, are pass.
generose |  generose adv.
generosus |  generosus, a, um
genesis |  genesis, is f
genetivus |  genetivus, a, um
genetrix |  genetrix, icis f
genialis |  I genialis, e m
genialiter |  genialiter adv.
geniculatus |  geniculatus, a, um
geniculum |  geniculum, i n
genioglossus |  genioglossus, a, um анат.
genion |  genion, i n
genista |  genista, ae f
genitalis |  genitalis, e анат.
genitivus |  genitivus, a, um
genitofemoralis |  genitofemoralis, e анат.
genitoinguinalis |  genitoinguinalis, e анат.
genitor |  genitor, oris m
genitrix |  genitrix
genius |  genius, i m
geno |  geno, nui, nitum, ere арх.
Genocainum |  Genocain(um, i n
Genophyllinum |  Genophyllin(um, i n
genotypus |  genotypus, i m
Genoxalum |  Genoxal(um, i n
gens |  gens, gentis f
Gentiana |  Gentiana, ae f
gentilicius |  gentilicius, a, um
gentilis |  gentilis, e
genu |  genu, us n
Genua |  Genua, ae f
genuale |  genuale, is n
genuinus |  genuinus, a, um
genus |  genus, eris n
Geocortonum |  Geocorton(um, i n
Geomycinum |  Geomycin(um, i n
Gergovia |  Gergovia, ae f
Geriocainum |  Geriocain(um, i n
germana |  germana, ae f
Germani |  Germani, orum m
Germania |  Germania, ae f
germanicus |  I germanicus, a, um m
germanitas |  germanitas, atis f
germanus |  I germanus, a, um m
germen |  germen, inis n
germinativus |  germinativus, a, um анат.
germino |  germino, avi, atum, are
gero |  gero, gessi, gestum, ere pass.
Gerodylum |  Gerodyl(um, i n
Gerovitum |  Gerovit(um, i n
Gerulcinum |  Gerulcin(um, i n
gerulus |  gerulus, i m
gestamen |  gestamen, inis n
gestio |  gestio, ivi (ii), itum, ire
gesto |  gesto, avi, atum, are
Gestonum |  Geston(um, i n
gestus |  gestus, us m
gesum |  gesum
Getae |  Getae, arum m
Gidomycinum |  Gidomycin(um, i n
gignentia |  gignentia, ium n
gigno |  gigno, genui, genitum, ere
Gilurytmalum |  Gilurytmal(um, i n
gilvus |  gilvus, a, um
Ginandrinum |  Ginandrin(um, i n
Gineflavirum |  Gineflavir(um, i n
gingiva |  gingiva, ае f
ginglymus |  ginglymus, i m
Girepinum |  Girepin(um, i n
Gitalenum |  Gitalen(um, i n
Gitoxinum |  Gitoxin(um, i n
glabella |  glabella, ае f
glacialis |  glacialis, e
glacies |  glacies, ei f
glacio |  glacio, avi, atum, are
gladiator |  gladiator, oris m
gladiatorium |  gladiatorium, i n
gladiatorius |  gladiatorius, a, um
gladius |  gladius, i m
glaeba |  glaeba, ae f
glandifer |  glandifer, era, erum
Glandubolinum |  Glandubolin(um, i n
Glanduitrinum |  Glanduitrin(um, i n
glandula |  glandula, ae f
glandularis |  glandularis, e анат.
glans |  glans, glandis f
glarea |  glarea, ae f
glareosus |  glareosus, a, um
Glaucidium |  Glaucidium, i n
glaucoma |  glaucoma, atis n
