iambeus |  iambeus, a, um
iambus |  iambus, i m
Iapetus |  Iapetus, i m
Iason | Iason, onis m
iaspis |  iaspis, idis f
Iastilum |  Iastil(um, i n
Iber |  Iber...
ibi |  ibi adv.
Ibioxylum |  Ibioxyl(um, i n
ibis |  ibis (is f
ibiscum |  ibiscum
Ibycus |  Ibycus, i m
Icaria |  Icaria, ae f
Icarus |  Icarus, i m
iccirco |  iccirco
Ichthamum |  Ichtham(um, i n
Ichthyolatus |  Ichthyolatus, a, um
Ichthyolum |  Ichthyol(um, i n
Ichthyopanum |  Ichthyopan(um, i n
Ichthyosulfolum |  Ichthyosulfol(um, i n
icio |  icio (ico), ici, ictum, ere
icterus |  icterus, i m
ictus |  ictus, us m
Ida |  Ida, ae f
idcirco |  idcirco (iccirco) adv.
idem |  idem, eadem, idem
identidem |  identidem adv.
ideo |  ideo adv.
Idexurum |  Idexur(um, i n
idiota |  idiota, ae m
idoneus |  idoneus, a, um
Idorutinum |  Idorutin(um, i n
Idoxuridinum |  Idoxuridin(um, i n
Idrianolum |  Idrianol(um, i n
Idrilum |  Idril(um, i n
Idumaea |  Idumaea, ae f
Iduridinum |  Iduridin(um, i n
idus |  idus, uum f
Iduviranum |  Iduviran(um, i n
igitur |  igitur adv.
ignarus |  ignarus, a, um
ignave |  ignave adv.
ignavia |  ignavia, ae f
ignaviter |  ignaviter
ignavus |  ignavus, a, um
ignesco |  ignesco, --, --, ere поэт.
igneus |  igneus, a, um поэт.
igniculus |  igniculus, i m
ignifer |  ignifer, era, erum
ignigena |  ignigena, ae m
ignipes |  ignipes, edis
ignipotens |  ignipotens, entis
ignis |  ignis, is m
ignitus |  ignitus, a, um
ignobilis |  ignobilis, e
ignobilitas |  ignobilitas, atis f
ignominia |  ignominia, ae f
ignominiosus |  ignominiosus, a, um
ignorantia |  ignorantia, ae f
ignoratio |  ignoratio, onis f
ignoratus |  ignoratus, a, um
ignoro |  ignoro, avi, atum, are
ignosco |  ignosco, novi, notum, ere
ignotus |  I ignotus, a, um part.
IHS |  IHS сокр. от
II |  II сокр. от
IIS |  IIS сокр. от
ileum |  ileum, i n
ileus |  ileus, a, um анат.
ilex |  ilex, icis f
Ilia |  I Ilia, ae f
iliacus |  iliacus, a, um анат.
Ilias |  Ilias, adis f
ilicet |  ilicet adv.
ilico |  ilico (illico) adv.
ilignus |  ilignus, a, um
iliocecalis |  iliocecalis, e анат.
iliococcygeus |  iliococcygeus, a, um анат.
iliocolicus |  iliocolicus, a, um анат.
iliocostalis |  iliocostalis, e анат.
iliofemoralis |  iliofemoralis, e анат.
iliohypogastricus |  iliohypogastricus, a, um анат.
ilioinguinalis |  ilioinguinalis, e анат.
iliolumbalis |  iliolumbalis, e анат.
Ilion |  Ilion (Ilium), i n
iliopectineus |  iliopectineus, a, um анат.
iliopsoas |  iliopsoas m
iliopubicus |  iliopubicus, a, um анат.
iliosacralis |  iliosacralis, e анат.
iliotibialis |  iliotibialis, e анат.
illa |  illa adv.
illabefactus |  illabefactus, a, um
illabor |  illabor, lapsus sum, labi
illac |  illac adv
illacrimabilis |  illacrimabilis, e
illacrimo |  illacrimo, avi, atum, are
illacrimor |  illacrimor, atus sum, ari
illaesus |  illaesus, a, um
illaetabilis |  illaetabilis, e
illaqueo |  illaqueo, avi, atum, are
illaudatus |  illaudatus, a, um
illautus |  illautus, a, um
ille |  ille, illa, illud gen.
illecebra |  illecebra, ae f
illectus |  I illectus, a, um part.
illepide |  illepide adv.
illibatus |  illibatus, a, um
illiberalis |  illiberalis, e
illiberalitas |  illiberalitas, atis f
illic |  illic adv
illicio |  illicio, lexi, lectum, ere
illicitus |  illicitus, a, um
illico |  illico adv.
illido |  illido, lisi, lisum, ere
illigo |  illigo, avi, atum, are
illim |  illim adv.
illimis |  illimis, e
