labecula |  labecula, ae f
labefacio |  labefacio, feci, factum, ere
labefacto |  labefacto, avi, atum, are pass.
labefio |  labefio, factus sum, fieri pass.
labellum |  I labellum, i n
labes |  labes, is f
labialis |  labialis, e анат.
Labitonum |  Labiton(um, i n
labium |  labium, i n
labo |  labo, avi, atum, are
labor |  I labor, lapsus sum, labi pass.
laborifer |  laborifer, era, erum
laboriose |  laboriose adv.
laboriosus |  laboriosus, a, um
laboro |  laboro, avi, atum, are
labrum |  I labrum, i n
labrusca |  labrusca, ae f
labruscum |  labruscum, i n
labyrinthus |  labyrinthus (-os), i m
lac |  lac, lactis n
Lacaena |  Lacaena, ae f
Lacedaemon |  Lacedaemon, onis f
Lacedaemonius |  Lacedaemonius, a, um
lacer |  lacer, era, erum
laceratio |  laceratio, onis f
lacerna |  lacerna, ae f
lacero |  lacero, avi, atum, are
lacerta |  lacerta, ae f
lacertosus |  lacertosus, a, um
lacertus |  I lacertus, i m
lacesso |  lacesso, ivi (ii), itum, ere
Lachesis |  Lachesis, is f
lacinia |  lacinia, ae f
laciniatus |  laciniatus, a, um анат.
lacinula |  lacinula, ae f
Laco |  Laco, onis m
Laconica |  Laconica, ae f
Laconicus |  Laconicus, a, um
lacrima |  lacrima (lacruma), ae f
lacrimabilis |  lacrimabilis (lacrumabilis), e
lacrimabundus |  lacrimabundus, a, um
lacrimalis |  lacrimalis, e анат.
lacrimo |  lacrimo (lacrumo), avi, atum, are
lacrimoconchalis |  lacrimoconchalis, e анат.
lacrimomaxillaris |  lacrimomaxillaris, e анат.
lacrimosus |  lacrimosus (lacrumusus), a, um
lacrimula |  lacrimula, ae f
lacrum |  lacrum...
lactas |  lactas, atis m
lactens |  lactens, entis adj.
lacteo |  lacteo, --, --, ere
lacteus |  lacteus, a, um
lacticus |  lacticus, a, um
lactifer |  lactifer, era, erum
lacto |  lacto, --, --, are
Lactobenum |  Lactoben(um, i n
Lactofiavinum |  Lactofiavin(um, i n
lactuca |  lactuca, ae f
Lacuminum |  Lacumin(um, i n
lacuna |  lacuna, ae f
lacunar |  lacunar, aris n
lacuno |  lacuno, --, --, are
lacus |  lacus, us m
laedo |  laedo, laesi, laesum, ere
Laemoranum |  Laemoran(um, i n
laena |  laena, ae f
Laerta |  Laerta (Laertes), ae (is) m
Laestrygones |  Laestrygones, um m
laetabilis |  laetabilis, e
laetans |  laetans, antis
laetatio |  laetatio, onis f
laete |  laete adv.
laetitia |  laetitia, ae f
laetor |  laetor, atus sum, ari
laetus |  laetus, a, um
laeva |  I laeva, ae f
laeve |  laeve adv.
laevigo |  laevigo
laevis |  laevis
laevo |  laevo
Laevoiodinum |  Laevoiodin(um, i n
Laevomepromazinum |  Laevomepromazin(um, i n
Laevomycetinum |  Laevomycetin(um, i n
laevor |  laevor
laevum |  laevum, i n
laevus |  laevus, a, um
laganum |  laganum, i n
lagena |  lagena, ae f
lageos |  lageos, ei f
lagoena |  lagoena (lagona, lagena), ae f
lagois |  lagois, idis f
Lagostrophus |  Lagostrophus, i m
Laiades |  Laiades, ae m
Laius |  Laius (Lajus), i m
lama |  lama, ae f
lambdoideus |  lambdoideus, a, um анат.
lambo |  lambo, lambi, lambitum, ere
Lambratenum |  Lambraten(um, i n
lamella |  lamella, ae f
lamellosus |  lamellosus, a, um анат.
lamentabilis |  lamentabilis, e
lamentatio |  lamentatio, onis f
lamentor |  lamentor, atus sum, ari
lamentum |  lamentum, i n
lamia |  lamia, ae f
lamina |  lamina (lamna, lammina, lammna), ae f
Laminaria |  Laminaria, ae f
lammina |  lammina
lammna |  lammna
lamna |  lamna
Lamorylum |  Lamoryl(um, i n
lampadium |  lampadium, i n
lampas |  lampas, adis acc.
lamyrus |  lamyrus, i m
lana |  lana, ae f
Lanacardum |  Lanacard(um, i n
Lanacordalum |  Lanacordal(um, i n
Lanacordinum |  Lanacordin(um, i n
Lanacristum |  Lanacrist(um, i n
lanatus |  lanatus, a, um
lancea |  lancea, ae f
laneus |  laneus, a, um
Langobardi |  Langobardi, orum m
langueo |  langueo, gui, --, ere
languesco |  languesco, langui, --, ere
languide |  languide adv.
languidulus |  languidulus, a, um
languidus |  languidus, a, um
languor |  languor, oris m
lanicium |  lanicium, i n
Lanicorum |  Lanicor(um, i n
laniena |  laniena, ae f
lanificus |  lanificus, a, um
laniger |  laniger, era, erum
lanio |  lanio, avi, atum, are
lanista |  lanista, ae m
lanius |  lanius, i m
Lanolinum |  Lanolin(um, i n
Lanoralum |  Lanoral(um, i n
Lanoxinum |  Lanoxin(um, i n
