Macedo |  Maced(o), onis m
Macedonia |  Macedonia, ae f
macellum |  macellum, i n
macer |  macer, cra, crum поэт.
maceratio |  maceratio, onis f
maceria |  maceria, ae f
macero |  macero, avi, atum, are
Machaon |  Machaon, onis m
machina |  machina, ae f
machinamentum |  machinamentum, i n
machinarius |  machinarius, i m
machinatio |  machinatio, onis f
machinator |  machinator, oris m
machinor |  machinor, atus sum, ari
macies |  macies, ei f
macresco |  macresco, crui, --, ere
macroblastus |  macroblastus, i m
macrocarpus |  macrocarpus, a, um биолог.
macrocephalia |  macrocephalia, ae f
macrocephalus |  macrocephalus, a, um биолог.
macrocheilia |  macrocheilia, ae f
macrococcus |  macrococcus, i m
macrocytus |  macrocytus, i m
Macrodexum |  Macrodex(um, i n
macrogametocytus |  macrogametocytus, i m
macrogenia |  macrogenia, ae f
macroglossia |  macroglossia, ae f
macromastia |  macromastia, ae f
Macropus |  Macropus, odis m
macto |  macto, avi, atum, are
mactus |  mactus, a, um voc.
macula |  macula, ae f
maculipennis |  maculipennis, e биолог.
maculo |  maculo, avi, atum, are
maculosus |  maculosus, a, um
madefacio |  madefacio, feci, factum, ere
madefio |  madefio, factus sum, fieri pass.
madeo |  madeo, dui, --, ere поэт.
madesco |  madesco, dui, --, ere
madidus |  madidus, a, um поэт.
Madiolum |  Madiol(um, i n
mador |  mador, oris m
Madribonum |  Madribon(um, i n
Madriginum |  Madrigin(um, i n
Madroxinum |  Madroxin(um, i n
Maeander |  Maeander, dri m
Maecenas |  Maecenas, atis m
maena |  maena (mena), ae f
Maeonia |  Maeonia, ae f
Maeotae |  Maeotae, arum m
Maeotis |  Maeotis, idis (idos)
maereo |  maereo, --, --, ere
maeror |  maeror, oris m
maestitia |  maestitia, ae f
maestus |  maestus, a, um
mage |  mage adv.
magicus |  magicus, a, um
magis |  I magis adv.
magister |  magister, tri m
magisterium |  magisterium, i n
magistra |  magistra, ae f
magistratus |  magistratus, us m
magmentarius |  magmentarius, a, um
magnanimitas |  magnanimitas, atis f
magnanimus |  magnanimus, a, um
magnes |  magnes, etis m
Magnesia |  Magnesia, ae f
magnetophonum |  magnetophonum, i n
magnifica |  magnifica, orum n
magnifice |  magnifice adv.
magnificentia |  magnificentia, ae f
magnificus |  magnificus, a, um compar.
magnifolius |  magnifolius, a, um биолог.
magniloquentia |  magniloquentia, ae f
magniloquus |  magniloquus, a, um
magnitudo |  magnitudo, inis f
Magnolia |  Magnolia, ae f
magnopere |  magnopere adv.
Magnosilum |  Magnosil(um, i n
magnus |  magnus, a, um compar.
Magsorbentum |  Magsorbent(um, i n
magus |  I magus, a, um m
Maja |  Maja, ae f
majalis |  majalis, is m
majestas |  majestas, atis f
Majus |  I Majus, a, um m
mala |  mala, ae f
Malabenum |  Malaben(um, i n
malacia |  malacia, ae f
Malarexum |  Malarex(um, i n
Malaricidum |  Malaricid(um, i n
malaris |  malaris, e анат.
male |  male adv.
maledice |  maledice adv.
maledico |  maledico, dixi, dictum, ere
maledictio |  maledictio, onis f
maledictum |  maledictum, i n
maledicus |  maledicus, a, um compar.
malefactum |  malefactum, i n
maleficium |  maleficium, i n
maleficus |  maleficus, a, um
Malestronum |  Malestron(um, i n
malesuadus |  malesuadus, a, um
malevolentia |  malevolentia, ae f
malevolus |  malevolus, a, um superl.
malifer |  malifer, era, erum
malificium |  malificium
