ob |  ob praep cum acc.
obaerati |  obaerati, orum m
obaeratus |  obaeratus, a, um
obambulo |  obambulo, avi, atum, are
obarmo |  obarmo, --, --, are
obaro |  obaro, avi, --, are
obc |  obc...
obdo |  obdo, didi, ditum, ere
obdormio |  obdormio, ivi (ii), itum, ire
obdormisco |  obdormisco, mivi, --, ere
obduco |  obduco, duxi, ductum, ere
obductio |  obductio, onis f
obduresco |  obduresco, durui, --, ere,
obduro |  obduro, --, --, are
obed |  obed...
obeo |  obeo, ivi (ii), itum, ire поэт.
obequito |  obequito, avi, atum, are
oberro |  oberro, avi, atum, are
obesus |  obesus, a, um поэт.
obex |  I obex m
obf |  obf...
obicio |  obicio
obirascor |  obirascor, --, irasci
obiratus |  obiratus, a, um
obiter |  obiter adv.
obitus |  obitus, us m
objaceo |  objaceo, cui, --, ere
objectatio |  objectatio, onis f
objecto |  objecto, avi, atum, are
objectus |  I objectus, a, um part.
objex |  objex (obex), icis m
objicio |  objicio (obicio), jeci, jectum, ere pass.
objurgatio |  objurgatio, onis f
objurgator |  objurgator, oris m
objurgo |  objurgo, avi, atum, are
oblectamen |  oblectamen, inis n
oblectamentum |  oblectamentum, i n
oblectatio |  oblectatio, onis f
oblecto |  oblecto, avi, atum, are pass.
oblicus |  oblicus, a, um
oblido |  oblido, lisi, lisum, ere
obligatio |  obligatio, onis f
obligatus |  obligatus, a, um
obligo |  obligo, avi, atum, are pass.
oblimo |  oblimo, avi, atum, are поэт.
oblino |  oblino, levi, litum, ere
oblique |  oblique adv.
obliquo |  obliquo, avi, atum, are
obliquus |  obliquus, a, um
oblitero |  oblitero
oblitesco |  oblitesco, tui, --, ere
oblittero |  oblittero (oblitero), avi, atum, are pass.
oblivio |  oblivio, onis f
obliviosus |  obliviosus, a, um
obliviscor |  obliviscor, oblitus sum, oblivisci
oblivium |  oblivium, i n
oblongatus |  oblongatus, a, um биолог.
oblongus |  oblongus, a, um
obloquor |  obloquor, quutus (cutus) sum, loqui поэт.
obluctor |  obluctor, atus sum, ari
obmolior |  obmolior, litus sum, iri
obmurmuro |  obmurmuro, avi, atum, are
obmutesco |  obmutesco, mutui, --, ere
obnascor |  obnascor, natus sum, nasci
obnitor |  obnitor, nixus (nisus) sum, niti
obnixe |  obnixe adv.
obnixus |  obnixus, a, um
obnoxie |  obnoxie adv.
obnoxius |  obnoxius, a, um
obnubo |  obnubo, --, --, ere
obnuntiatio |  obnuntiatio, onis f
obnuntio |  obnuntio, avi, atum, are
oboediens |  oboediens, entis
oboedienter |  oboedienter adv.
oboedientia |  oboedientia, ae f
oboedio |  oboedio, ivi, itum, ire
oborior |  oborior, ortus sum, iri
obrepo |  obrepo, repsi, reptum, ere
obrigesco |  obrigesco, rigui, --, ere
obrogo |  obrogo, avi, atum, are
obruo |  obruo, rui, rutum, ere
obrussa |  obrussa, ae f
obsaepio |  obsaepio, saepsi, saeptum, ire
obscoena |  obscoena, orum n
obscoenitas |  obscoenitas, atis f
obscoenum |  obscoenum, i, n
obscoenus |  obscoenus, a, um
obscuratio |  obscuratio, onis f
obscure |  obscure adv.
obscuritas |  obscuritas, atis f
obscuro |  obscuro, avi, atum, are pass.
obscurum |  obscurum, i n
obscurus |  obscurus, a, um
obsecratio |  obsecratio, onis f
obsecro |  obsecro, avi, atum, are
obsecundo |  obsecundo, avi, atum, are
obsepio |  obsepio
obsequela |  obsequela (obsequella), ae f
obsequens |  obsequens, entis
obsequenter |  obsequenter adv.
obsequentia |  obsequentia, ae f
obsequium |  obsequium, i n
obsequor |  obsequor, quutus (cutus) sum, sequi
obsero |  I obsero, avi, atum, are
observans |  observans, antis
observantia |  observantia, ae f
observatio |  observatio, onis f
observo |  observo, avi, atum, are поэт.
obses |  obses, idis m
obsessio |  obsessio, onis f
obsessor |  obsessor, oris m
Obsidanum |  Obsidan(um, i n
obsideo |  obsideo, sedi, sessum, ere
obsidio |  obsidio, onis f
obsidionalis |  obsidionalis, e
obsidium |  obsidium, i n
obsido |  obsido, sedi, sessum, ere
obsignator |  obsignator, oris m
obsigno |  obsigno, avi, atum, are
obsisto |  obsisto, stiti, stitum, ere
obsitus |  obsitus, a, um
obsolefio |  obsolefio, factus sum, fieri
obsolete |  obsolete adv.
obsoletus |  obsoletus, a, um
obsonium |  obsonium, i n
obsono |  obsono, avi, atum, are
obsonor |  obsonor, atus sum, ari
obstetrix |  obstetrix, icis f
obstinate |  obstinate adv.
obstinatio |  obstinatio, onis f
obstinatus |  obstinatus, a, um
obstino |  obstino, avi, atum, are
obstipesco |  obstipesco
obstipus |  obstipus, a, um
obsto |  obsto, stiti, (statum), are
obstringo |  obstringo, strinxi, strictum, ere
obstructio |  obstructio, onis f
obstrudo |  obstrudo
obstruo |  obstruo, struxi, structum, ere
obstupefacio |  obstupefacio, feci, factum, ere
obstupefactus |  obstupefactus, a, um
obstupesco |  obstupesco, pui, --, ere
obsulesco |  obsulesco, levi, --, ere
obsum |  obsum, obfui (offui), obesse
obsuo |  obsuo, sui, sutum, ere
obsurdesco |  obsurdesco, dui, --, ere
obtego |  obtego, texi, tectum, ere
obtempero |  obtempero, avi, atum, are
obtendo |  obtendo, tendi, tentum, ere
obtentus |  obtentus, us m
obtero |  obtero, trivi, tritum, ere
obtestatio |  obtestatio, onis f
obtestor |  obtestor, atus sum, ari
obtexo |  obtexo, --, --, ere
obticesco |  obticesco, ticui, --, ere
obtineo |  obtineo, tinui, tentum, ere
obtingo |  obtingo, tigi, --, ere
obtorpesco |  obtorpesco, pui, --, ere
obtorqueo |  obtorqueo, (torsi), tortum, ere
obtrectatio |  obtrectatio, onis f
obtrectator |  obtrectator, oris m
obtrecto |  obtrecto, avi, atum, are
obtrudo |  obtrudo, trusi, trusum, ere
obtrunco |  obtrunco, avi, atum, are
obtundo |  obtundo, tudi, tusum (tunsum), ere
obtunsus |  I obtunsus, a, um part.
obturator |  obturator, oris m
obturatorius |  obturatorius, a, um анат.
obturbo |  obturbo, avi, atum, are
obturo |  obturo, avi, atum, are
obtusus |  obtusus (obtunsus), a, um
obtutus |  obtutus, us m
obumbro |  obumbro, avi, atum, are
obuncus |  obuncus, a, um
obustus |  obustus, a, um
obvallatus |  obvallatus, a, um анат.
obvallo |  obvallo, (avi), atum, are
obvenio |  obvenio, veni, ventum, ire
obversor |  obversor, atus sum, ari
obverto |  obverto (obvorto), verti (vorti), versum (vorsum), ere pass.
obviam |  obviam adv.
obvius |  obvius, a, um поэт.
obvolvo |  obvolvo, volvi, volutum, ere поэт.
occaeco |  occaeco, avi, atum, are
occallesco |  occallesco, callui, --, ere
occano |  occano, canui, --, ere
occasio |  occasio, onis f
occasus |  occasus, us m
occatio |  occatio, onis f
occidens |  occidens, entis m
occidio |  occidio, onis f
occido |  I occido, cidi, casum, ere
occiduus |  occiduus, a, um поэт.
occino |  occino, cinui, centum, ere
occipio |  occipio, cepi, ceptum, ere
occipitalis |  occipitalis, e анат.
occipitofrontalis |  occipitofrontalis, e анат.
occipitotemporalis |  occipitotemporalis, e анат.
occiput |  occiput, itis n
occisio |  occisio, onis f
occludo |  occludo, clusi, clusum, ere
occlusalis |  occlusalis, e анат.
occo |  occo, avi, atum, are
occoepi |  occoepi, --, coepisse
occubo |  occubo, cubui, cubitum, are
occulco |  occulco, avi, atum, are
occulo |  occulo, cului, cultum, ere
occulta |  occulta, orum n
occultatio |  occultatio, onis f
occultator |  occultator, oris m
occulte |  occulte adv.
occulto |  occulto, avi, atum, are
occultus |  occultus, a, um
occumbo |  occumbo, cubui, cubitum, ere поэт.
occupatio |  occupatio, onis f
occupatus |  occupatus, a, um
occupo |  occupo, avi, atum, are
occurro |  occurro, curri, cursum, ere
occursatio |  occursatio, onis f
occurso |  occurso, avi, atum, are
occursus |  occursus, us m
Oceanus |  Oceanus, i m
ocellus |  ocellus, i m
