Pabestrolum |  Pabestrol(um, i n
pabulatio |  pabulatio, onis f
pabulator |  pabulator, oris m
pabulor |  pabulor, atus sum, ari
pabulum |  pabulum, i n
pacalis |  pacalis, e
pacata |  pacata, orum n
Pacatalum |  Pacatal(um, i n
pacatus |  pacatus, a, um
Pachycarpinum |  Pachycarpin(um, i n
pachycarpus |  pachycarpus, a, um биолог.
pachymeninx |  pachymeninx, ingis f
pacifer |  pacifer, era, erum
pacificatio |  pacificatio, onis f
pacificator |  pacificator, oris m
pacificatorius |  pacificatorius, a, um
pacifico |  pacifico, avi, atum, are
pacificor |  pacificor, atus sum, ari
pacificus |  pacificus, a, um
Pacinolum |  Pacinol(um, i n
Pacinonum |  Pacinon(um, i n
paciscor |  paciscor, pactus sum, pacisci
Pacitrinum |  Pacitrin(um, i n
paco |  paco, avi, atum, are
pacta |  pacta, ae f
pactio |  pactio, onis f
pactor |  pactor, oris m
pactum |  pactum, i n
pactus |  pactus, a, um
Pacuvius |  Pacuvius, i m
Padicorum |  Padicor(um, i n
Padus |  I Padus, i f
Padutinum |  Padutin(um, i n
paean |  I paean, anis m
paedagogus |  paedagogus, i m
paediater |  paediater, tri m
paediatria |  paediatria, ae f
paedor |  paedor, oris m
paelex |  paelex, icis f
paelicatus |  paelicatus, us m
paene |  paene adv.
paeninsula |  paeninsula, ae f
paenit |  paenit...
paenula |  paenula, ae f
paenulatus |  paenulatus, a, um
paenuria |  paenuria, ae f
paeon |  paeon, onis m
paetulus |  paetulus, a, um
paetus |  paetus, a, um
paganus |  I paganus, a, um m
pagella |  pagella, ae f
pagina |  pagina, ae f
paginula |  paginula, ae f
pagus |  pagus, i m
pala |  pala, ae f
Palacrinum |  Palacrin(um, i n
palaestra |  palaestra, ae f
palaestrice |  palaestrice adv.
palaestricus |  palaestricus, a, um
palaestrita |  palaestrita, ae m
palam |  I palam adv.
Palatinus |  I Palatinus, a, um анат.
Palatium |  Palatium, i n
palatoethmoidalis |  palatoethmoidalis, e анат.
palatoglossus |  palatoglossus, a, um анат.
palatomaxillaris |  palatomaxillaris, e анат.
palatopharyngeus |  palatopharyngeus, a, um анат.
palatovaginalis |  palatovaginalis, e анат.
palatum |  palatum, i n
palatus |  palatus, i m
palea |  palea, ae f
palear |  palear, aris n
paleencephalon |  paleencephalon, i n
paleocerebellum |  paleocerebellum, i n
paleocortex |  paleocortex, icis f
Palerolum |  Palerol(um, i n
Pales |  Pales, is f
Palfium |  Palfium, i n
palimpsestus |  palimpsestus, i m
Palinum |  Palin(um, i n
paliurus |  paliurus, i m
palla |  palla, ae f
Palladium |  Palladium, i n
Pallas |  I Pallas, adis (ados) f
pallens |  pallens, entis
palleo |  palleo, pallui, --, ere поэт.
pallesco |  pallesco, pallui, --, ere поэт.
palliatus |  palliatus, a, um
Pallicidum |  Pallicid(um, i n
pallidothalamicus |  pallidothalamicus, a, um анат.
pallidus |  pallidus, a, um
palliolum |  palliolum, i n
pallium |  pallium, i n
pallor |  pallor, oris m
palma |  palma, ae f
palmaris |  palmaris, e анат.
palmatus |  palmatus, a, um анат.
palmes |  palmes, itis m
palmetum |  palmetum, i n
palmifer |  palmifer, era, erum
palmosus |  palmosus, a, um
palmula |  palmula, ae f
palor |  palor, atus sum, ari
palpatio |  palpatio, onis f
palpebra |  palpebra, ae f
palpebralis |  palpebralis, e анат.
Palphium |  Palphium, i n
palpito |  palpito, avi, atum, are
palpo |  palpo, avi, atum, are
palpor |  palpor, atus sum, ari
paludamentum |  paludamentum, i n
paludatus |  paludatus, a, um
paludosus |  paludosus, a, um
Paludrinum |  Paludrin(um, i n
palumbes |  palumbes, is m
palus |  I palus, i m
Palusilum |  Palusil(um, i n
paluster |  paluster, tris, tre
Pamisylum |  Pamisyl(um, i n
Pamoxanum |  Pamoxan(um, i n
pampineus |  pampineus, a, um
pampiniformis |  pampiniformis, e анат.
pampinus |  pampinus, i m
Pan |  Pan, Panis (Panos) m
panacea |  panacea, ae f
Panadolum |  Panadol(um, i n
panalgia |  panalgia, ae f
Pananginum |  Panangin(um, i n
panaritium |  panaritium, i n
panarthritis |  panarthritis, idis f
Panathenaicus |  Panathenaicus, a, um
Panax |  Panax Ginseng (Shin-seng) фармац.
Pancainum |  Pancain(um, i n
Pancalum |  Pancal(um, i n
pancarditis |  pancarditis, idis f
panchrestus |  panchrestus, a, um
pancreas |  pancreas, atis n
pancreaticoduodenalis |  pancreaticoduodenalis, e анат.
pancreaticolienalis |  pancreaticolienalis, e анат.
pancreaticus |  pancreaticus, a, um анат.
Pancreatinum |  Pancreatin(um, i n
pancreatitis |  pancreatitis, idis f
Pandigalum |  Pandigal(um, i n
pando |  pando, pandi, pansum (passum), ere pass.
pandus |  pandus, a, um
panegyricus |  panegyricus, i m
Panergalum |  Panergal(um, i n
Panflavinum |  Panflavin(um, i n
pango |  pango, pepigi поэт.
Panhexavitum |  Panhexavit(um, i n
panhysterectomia |  panhysterectomia, ae f
panicum |  panicum, i n
panis |  panis, is m
Paniverinum |  Paniverin(um, i n
Pankalma |  Pankalma, ае f
Panmycinum |  Panmycin(um, i n
panniculus |  panniculus, i m
Pannonia |  Pannonia, ae f
pannosus |  pannosus, a, um
pannus |  pannus, i m
Panodormum |  Panodorm(um, i n
Pantalganum |  Pantalgan(um, i n
pantex |  pantex, icis m
panthera |  panthera, ae f
Panthojectum |  Panthoject(um, i n
Pantholinum |  Pantholin(um, i n
Pantocainum |  Pantocain(um, i n
Pantocidum |  Pantocid(um, i n
Pantocrinum |  Pantocrin(um, i n
Pantolaxum |  Pantolax(um, i n
Pantomycinum |  Pantomycin(um, i n
pantophagus |  pantophagus, a, um биолог.
Pantopoda |  Pantopoda, um n
Pantoponum |  Pantopon(um, i n
Pantoseptum |  Pantosept(um, i n
Pantotenum |  Pantoten(um, i n
Pantothaxinum |  Pantothaxin(um, i n
Pantotonum |  Pantoton(um, i n
Pantrypinum |  Pantrypin(um, i n
Panurinum |  Panurin(um, i n
panvasculitis |  panvasculitis, idis f
panzootia |  panzootia, ae f
Papaver |  Papaver, eris n
Papaveratum |  Papaverat(um, i n
papavereus |  papavereus, a, um
Papaverinum |  Papaverin(um, i n
Papazolum |  Papazol(um, i n
Paphlagonia |  Paphlagonia, ae f
Paphos |  Paphos (-us), i m
Paphyllinum |  Paphyllin(um, i n
papilio |  papilio, onis m
papilla |  papilla, ae f
papillaris |  papillaris, e анат.
papula |  papula, ae f
papyraceus |  papyraceus, a, um анат.
papyrifer |  papyrifer, era, erum
papyrus |  papyrus, i m
par |  par, paris subst.
paraaorticus |  paraaorticus, a, um анат.
parabilis |  parabilis, e
Paracainum |  Paracain(um, i n
paracentralis |  paracentralis, e анат.
Paracetamolum |  Paracetamol(um, i n
paracolitis |  paracolitis, idis f
Paracortolum |  Paracortol(um, i n
Paracortum |  Paracort(um, i n
paracystitis |  paracystitis, idis f
paradidymis |  paradidymis, idis f
Paradionum |  Paradion(um, i n
paradoxa |  paradoxa, orum n
paraduodenalis |  paraduodenalis, e анат.
paraffinatus |  paraffinatus, a, um фармац.
Paraffinum |  Paraffinum, i n
Paraflexum |  Paraflex(um, i n
paraflocculus |  paraflocculus, i m
paraganglion |  paraganglion, i n
parahippocampalis |  parahippocampalis, e анат.
Paralestum |  Paralest(um, i n
paralysis |  paralysis, is f
paramastoideus |  paramastoideus, a, um анат.
paramesonephricus |  paramesonephricus, a, um анат.
parametritis |  parametritis, idis f
parametrium |  parametrium, i n
Paramyonum |  Paramyon(um, i n
paranasalis |  I paranasalis, e анат.
parancphritis |  parancphritis, idis f
Paranephrinum |  Paranephrin(um, i n
paranephros |  paranephros, i m
paraneuralis |  paraneuralis, e анат.
paraolivarius |  paraolivarius, a, um анат.
parapancreaticus |  parapancreaticus, a, um анат.
parapharyngealis |  parapharyngealis, e анат.
parapharyngeus |  parapharyngeus, a, um мед.
paraphysis |  paraphysis, is f
parapinealis |  parapinealis, e анат.
paraproctitis |  paraproctitis, idis f
paraproctus |  paraproctus, i m
pararectalis |  pararectalis, e анат.
parasacralis |  parasacralis, e анат.
Parasalum |  Parasal(um, i n
Parasanum |  Parasan(um, i n
parasita |  parasita, ae f
parasitus |  parasitus, i m
parasternalis |  parasternalis, e анат.
parasympathicus |  parasympathicus, a, um анат.
parata |  parata, orum n
parate |  parate adv.
paraterminalis |  paraterminalis, e анат.
Parathesinum |  Parathesin(um, i n
Parathormonum |  Parathormon(um, i n
Parathyreocrinum |  Parathyreocrin(um, i n
Parathyreoidinum |  Parathyreoidin(um, i n
parathyroideus |  parathyroideus, a, um
paratio |  paratio, onis f
paratus |  I paratus, a, um m
paratyphus |  paratyphus, i m
paraumbilicalis |  paraumbilicalis, e анат.
paraurethralis |  paraurethralis, e анат.
paravaginalis |  paravaginalis, e анат.
paraventricularis |  paraventricularis, e анат.
paravertebralis |  paravertebralis, e анат.
Paraxinum |  Paraxin(um, i n
Parazinum |  Parazin(um, i n
Parazonum |  Parazon(um, i n
Parca |  Parca, ae f
parce |  parce adv.
parco |  parco, peperci (parsi), parcitum (parsum), ere
parcus |  parcus, a, um
Parekinum |  Parekin(um, i n
parenchyma |  parenchyma, atis n
parens |  I parens, entis m
parentalia |  parentalia, ium n
parentalis |  parentalis, e
parenteralis |  parenteralis, e анат.
parentes |  parentes, ium m
parento |  parento, avi, atum, are
pareo |  pareo, ui, itum, ere impers.
Pargitanum |  Pargitan(um, i n
paric |  paric...
paries |  paries, etis m
parietalis |  parietalis, e анат.
parietinae |  parietinae, arum f
parietomastoideus |  parietomastoideus, a, um анат.
parietooccipitalis |  parietooccipitalis, e анат.
parietopontinus |  parietopontinus, a, um анат.
parilis |  parilis, e
pario |  pario, peperi, partum, ere part.
Paris |  Paris, idis m
Parisii |  Parisii, orum m
pariter |  pariter adv.
Parkanum |  Parkan(um, i n
Parkazinum |  Parkazin(um, i n
Parkisanum |  Parkisan(um, i n
Parkopanum |  Parkopan(um, i n
parma |  parma, ae f
parmati |  parmati, orum m
parmatus |  parmatus, a, um
parmula |  parmula, ae f
Parnas |  Parna(s)sos (-us), i m
Parnatum |  Parnat(um, i n
Parnitenum |  Parniten(um, i n
paro |  I paro, (avi), atum, are m
parochus |  parochus, i m
parodontium |  parodontium, i n
parodontopathia |  parodontopathia, ae f
parodontosis |  parodontosis, is f
Parodynum |  Parodyn(um, i n
paroecia |  paroecia, ae f
Paromomycinum |  Paromomycin(um, i n
paroophoron |  paroophoron, i n
Paros |  Paros (-us), i f
parotideomassetericus |  parotideomassetericus, a, um анат.
parotideus |  parotideus, а, um
parotis |  parotis, idis f
paroxysmalis |  paroxysmalis, e мед.
parra |  parra, ae f
parricida |  parricida, ae m
parricidium |  parricidium, i n
pars |  I pars, partis f
Parsidolum |  Parsidol(um, i n
parsimonia |  parsimonia, ae f
Parstelinum |  Parstelin(um, i n
parta |  parta, orum n
Parthenon |  Parthenon, onis m
Parthenope |  Parthenope, es f
Parthi |  Parthi, orum m
partialis |  partialis, e
particeps |  particeps, cipis
participo |  participo, avi, atum, are
particula |  particula, ae f
partim |  partim см.
partio |  partio, ivi (ii), itum, ire
partior |  partior, itus sum, iri
partite |  partite adv.
partitio |  partitio, onis f
parturio |  parturio, ivi (ii), --, ire поэт.
partus |  partus, us m
parum |  parum adv.
parumper |  parumper adv.
parunculus |  parunculus, i m
parva |  parva, ae f
parvitas |  parvitas, atis f
parvolus |  parvolus, a, um
parvulus |  parvulus (parvolus), a, um
parvum |  parvum, i, n
parvus |  I parvus, a, um compar.
Pasalicylum |  Pasalicyl(um, i n
pasco |  pasco, pavi, pastum, ere
pascor |  pascor, pastus sum, pasci
pascua |  pascua, orum n
pascuus |  pascuus, a, um
Pasiphaa |  Pasiphaa, ae f
Pasomycinum |  Pasomycin(um, i n
passer |  passer, eris m
passerculus |  passerculus, i m
Passiflora |  Passiflora бот.
passim |  passim adv.
passum |  I passum, i n
passus |  I passus, a, um part.
pasta |  pasta, ae f
pastillum |  pastillum, i n
pastillus |  pastillus, i m
Pastinacinum |  Pastinacin(um, i n
pastio |  pastio, onis f
pastor |  pastor, oris m
pastoralis |  pastoralis, e
pastoricius |  pastoricius, a, um
pastorius |  pastorius, a, um
pastus |  pastus, us m
Patavium |  Patavium, i n
patefacio |  patefacio, feci, factum, ere
patefactio |  patefactio, onis f
patefio |  patefio, factus sum, fieri pass.
patella |  patella, ae f
patellaris |  patellaris, e анат.
patena |  patena, ae f
patens |  patens, entis
patenter |  patenter adv.
pateo |  pateo, tui, --, ere,
pater |  pater, tris m
patera |  patera, ae f
paternus |  paternus, a, um поэт.
patesco |  patesco, patui, --, ere
pathogenesis |  pathogenesis, is f
pathogenus |  pathogenus, a, um мед.
pathologia |  pathologia, ae f
pathologicus |  pathologicus, a, um мед.
patibilis |  patibilis, e
patibulum |  patibulum, i n
patiens |  patiens, entis поэт.
patienter |  patienter adv.
patientia |  patientia, ae f
patina |  patina (patena), ae f
patinatio |  patinatio, onis f
patinus |  patinus, i m
patio |  patio, --, --, ere
patior |  patior, passus sum, pati поэт.
patisco |  patisco, --, --, ere
patrator |  patrator, oris m
patria |  patria, ae f
patricia |  patricia, ae f
patricida |  patricida, ae m
patricius |  I patricius, a, um m
patrimonium |  patrimonium, i n
patrimus |  patrimus, a, um
patritus |  patritus, a, um
patrius |  I patrius, a, um
patro |  patro, avi, atum, are
patrocinium |  patrocinium, i n
Patrocles |  Patrocles, is m
patrona |  patrona, ae f
patronus |  patronus, i m
patruelis |  patruelis, e поэт.
patruus |  I patruus, a, um m
patulus |  patulus, a, um
pauca |  pauca, orum n
pauci |  pauci, orum m
pauciflorus |  pauciflorus, a, um биолог.
paucifolius |  paucifolius, a, um биолог.
paucitas |  paucitas, atis f
pauculus |  pauculus, a, um
