qua |  qua adv.
quacumque |  quacumque (quacunque) adv.
quadamtenus |  quadamtenus adv.
Quadi |  Quadi, orum m
quadra |  quadra, ae f
quadrageni |  quadrageni, ae, a
quadragesimus |  quadragesimus, a, um
quadragies |  quadragies adv.
quadraginta |  quadraginta
quadrangularis |  quadrangularis, e анат.
quadrangulum |  quadrangulum, i n
quadrans |  quadrans, antis m
quadrantarius |  quadrantarius, a, um
quadratum |  quadratum, i n
quadratus |  quadratus, a, um
quadriceps |  quadriceps, ipitis
quadriduum |  quadriduum, i n
quadriennium |  quadriennium, i n
quadrifariam |  quadrifariam adv.
quadrifidus |  quadrifidus, a, um
quadriflorus |  quadriflorus, a, um биолог.
quadrifoliatus |  quadrifoliatus, a, um биолог.
quadriga |  quadriga, ae f
quadrigae |  quadrigae, arum f
quadrigarius |  quadrigarius, i m
quadrigatus |  quadrigatus, a, um
quadrigeminus |  quadrigeminus, a, um анат.
quadrigulae |  quadrigulae, arum f
quadrijugi |  quadrijugi, orum m
quadrijugis |  quadrijugis, e
quadrijugus |  quadrijugus, a, um
quadrilaterus |  quadrilaterus, a, um анат.
quadrimus |  quadrimus, a, um
quadringenarius |  quadringenarius, a, um
quadringentesimus |  quadringentesimus, a, um
quadringenti |  quadringenti, ae, a
quadringenties |  quadringenties adv.
quadrip |  quadrip...
quadripartitus |  quadripartitus (quadripertitus), a, um
quadriremis |  quadriremis, e
quadririgeni |  quadririgeni, ae, a
quadro |  quadro, avi, atum, are
quadrupedans |  quadrupedans (quadripedans), antis
quadrupes |  quadrupes (quadripes), edis
quadruplator |  quadruplator, oris m
quadruplex |  quadruplex, icis
quadruplum |  quadruplum, i n
quadruplus |  quadruplus, a, um
quadrus |  quadrus, a, um
quaero |  quaero, quaesivi, quaesitum, ere
quaesitio |  quaesitio, onis f
quaesitor |  quaesitor, oris m
quaesitum |  quaesitum, i n
quaesitus |  quaesitus, a, um
quaeso |  quaeso, ivi, --, ere
quaesticulus |  quaesticulus, i m
quaestio |  quaestio, onis f
quaestiuncula |  quaestiuncula, ae f
quaestor |  quaestor, oris m
quaestorium |  quaestorium, i n
quaestorius |  I quaestorius, a, um m
quaestuosus |  quaestuosus, a, um
quaestura |  quaestura, ae f
quaestus |  quaestus, us m
qualecumque |  qualecumque
qualelibet |  qualelibet
qualiacumque |  qualiacumque
qualis |  qualis, e поэт.
qualislibet |  qualislibet
qualitas |  qualitas, atis f
qualiter |  qualiter adv.
qualum |  qualum, i n
quam |  quam adv.
quamdiu |  quamdiu
quamlibet |  quamlibet adv.
quamobrem |  quamobrem adv.
quamprimum |  quamprimum adv.
quamquam |  quamquam conj.
quamvis |  I quamvis adv.
quanam |  quanam adv.
quandiu |  quandiu adv.
quando |  I quando adv.
quandocumque |  quandocumque adv.
quandocunque |  quandocunque
quandoque |  quandoque adv.
quandoquidem |  quandoquidem conj.
quanquam |  quanquam
quanti |  quanti adv.
quantitas |  quantitas, atis f
quanto |  quanto adv.
quantopere |  quantopere (также раздельно quanto opere) adv.
quantulus |  quantulus, a, um
quantuluscumque |  quantuluscumque, quantulacumque, quantulumcumque
quantum |  I quantum adv.
quantumvis |  quantumvis conj.
quantus |  quantus, a, um
quantuscumque |  quantuscumque, quantacumque, quantumcumque
quantuslibet |  quantuslibet, quantalibet, quantumlibet
quantusvis |  quantusvis, quantavis, quantumvis
quapropter |  quapropter adv.
quare |  quare adv.
quartadecumani |  quartadecumani, orum m
quartani |  quartani, orum m
quartanus |  quartanus, a, um
quartarius |  quartarius, i m
quarto |  quarto adv.
quartum |  quartum adv.
quartus |  quartus, a, um
quasi |  quasi adv.
quasillus |  quasillus, i m
quassatio |  quassatio, onis f
quasso |  quasso, avi, atum, are
quassus |  quassus, us m
quatefacio |  quatefacio, feci, --, ere
quatenus |  quatenus (quatinus) adv.
quater |  quater adv.
quaterni |  quaterni, ae, a
quatinus |  quatinus
quatio |  quatio, (quassi), quassum, ere
quatriduum |  quatriduum, i n
quatuor |  quatuor (quattuor)
quatuordecim |  quatuordecim
quatuorviratus |  quatuorviratus (quattuorviratus), us m
quatuorviri |  quatuorviri, orum m
queis |  queis см.
quemadmodum |  quemadmodum
queo |  queo, ivi (ii), itum, ire
quercetum |  quercetum, i n
querceus |  querceus, a, um
quercus |  quercus, us f
querela |  querela (querella), ae f
queribundus |  queribundus, a, um
querimonia |  querimonia, ae f
queritor |  queritor, --, ari
querneus |  querneus (поэт. quernus), a, um
queror |  queror, questus sum, queri
querulus |  querulus, a, um
questio |  questio, onis f
questus |  questus, us m
qui |  I qui adv.
quia |  quia conj.
quicumque |  quicumque, quaecumque, quodcumque
quid |  quid adv.
quidam |  quidam, quaedam, quoddam
quiddam |  quiddam
quidem |  quidem adv.
quidlibet |  quidlibet
quidpiam |  quidpiam
quidquid |  quidquid adv.
quies |  quies, etis f
quiesco |  quiesco, evi, etum, ere поэт.
quiete |  quiete adv.
quietus |  quietus, a, um
quilibet |  quilibet, quaelibet, quodlibet
quin |  quin conj.
Quinacrinum |  Quinacrin(um, i n
quinam |  quinam, quaenam, quodnam
Quinambicidum |  Quinambicid(um, i n
quincunx |  quincunx, uncis m
quindecies |  quindecies (quindeciens) adv.
quindecim |  quindecim
quindecimprimi |  quindecimprimi, orum m
quindecimvir |  quindecimvir, i m
quindecimviralis |  quindecimviralis, e
quingeni |  quingeni, ae, a
quingentesimus |  quingentesimus, a, um
quingenti |  quingenti, ae, a
quingenties |  quingenties (quingentiens) adv.
quini |  quini, ae, a
Quinocainum |  Quinocain(um, i n
Quinophanum |  Quinophan(um, i n
Quinoseptylum |  Quinoseptyl(um, i n
Quinosolum |  Quinosol(um, i n
Quinoxylum |  Quinoxyl(um, i n
Quinozolum |  Quinozol(um, i n
quinquageni |  quinquageni, ae, a
quinquagesima |  quinquagesima, ae f
quinquagesimus |  quinquagesimus, a, um
quinquaginta |  quinquaginta
Quinquatrus |  Quinquatrus, uum f
quinque |  quinque
quinqueflorus |  quinqueflorus, a, um биолог.
quinquelobatus |  quinquelobatus, a, um биолог.
quinquennalis |  quinquennalis, e
quinquennis |  quinquennis, e
quinquennium |  quinquennium, i n
quinquepertitus |  quinquepertitus, a, um
quinqueprimi |  quinqueprimi, orum m
quinquevir |  quinquevir, i m
quinqueviratus |  quinqueviratus, us m
quinquies |  quinquies (quinquiens) adv.
quinquiplico |  quinquiplico, --, --, are
quintadecimani |  quintadecimani (quintadecumani), orum m
quintana |  quintana, ae f
quintani |  quintani, orum m
quintanus |  quintanus, a, um
quinto |  quinto adv.
Quintratum |  Quintrat(um, i n
quintum |  quintum adv.
quintus |  I quintus, a, um
quippe |  I quippe adv.
quippiam |  quippiam см.
Quirinus |  Quirinus, i m
quiritatio |  quiritatio, onis f
Quirites |  Quirites, ium (um) m
quirito |  quirito, --, --, are
quiritor |  quiritor, --, ari
quis |  I quis см.
quisnam |  quisnam, quidnam
quispiam |  quispiam, quaepiam, quodpiam
quisquam |  quisquam, quaequam, quidquam (quicquam)
quisque |  quisque, quaeque quidque (quodque)
quisquiliae |  quisquiliae, arum f
quisquis |  quisquis, quaequae, quidquid (quicquid, quodquod)
quivis |  quivis, quaevis, quidvis (quodvis)
qumqueremis |  qumqueremis, e
quo |  quo adv.
quoad |  quoad adv.
quocirca |  quocirca conj.
quocumque |  quocumque adv.
quod |  I quod adv.
quodammodo |  quodammodo adv.
quolibet |  quolibet adv.
quom |  quom
quomodo |  quomodo adv.
quomodocumque |  quomodocumque adv.
quomodonam |  quomodonam adv.
quonam |  quonam adv.
quondam |  quondam adv.
quoniam |  quoniam conj.
quoquam |  quoquam adv.
quoque |  I quoque abl.
quoquoversus |  quoquoversus (quoquovorsus) adv.
quorsus |  quorsus (quorsum) adv.
quot |  quot adj.
quotannis |  quotannis см.
quotcumque |  quotcumque
quoteni |  quoteni, ae, a
quotidiano |  quotidiano adv.
quotidianus |  quotidianus (cutidianus, cottidianus), a, um
quotidie |  quotidie (cotidie, cottidie) adv.
quoties |  quoties (quotiens) adv.
quotiescumque |  quotiescumque adv.
quotquot |  quotquot
quotus |  quotus, a, um
quousque |  quousque adv.
quum |  quum ( арх.
