rabbinus |  rabbinus, i m
rabide |  rabide adv.
rabidus |  rabidus, а, um
rabies |  rabies, ei f
rabiose |  rabiose adv.
rabiosulus |  rabiosulus, a, um
rabiosus |  rabiosus, a, um
rabula |  rabula, ae m
Racemelphalanum |  Racemelphalan(um, i n
racemifer |  racemifer, era, erum бот.
racemosus |  racemosus, a, um анат.
racemus |  racemus, i m
Racephenum |  Racephen(um, i n
Radedormum |  Radedorm(um, i n
Radepurum |  Radepur(um, i n
radialis |  radialis, e анат.
radiatio |  radiatio, onis f
radiatus |  radiatus, a, um анат.
radicitus |  radicitus adv.
radicula |  radicula, ae f
radicularis |  radicularis, e анат.
radio |  radio, avi, atum, are
radiocarpeus |  radiocarpeus, a, um анат.
radiophonia |  radiophonia, ae f
radior |  radior, radiatus sum, ari
Radioselectanum |  Radioselectan(um, i n
radiostantio |  radiostantio, onis f
radioulnaris |  radioulnaris, e анат.
radius |  radius, i m
radix |  radix, icis f
rado |  rado, rasi, rasum, ere поэт.
radula |  radula, ae f
Raeti |  Raeti, orum m
Raetia |  Raetia, ae f
ramale |  ramale, is n
ramentum |  ramentum, i n
rameus |  rameus, a, um
ramicola |  ramicola, ae m
ramiculus |  ramiculus, i m
Ramnicapra |  Ramnicapra, ae f
ramosus |  ramosus, a, um
ramulus |  ramulus, i m
ramus |  ramus, i m
rana |  rana, ae f
rancidus |  rancidus, a, um
raninus |  raninus, a, um
ranunculus |  ranunculus, i m
rapacitas |  rapacitas, atis f
rapax |  rapax, acis
Raphanus |  Raphanus, i m
raphe |  raphe, es f
rapide |  rapide adv.
rapiditas |  rapiditas, atis f
rapidus |  rapidus, a, um поэт.
rapina |  rapina, ae f
rapio |  rapio, rapui, raptum, ere, поэт.
raptim |  raptim adv.
rapto |  rapto, avi, atum, are
raptor |  raptor, oris m
raptus |  raptus, us m
rapulum |  rapulum, i n
rapum |  rapum, i n
raresco |  raresco, --, --, ere,
raritas |  raritas, atis f
raro |  raro adv.
rarus |  rarus, a, um поэт.
rasilis |  rasilis, e
raster |  raster, tri m
Rastinonum |  Rastinon(um, i n
ratio |  ratio, onis f
ratiocinatio |  ratiocinatio, onis f
ratiocinativus |  ratiocinativus, a, um
ratiocinator |  ratiocinator, oris m
ratiocinor |  ratiocinor, atus sum, ari
ratis |  ratis, is f
ratiuncula |  ratiuncula, ae f
ratus |  ratus, a, um поэт.
raucus |  raucus, a, um поэт.
Raudiazinum |  Raudiazin(um, i n
Raudixinum |  Raudixin(um, i n
raudus |  raudus (rudus), eris n
raudusculum |  raudusculum, i n
Raunatinum |  Raunatin(um, i n
Raupasilum |  Raupasil(um, i n
Raupina |  Raupina, ae f
Rauraci |  Rauraci, orum m
Rausedanum |  Rausedan(um, i n
Rausedylum |  Rausedyl(um, i n
Rauwasanum |  Rauwasan(um, i n
Rauwolfia |  Rauwolfia, ae f
Ravenalum |  Ravenal(um, i n
Ravenna |  Ravenna, ae f
ravus |  ravus, a, um
rea |  I rea, ae f
reapse |  reapse adv.
Reate |  Reate, is n
Reazidum |  Reazid(um, i n
rebellatio |  rebellatio, onis f
rebellatrix |  rebellatrix, icis f
rebelles |  rebelles, ium m
rebellio |  rebellio, onis f
rebellis |  rebellis, e
rebello |  rebello, avi, atum, are поэт.
reboo |  reboo, --, --, are
recalcitro |  recalcitro, --, --, are
recalefacio |  recalefacio
recaleo |  recaleo, --, --, ere
recalesco |  recalesco, lui, --, ere
recalfacio |  recalfacio (recalefacio), feci, factum, ere
recandesco |  recandesco, candui, --, ere
recanto |  recanto, --, --, are
recedo |  recedo, cessi, cessum, ere
recello |  recello, --, --, ere
recens |  recens, entis
recenseo |  recenseo, censui, censitum (censum), ere
recensio |  recensio, onis f
recensus |  recensus, us m
receptaculum |  I receptaculum, i n
recepto |  recepto, avi, atum, are поэт.
receptor |  receptor, oris m
receptrix |  receptrix, icis f
receptum |  receptum, i n
receptus |  receptus, us m
recessus |  recessus, us m
recidivus |  recidivus, a, um поэт.
recido |  I recido, cidi, casum, ere
recingo |  recingo, cinxi, cinctum, ere pass.
recinium |  recinium
recino |  recino, --, --, ere
reciper |  reciper...
recipio |  recipio, cepi, ceptum, ere воен.
reciproco |  reciproco, avi, atum, are
reciprocus |  reciprocus, a, um
recitatio |  recitatio, onis f
recitator |  recitator, oris m
recito |  recito, avi, atum, are
reclamatio |  reclamatio, onis f
reclamito |  reclamito, --, --, are
reclamo |  reclamo, avi, atum, are поэт.
reclinis |  reclinis, e
reclino |  reclino, avi, atum, are поэт.
recludo |  recludo, clusi, clusum, ere поэт.
recogito |  recogito, avi, --, are
recognitio |  recognitio, onis f
recognosco |  recognosco, cognovi, cognitum, ere
