sabbata |  sabbata, orum n
Sabelli |  Sabelli, orum m
Sabini |  Sabini, orum m
sabulum |  sabulum, i n
saburra |  saburra, ae f
Saccharinum |  Saccharin(um, i n
Saccharum |  Saccharum, i n
sacciformis |  sacciformis, e анат.
Saccoglossa |  Saccoglossa, orum n
Saccopteryx |  Saccopteryx, igis f
saccularis |  saccularis, e анат.
sacculus |  sacculus, i m
saccus |  saccus, i m
sacellum |  sacellum, i n
sacer |  sacer, cra, crum поэт.
sacerdos |  sacerdos, otis m
sacerdotium |  sacerdotium, i n
sacralis |  sacralis, e анат.
sacramentum |  sacramentum, i n
sacrarium |  sacrarium, i n
sacratus |  sacratus, a, um
sacrifer |  sacrifer, era, erum
sacrificium |  sacrificium, i n
sacrifico |  sacrifico, avi, atum, are
sacrificulus |  sacrificulus, i m
sacrificus |  sacrificus, a, um поэт.
sacrilegium |  sacrilegium, i n
sacrilegus |  sacrilegus, a, um
sacrinae |  sacrinae, arum f
sacro |  sacro, avi, atum, are поэт.
sacrococcygeus |  sacrococcygeus, a, um анат.
sacroiliacus |  sacroiliacus, a, um анат.
sacropelvinus |  sacropelvinus, a, um анат.
sacrosanctus |  sacrosanctus, a, um
sacrospinalis |  sacrospinalis, e анат.
sacrotuberalis |  sacrotuberalis, e анат.
sacrum |  sacrum, i n
saeclum |  saeclum, i n
saecularis |  saecularis, e
saeculum |  saeculum (saeclum), i n
saepe |  saepe ( compar.
saepenumero |  saepenumero adv.
saepes |  saepes (sepes), is f
saepimentum |  saepimentum, i n
saepio |  saepio, saepsi, saeptum, ire
saeptum |  saeptum, i n
saet |  saet...
saeve |  saeve adv.
saevio |  saevio, saevli, saevitum, ire
saevitia |  saevitia, ae f
saevus |  saevus, a, um
saga |  saga, ae f
sagacitas |  sagacitas, atis f
sagaciter |  sagaciter adv.
sagatus |  sagatus, a, um
sagax |  sagax, acis
sagina |  sagina, ae f
sagino |  sagino, avi, atum, are
sagitta |  sagitta, ae f
sagittalis |  sagittalis, e анат.
sagittarius |  sagittarius, i m
sagittifer |  sagittifer, era, erum
sagittipotens |  sagittipotens, entis
sagmen |  sagmen, inis n
sagulum |  sagulum, i n
sagum |  sagum, i n
Saguntum |  Saguntum, i n
Saiodinum |  Saiodin(um, i n
sal |  I sal, salis m
Salamidum |  Salamid(um, i n
Salamina |  Salamina, ae acc.
Salaphtholum |  Salaphthol(um, i n
salarium |  salarium, i n
salarius |  salarius, a, um
salax |  salax, acis поэт.
Salazodimethoxinum |  Salazodimethoxin(um, i n
Salazopyridazinum |  Salazopyridazin(um, i n
Salazopyridinum |  Salazopyridin(um, i n
Salazopyrinum |  Salazopyrin(um, i n
Salazosulfapyridinum |  Salazosulfapyridin(um, i n
Salbutamolum |  Salbutamol(um, i n
salebra |  salebra, ae f
salebrosus |  salebrosus, a, um
Salernum |  Salernum, i n
Saletinum |  Saletin(um, i n
Saliamidum |  Saliamid(um, i n
Salicinum |  Salicin(um, i n
salictum |  salictum, i n
Salicylamidum |  Salicylamid(um, i n
Salicylanilidum |  Salicylanilid(um, i n
salicylas |  salicylas, atis m
salicylatus |  salicylatus, a, um хим.
