tabacum |  tabacum, i n
tabella |  tabella, ae f
tabellarius |  I tabellarius, a, um m
tabeo |  tabeo, --, --, ere поэт.
taberna |  taberna, ae f
tabernaculum |  tabernaculum, i n
tabernarius |  tabernarius, i m
tabes |  tabes, is f
tabesco |  tabesco, tabui, --, ere
tabidulus |  tabidulus, a, um
tabidus |  tabidus, a, um
tabula |  tabula, ae f
tabularium |  tabularium, i n
tabulatio |  tabulatio, onis f
tabulatum |  tabulatum, i n
tabuletta |  tabuletta, ae f
tabum |  tabum, i n
taceo |  taceo, tacui, tacitum, ere
Tachmalinum |  Tachmalin(um, i n
tachycardia |  tachycardia, ae f
tachyphagia |  tachyphagia, ae f
Tachystinum |  Tachystin(um, i n
Tacita |  Tacita, ae f
tacite |  tacite adv.
tacitum |  tacitum, i n
taciturnitas |  taciturnitas, atis f
taciturnus |  taciturnus, a, um поэт.
tacitus |  I tacitus, a, um m
Tactaranum |  Tactaran(um, i n
tactilis |  tactilis, e анат.
tactus |  I tactus, a, um m
taeda |  taeda (teda), ae f
taedet |  taedet, taeduit impers.
taedifer |  taedifer, era, erum
taedium |  taedium, i n
Taenaros |  Taenaros, i m
Taenarum |  Taenarum, i n
taenia |  taenia, ae f
taet |  taet...
tagimentum |  tagimentum, i n
talaria |  talaria, ium n
talaris |  talaris, e анат.
Talcum |  Talcum, i n
talea |  talea, ae f
talentum |  talentum, i n
taleonarius |  taleonarius, i m
Talidinum |  Talidin(um, i n
talio |  talio, onis f
talis |  talis, e
Talisulfazolum |  Talisulfazol(um, i n
talocalcaneonavicularis |  talocalcaneonavicularis, e анат.
talocalcaneus |  talocalcaneus, a, um анат.
talocruralis |  talocruralis, e
Talofenum |  Talofen(um, i n
talofibularis |  talofibularis, e анат.
talonavicularis |  talonavicularis, e анат.
talpa |  talpa, ae f
talus |  talus, i m
tam |  tam adv.
tamdiu |  tamdiu
tamen |  tamen adv.
tamenetsi |  tamenetsi conj.
Tamesa |  Tamesa, ae f
tametsi |  tametsi conj.
tamquam |  tamquam adv.
Tanager |  Tanager, gri m
Tanais |  Tanais, idis (is) m
Tanakanum |  Tanakan(um, i n
tandem |  tandem adv.
tango |  tango, tetigi, tactum, ere поэт.
Tannalbinum |  Tannalbin(um, i n
tanquam |  tanquam
Tantalides |  Tantalides, ae m
Tantalis |  Tantalis, idis (idos) f
Tantalos |  Tantalos (-us), i m
tantisper |  tantisper adv.
tanto |  tanto adv.
tantopere |  tantopere (также раздельно tanto opere) adv.
tantulum |  tantulum, i n
tantulus |  tantulus, a, um
tantum |  I tantum adv.
tantummodo |  tantummodo
tantus |  tantus, a, um
tantusdem |  tantusdem, tantadem, tantumdem (tantundem)
Tapazolum |  Tapazol(um, i n
tapes |  tapes, etis m
tapetum |  tapetum, i n
Taractanum |  Taractan(um, i n
Tarasanum |  Tarasan(um, i n
Taraxacum |  Taraxacum, i n
Tarchocinum |  Tarchocin(um, i n
tarde |  tarde adv.
Tardilum |  Tardil(um, i n
tarditas |  tarditas, atis f
tardo |  tardo, avi, atum, are
Tardocillinum |  Tardocillin(um, i n
tardus |  tardus, a, um поэт.
Tarentum |  Tarentum, i n
Tarpejus |  Tarpejus, a, um
Tarquinii |  Tarquinii, orum m
Tarquinius |  Tarquinius, i m
Tarraco |  Tarraco, onis f
tarsalis |  tarsalis, e
tarseus |  tarseus а, um
tarsometatarseus |  tarsometatarseus, a, um анат.
tarsus |  tarsus, i m
Tartareus |  Tartareus, a, um
Tartaros |  Tartaros (-us), i m
Tasnonum |  Tasnon(um, i n
Tatius |  Tatius Titus m
Tauremisinum |  Tauremisin(um, i n
taureus |  taureus, a, um
Tauri |  Tauri, orum m
