uber |  I uber, eris n
uberius |  uberius ( superl.
ubertas |  ubertas, atis f
ubi |  ubi adv.
ubicumque |  ubicumque (ubicunque,  арх.
Ubii |  Ubii, orum m
ubinam |  ubinam adv.
ubiquaque |  ubiquaque adv.
ubique |  ubique adv.
ubiubi |  ubiubi см.
ubivis |  ubivis adv.
udus |  udus, a, um поэт.
ulcero |  ulcero, (avi), atum, are
ulcerosus |  ulcerosus, a, um поэт.
ulciscor |  ulciscor, ultus sum, ulcisci
ulcus |  ulcus (hulcus), eris n
uligo |  uligo, inis f
Ulixes |  Ulixes, is (ei) m
ullus |  ullus, a, um gen.
ulmus |  ulmus, i f
ulna |  ulna, ae f
Ulnaceae |  Ulnaceae, arum f
ulnaris |  ulnaris, e анат.
ulnocarpeus |  ulnocarpeus, a, um анат.
ulter |  ulter, tra, trum compar.
ulterior |  ulterior, ius, gen.
ultimum |  I ultimum adv.
ultimus |  ultimus, a, um superl.
ultio |  ultio, onis f
ultor |  ultor, oris m
ultra |  I ultra adv.
Ultrabilum |  Ultrabil(um, i n
Ultracortenum |  Ultracorten(um, i n
Ultralanum |  Ultralan(um, i n
Ultranolum |  Ultranol(um, i n
Ultrasulfanum |  Ultrasulfan(um, i n
Ultrasulfonum |  Ultrasulfon(um, i n
ultrix |  ultrix, icis f
ultro |  ultro adv.
ulula |  ulula, ae f
ululatus |  ululatus, us m
ululo |  ululo, avi, atum, are поэт.
ulva |  ulva, ae f
umbellatus |  umbellatus, a, um биолог.
umbellifer |  umbellifer, era, erum
umbelliflorus |  umbelliflorus, a, um биолог.
umbilicalis |  umbilicalis, e анат.
umbilicus |  umbilicus, i m
umbo |  umbo, onis m
umbra |  umbra, ae f
umbraculum |  umbraculum, i n
Umbradilum |  Umbradil(um, i n
Umbragnostum |  Umbragnost(um, i n
Umbri |  Umbri, orum m
Umbria |  Umbria, ae f
umbrifer |  umbrifer, era, erum
umbro |  umbro, avi, atum, are
umbrosus |  umbrosus, a, um поэт.
ume |  ume...
umor |  umor
umquam |  umquam adv.
una |  una adv.
unanimitas |  unanimitas, atis f
unanimus |  unanimus, a, um
Unazidum |  Unazid(um, i n
uncia |  uncia, ae f
unciarius |  unciarius, a, um
unciformis |  unciformis, e анат.
uncinatus |  uncinatus, a, um анат.
unctio |  unctio, onis f
unctus |  unctus, a, um
uncus |  I uncus, a, um m
unda |  unda, ae f
unde |  unde adv.
undecies |  undecies (undeciens) adv.
undecim |  undecim
undecimus |  undecimus, a, um
Undecinum |  Undecin(um, i n
undeni |  undeni, ae, a
undeoctoginta |  undeoctoginta
undequinquagesimus |  undequinquagesimus, a, um
undequinquaginta |  undequinquaginta
undesexaginta |  undesexaginta
undetricesimus |  undetricesimus, a, um
undevicesimus |  undevicesimus (undevigesimus), a, um
undeviginti |  undeviginti
Undevitum |  Undevit(um, i n
undique |  undique adv.
undo |  undo, avi, atum, are поэт.
undosus |  undosus, a, um
unetvicesimani |  unetvicesimani, orum m
unetvicesimus |  unetvicesimus, a, um
ungo |  ungo (unguo), unxi, unctum, ere поэт.
unguen |  unguen, inis n
unguentarius |  unguentarius, i m
unguentum |  I unguentum, i n
