Vabrocidum |  Vabrocid(um, i n
vacatio |  vacatio, onis f
vacca |  vacca, ae f
vaccinium |  I vaccinium, i n
vacillo |  vacillo, avi, atum, are
vaco |  vaco, avi, atum, are impers.
vacuefacio |  vacuefacio, feci, factum, ere
vacuefio |  vacuefio, factus sum, fieri pass.
vacuola |  vacuola, ae f
vacuum |  vacuum, i n
vacuus |  vacuus, a, um поэт.
Vada |  I Vada, ae f
vadimonium |  vadimonium, i n
vado |  vado, --, --, ere
vador |  vador, atus sum, ari
vadosus |  vadosus, a, um
vadum |  vadum, i n
vae |  vae interj.
vafer |  vafer, fra, frum
vafre |  vafre adv.
vagalis |  vagalis, e анат.
vage |  vage adv.
Vagimidum |  Vagimid(um, i n
vagina |  vagina, ae f
vaginalis |  vaginalis, e анат.
vaginitis |  vaginitis, idis f
vagio |  vagio, ivi (ii), itum, ire
vagitus |  vagitus, us m
Vagivalum |  Vagival(um, i n
vagor |  vagor, atus sum, ari
Vagospasmylum |  Vagospasmyl(um, i n
Vagostigminum |  Vagostigmin(um, i n
vagus |  vagus, a, um анат.
valde |  valde adv.
Valecorum |  Valecor(um, i n
valedico |  valedico, dixi, --, ere
valens |  valens, entis
valenter |  valenter adv.
valeo |  valeo, lui, litum, ere
Valeriana |  Valeriana, ae f
Valerianas |  Valerianas, atis m
valerianicus |  valerianicus, a, um фармац.
Valerius |  Valerius, a, um
valesco |  valesco, --, --, ere
valetudinarium |  valetudinarium, i n
valetudo |  valetudo, inis f
valgus |  valgus, a, um
valide |  valide adv.
Validolum |  Validol(um, i n
validus |  validus, a, um воен.
Valinilum |  Valinil(um, i n
valitudo |  valitudo
Valium |  Valium, i n
vallaris |  vallaris, e
vallatus |  vallatus, a, um анат.
vallecula |  vallecula, ae f
valles |  valles (vallis), is f
vallo |  vallo, avi, atum, are
vallum |  vallum, i n
vallus |  vallus, i m
Valocordinum |  Valocordin(um, i n
Valocormidum |  Valocormid(um, i n
valva |  valva, ae f
valvae |  valvae, arum f
valvula |  valvula, ae f
valvularis |  valvularis, e анат.
Vancomycinum |  Vancomycin(um, i n
Vandali |  Vandali, orum m
Vandidum |  Vandid(um, i n
vanesco |  vanesco, --, --, ere
Vanicidum |  Vanicid(um, i n
Vanillaberonum |  Vanillaberon(um, i n
Vanilonum |  Vanilon(um, i n
vaniloquentia |  vaniloquentia, ae f
vaniloquus |  vaniloquus, a, um
vanitas |  vanitas, atis f
Vanizidum |  Vanizid(um, i n
vannus |  vannus, i f
Vanquilum |  Vanquil(um, i n
Vanquinum |  Vanquin(um, i n
vanum |  vanum, i n
vanus |  vanus, a, um
vapor |  vapor, oris m
vaporo |  vaporo, avi, atum, are
Vaporolum |  Vaporol(um, i n
vappa |  vappa, ae f
variatio |  variatio, onis f
Varicocidum |  Varicocid(um, i n
varicus |  varicus, a, um
varie |  varie adv.
varietas |  varietas, atis f
vario |  vario, avi, atum, are pass.
varius |  varius, a, um
Varro |  Varro, onis m
Varus |  Varus, i m
varus |  varus, a, um
vas |  I vas, is n
vasarium |  vasarium, i n
Vascardinum |  Vascardin(um, i n
vascularis |  vascularis, e анат.
vascularius |  vascularius, i m
vasculitis |  vasculitis, idis f
vasculosus |  vasculosus, a, um анат.
Vaselinum |  Vaselin(um, i n
Vasiodonum |  Vasiodon(um, i n
vasocardiographia |  vasocardiographia, ae f
Vasocorum |  Vasocor(um, i n
vasodilatatio |  vasodilatatio, onis f
Vasodilatolum |  Vasodilatol(um, i n
vasographia |  vasographia, ae f
Vasolanum |  Vasolan(um, i n
vasorrhaphia |  vasorrhaphia, ae f
vastatio |  vastatio, onis f
vastator |  vastator, oris m
vaste |  vaste adv.
vastitas |  vastitas, atis f
vasto |  vasto, avi, atum, are pass.
vastus |  vastus, a, um анат.
vates |  vates, is m
Vaticanus |  Vaticanus, a, um
vaticinatio |  vaticinatio, onis f
vaticinator |  vaticinator, oris m
vaticinius |  vaticinius, a, um
vaticinor |  vaticinor, atus sum, ari
vaticinus |  vaticinus, a, um
vatis |  vatis
VC |  VC сокр. от
ve |  I ve- (vae-) conj.
vecordia |  vecordia, ae f
vecors |  vecors (vaecors), ordis
vectigal |  vectigal, alis n
vectigalis |  vectigalis, e
vectis |  vectis, is m
vecto |  vecto, avi, atum, are
vector |  vector, oris m
vectorius |  vectorius, a, um
vectura |  vectura, ae f
Vegacillinum |  Vegacillin(um, i n
Veganthinum |  Veganthin(um, i n
vegetus |  vegetus, a, um
Vegolysenum |  Vegolysen(um, i n
vegrandis |  vegrandis, e
vehemens |  vehemens (vemens), entis
vehementer |  vehementer adv.
vehiculum |  vehiculum, i n
veho |  veho, vexi, vectum, ere pass.
Veji |  Veji, orum m
vel |  vel
velamen |  velamen, inis n
velamentum |  velamentum, i n
velati |  velati, orum m
Velbanum |  Velban(um, i n
Veleda |  Veleda, ae f
veles |  veles, itis m
velifer |  velifer, era, erum
velificor |  velificor, atus sum, ari
velitaris |  velitaris, e
velites |  velites, um m
velivolus |  velivolus, a, um
vellico |  vellico, avi, atum, are
vello |  vello, vulsi (volsi, velli), vulsum (volsum), ere
vellus |  vellus, eris n
velo |  velo, avi, atum, are
velocitas |  velocitas, atis f
velociter |  velociter adv.
velox |  velox, ocis поэт.
velum |  I velum, i n
velut |  velut (veluti) adv.
vena |  vena, ae f
venabulum |  venabulum, i n
venalicius |  venalicius, i m
venalis |  venalis, e
Venapiolinum |  Venapiolin(um, i n
venaticus |  venaticus, a, um
venatio |  venatio, onis f
venator |  I venator, oris m
venatorius |  venatorius, a, um
venatrix |  I venatrix, icis f
venatus |  venatus, us m
vendibilis |  vendibilis, e
venditatio |  venditatio, onis f
venditio |  venditio, onis f
vendito |  vendito, avi, atum, are
venditor |  venditor, oris m
vendo |  vendo, didi, ditum, ere
Venedi |  Venedi, orum m
venefica |  venefica, ae f
veneficium |  veneficium, i n
veneficus |  I veneficus, a, um m
venenatus |  venenatus, a, um
venenifer |  venenifer, era, erum
veneno |  veneno, avi, atum, are
venenum |  venenum, i n
veneo |  veneo, venii, venum, ire юр.
venerabilis |  venerabilis, e
venerabundus |  venerabundus, a, um
venerandus |  venerandus, a, um
veneratio |  veneratio, onis f
venerator |  venerator, oris m
veneratus |  veneratus, a, um
venereus |  venereus, a, um
veneror |  veneror, atus sum, ari
