Xanthacridinum |  Xanthacridin(um, i n
Xanthippe |  Xanthippe, es f
Xanthippus |  Xanthippus, i m
xanthocarpus |  xanthocarpus, a, um биолог.
Xanthomycinum |  Xanthomycin(um, i n
Xanthotoxinum |  Xanthotoxin(um, i n
xantophyllum |  xantophyllum, i n
xenium |  xenium, i n
Xenocrates |  Xenocrates, is m
Xenophon |  Xenophon, ontis m
xenotransplantatio |  xenotransplantatio, onis f
xerocheilia |  xerocheilia, ae f
xerodermia |  xerodermia, ae f
Xeroformium |  Xeroformium, i n
xerophthalmia |  xerophthalmia, ae f
Xerophtolum |  Xerophtol(um, i n
xerostomia |  xerostomia, ae f
Xerxes |  Xerxes, is m
xiphias |  xiphias, ae ( acc.
xiphoideus |  xiphoideus, a, um анат.
xiphosternalis |  xiphosternalis, e анат.
Xycainum |  Xycain(um, i n
Xylestesinum |  Xylestesin(um, i n
Xylocitinum |  Xylocitin(um, i n
Xylomethazolinum |  Xylomethazolin(um, i n
Xylotonum |  Xyloton(um, i n
Xylotoxum |  Xylotox(um, i n
xyphophyllus |  xyphophyllus, a, um биолог.
