Zacynthos |  Zacynthos (-us), i f
Zama |  Zama, ae f
Zarontinum |  Zarontin(um, i n
Zea |  Zea Mays бот.
Zenon |  Zeno(n), onis m
Zentraleptinum |  Zentraleptin(um, i n
Zentropylum |  Zentropyl(um, i n
zephyrus |  zephyrus, i m
Zethus |  Zethus, i m
Zeuxis |  Zeuxis, idis (idos) m
Zincum |  Zincum, i n
Zincundanum |  Zincundan(um, i n
Zingiberales |  Zingiberales, ium f
zmaragdus |  zmaragdus, i m
Zoilus |  Zoilus, i m
zona |  zona, ae f
zonalis |  zonalis, e анат.
zonarius |  zonarius, i m
Zonazidum |  Zonazid(um, i n
zonula |  zonula, ae f
zonularis |  zonularis, e анат.
zoochoria |  zoochoria, ae f
zoochorus |  zoochorus, a, um биолог.
zoocoenosis |  zoocoenosis, is f
zoonosis |  zoonosis, is f
zoophilia |  zoophilia, ae f
zoospora |  zoospora, ae f
zotheca |  zotheca, ae f
zygapophysealis |  zygapophysealis, e анат.
zygapophysis |  zygapophysis, e
zygoma |  zygoma, atis n
zygomaticofacialis |  zygomaticofacialis, e анат.
zygomaticofrontalis |  zygomaticofrontalis, e анат.
zygomaticoorbitalis |  zygomaticoorbitalis, e анат.
zygomaticotemporalis |  zygomaticotemporalis, e анат.
zygomaticus |  zygomaticus, a, um анат.
