abacus | abăcus, i m
Abantiades | Abantiădes, ae m
Abapressinum | Abapressīnum, i n
Abas | Abas, antis m
abavus | abăvus, i m
Abbocortum | Abbocortum, i n
Abdera | Abdēra, ōrum n
Abderites | Abderītes, ae m
abdicatio | abdicatio, ōnis f
abdomen | abdōmen, ĭnis n
abdominalis | abdominālis, e анат.
abducens | abdūcens, entis анат.
abductio | abductio, ōnis f
abductor | abductor, ōris m
Abella | Abella, ae f
Abellani | Abellāni, ōrum m
aberrans | aberrans, antis анат.
aberratio | aberratio, ōnis f
abfore | abfŏre inf.
abforem | abfŏrem impf.
abhinc | abhinc adv.
Abicinum | Abicīnum, i n
abies | abies, ĕtis f
Abiguanilum | Abiguanīlum, i n
abitus | abĭtus, ūs m
abjectio | abjectio, ōnis f
ablegatio | ablegatio, ōnis f
abludo | ablūdo, --, --, ĕre досл.
abluo | abluo, ui, utum ere part.
abolitio | abolitio, onis f
Abominum | Abominum, i n
aboralis | aboralis, e анат.
abortio | abortio, onis f
Abrodanum | Abrodanum, i n
Abrodilum | Abrodilum, i n
Abrogenum | Abrogenum, i n
abrotonum | abrotonum, i n
abrotonus | abrotonus, i m
Abrovalum | Abrovalum, i n
abruptio | abruptio, onis f
abscessio | abscessio, onis f
abscessus | abscessus, us m
abscondite | abscondite adv.
absens | absens, entis part.
absentia | absentia, ae f
Absentolum | Absentolum, i n
absinthium | absinthium, i n
absolute | absolute adv.
absolutio | absolutio, onis f
absque | absque praep.
abstinenter | abstinenter adv.
abstinentia | abstinentia, ae f
abstineo | abstineo, ui, tentum, ere pass.
Abstinylum | Abstinylum, i n
absum | absum, afui (abfui), afuturus, abesse part.
absumo | absumo, sumpsi, sumptum, ere pass.
absurde | absurde adv.
Abuleminum | Abuleminum, i n
abundantia | abundantia, ae f
abunde | abunde adv.
abusque | abusque praep.
abusus | abusus, us m
acacia | acacia, ae f
Academia | Academia, ae f
Academus | Academus, i m
acalanthis | acalanthis, idis f
Acamas | Acamas, antis m
Acanthus | I Acanthus, i f
Acarnanes | Acarnanes, um m
Acarnania | Acarnania, ae f
Acastus | Acastus, i m
Acca | Acca Larentia f
accendo | accendo, cendi, censum, ere pass.
accensus | accensus, i m
acceptio | acceptio, onis f
acceptum | acceptum, i n
accessio | accessio, onis f
accessus | accessus, us m
accido | I accido, cidi, cisum, ere pass.
accingo | accingo, cinxi, cinctum, ere pass.
accipiter | accipiter, tris m
accitus | accitus, us m
acclamatio | acclamatio, onis f
acclivitas | acclivitas, atis f
accola | accola, ae m
accommodatio | accommodatio, onis f
accubita | accubita, ae f
accubitio | accubitio, onis f
accurate | accurate adv.
accusatio | accusatio, onis f
accusator | accusator, aris m
accusatorie | accusatorie adv.
Ace | Ace, es f
Aceclidinum | Aceclidinum, i n
Acecolinum | Acecolinum, i n
Acedigalum | Acedigalum, i n
Acedoxinum | Acedoxinum, i n
Acenocumarinum | Acenocumarinum, i n
Acenocumarolum | Acenocumarolum, i n
Acephenum | Acephenum, i n
acer | I acer, eris n
acerbe | acerbe adv.
acerbitas | acerbitas, atis f
acerra | acerra, ae f
Acerrae | Acerrae, arum f
Acerrani | Acerrani, orum m
acervatim | acervatim adv.
acervulus | acervulus, i m
acervus | acervus, i m
Acesalum | Acesalum, i n
