Babylon | Babylon, onis f
Babylonia | Babylonia, ae f
Babylonii | Babylonii, orum m
baca | baca (bacca), ae f
bacca | I bacca, ae f
baccalauriatus | baccalauriatus, us m
baccar | baccar (bacchar), aris n
baccha | baccha, ae f
Bacchanal | Bacchanal, alis n
Bacchanalia | Bacchanalia, ium n
bacchar | bacchar, aris n
baccharis | baccharis, is f
bacchatio | bacchatio, onis f
Bacchiadae | Bacchiadae, arum m
Bacchis | Bacchis, idis f
bacchor | bacchor, atus sum, ari pass.
Bacchus | Bacchus, i m
baccula | baccula (bacula), ae f
Bacenis | Bacenis, is f
bacillum | bacillum, i n
bactericidus | bactericidus, a, um мед.
bacteroidum | bacteroidum, i n
Bactra | Bactra, orum n
Bactri | Bactri, orum m
Bactriani | Bactriani, orum m
Bactrus | Bactrus, i m
Bactylanum | Bactylanum, i n
baculum | baculum, i n
Badionalum | Badionalum, i n
Baecula | Baecula (Baecyla), ae f
Baecyla | Baecyla, ae f
Baetici | Baetici, orum m
Baetis | Baetis, is f
Bagaudae | Bagaudae, arum m
Bagoas | Bagoas, ae m
Bagous | Bagous, i m
Bagrada | Bagrada, ae m
Baittiades | Baittiades, ae m
Bajae | Bajae, arum f
balaena | balaena, ae f
balatro | balatro, onis m
balatus | balatus, us m
Baleares | Baleares, ium f
Balearis | I Balearis, e m
balineum | balineum n
balista | balista или ballista, ae f
ballista | I ballista, ae f
balneae | balneae, arum f
balneator | balneator, oris m
balneolum | balneolum, i n
balneum | balneum, i n
balsamum | balsamum, i n
balteus | balteus, i m
Balusilum | Balusilum, i n
Bamballo | Bamballo, onis m
Bamethanum | Bamethanum, i n
Banacidum | Banacidum, i n
bandaletta | bandaletta, ae f
Bandusia | Bandusia, ae f
Banocidum | Banocidum, i n
Banthioninum | Banthioninum, i n
Bantia | Bantia, ae f
Bantini | Bantini, orum m
barathrum | barathrum, i n
barba | barba, ae f
Barbamylum | Barbamylum, i n
Barbana | Barbana, ae m
barbare | barbare adv.
barbaria | barbaria, ae f
barbaries | barbaries, ei f
barbarus | I barbarus, a, um m
Barbenylum | Barbenylum, i n
Barbidormum | Barbidormum, i n
Barbinalum | Barbinalum, i n
Barbiphenum | Barbiphenum, i n
Barbitalum | Barbitalum, i n
Barbitonum | Barbitonum, i n
barbitos | barbitos, i m
Barbituralum | Barbituralum, i n
barbula | barbula, ae f
Barca | Barca, ae m
Barcaei | Barcaei, orum m
Barce | Barce, es f
Barcini | Barcini, orum m
Bargusii | Bargusii, orum m
Bargylia | Bargylia, orum n
Bargyliae | Bargyliae, arum f
Bargylietae | Bargylietae, arum m
Barium | I Barium, i n
barotrauma | barotrauma, atis n
barrus | barrus, i m
Barvincanum | Barvincanum, i n
basalis | basalis, e анат.
basilaris | basilaris, e анат.
basilica | basilica, ae f
basion | basion, i n
basiopodium | basiopodium, i n
basis | basis, is f
basisphenoidum | basisphenoidum, i анат.
basivertebralis | basivertebralis, e анат.
Basolanum | Basolanum, i n
Bassania | Bassania, ae f
Bassanitae | Bassanitae, arum m
Bassareus | Bassareus (=Bassare^us), ei m
Bastarnae | Bastarnae (Basternae), arum m
Basternae | Basternae, arum m
Batavi | Batavi, orum m
Batavodurum | Batavodurum, i n
Bathyllus | Bathyllus, i m
batillum | batillum, i n
Batilolum | Batilolum, i n
Battus | Battus, i m
Batulum | Batulum, i n
Baucis | Baucis, idis f
Bauli | Bauli, orum m
Bavius | Bavius, i m
Beacillinum | Beacillinum, i n
Beadoxum | Beadoxum, i n
beate | beate adv.
Bebryces | Bebryces, um m
Bebrycia | Bebrycia, ae f
Becaptanum | Becaptanum, i n
Becarbonum | Becarbonum, i n
beccus | beccus, i m
Bedoxinum | Bedoxinum, i n
Bedriacum | Bedriacum, i n
Bedumilum | Bedumilum, i n
Beflavinum | Beflavinum, i n
Beflavitum | Beflavitum, i n
Befunginum | Befunginum, i n
Beglucinum | Beglucinum, i n
Belfacillinum | Belfacillinum, i n
Belgae | Belgae, arum m
Belgium | Belgium, i n
Belides | Belides, ae m
Belis | Belis, idis f
Belladonna | Belladonna, ae f
Bellalginum | Bellalginum, i n
Bellasponum | Bellasponum, i n
Bellasthesinum | Bellasthesinum, i n
Bellataminalum | Bellataminalum, i n
bellator | bellator, oris m
bellatrix | bellatrix, icis f
Bellazonum | Bellazonum, i n
belle | belle adv.
Bellerophon | Bellerophon, ontis m
Bellerophontes | Bellerophontes, ae m
bellicum | bellicum, i n
Bellocassi | Bellocassi, orum m
Belloidum | Belloidum, i n
Bellona | Bellona, ae f
Bellovaci | Bellovaci, orum m
bellua | bellua, ae f
bellum | bellum, i n
belua | belua (bellua), ae f
Belus | Belus, i m
Bemegridum | Bemegridum, i n
Bemephatum | Bemephatum, i n
Benactina | Benactina, ae f
Benactizynum | Benactizynum, i n
Benacus | Benacus, i m
Benadonum | Benadonum, i n
Benadrylum | Benadrylum, i n
Bencyclanum | Bencyclanum, i n
Bendorum | Bendorum, i n
bene | bene adv.
Benecardinum | Benecardinum, i n
Benedormum | Benedormum, i n
beneficiarii | beneficiarii, orum m
beneficium | beneficium, i n
beneficus | beneficus, a, um compar.
Benemycinum | Benemycinum, i n
Benerva | Benerva, ae f
Beneurinum | Beneurinum, i n
Beneventum | Beneventum, i n
benevolentia | benevolentia, ae f
benevolus | benevolus, a, um compar.
Benicotum | Benicotum, i n
benigne | benigne adv.
benignitas | benignitas, atis f
benignus | benignus, a, um мед.
Benilum | Benilum, i n
Benphthalatum | Benphthalatum, i n
Bensothiozonum | Bensothiozonum, i n
Benucidum | Benucidum, i n
Benzacillinum | Benzacillinum, i n
Benzacinum | Benzacinum, i n
Benzamonum | Benzamonum, i n
Benzchlorpropamidum | Benzchlorpropamidum, i n
Benzestrinum | Benzestrinum, i n
Benzethacilum | Benzethacilum, i n
Benzhydraminum | Benzhydraminum, i n
benzinum | benzinum, i n
benzoas | benzoas, atis m
Benzobarbitalum | Benzobarbitalum, i n
Benzocainum | Benzocainum, i n
Benzodiapinum | Benzodiapinum, i n
Benzodixinum | Benzodixinum, i n
benzoicus | benzoicus, a, um хим.
Benzonalum | Benzonalum, i n
Benzonaphtholum | Benzonaphtholum, i n
Benzosulfonas | Benzosulfonas, atis m
Benzpropaminum | Benzpropaminum, i n
Benzylium | Benzylium, i n
Benzylpenicillinum | Benzylpenicillinum-natrium, Benzylpenicillini-natrii n
Bepasalum | Bepasalum, i n
Bepascum | Bepascum, i n
Berberinum | Berberinum, i n
Berberis | Berberis, idis f
Berecyntae | Berecyntae, arum m
Berecyntes | Berecyntes, um m
Berenice | Berenice (Beronice), es f
Berenicis | Berenicis, idis f
Bergomum | Bergomum, i n
Berinum | Berinum, i n
Berlicetinum | Berlicetinum, i n
Berlophenum | Berlophenum, i n
beroarius | beroarius, i m
Beroea | Beroea, ae f
Beroeaeus | Beroeaeus, i m
Beroeenses | Beroeenses, ium m
Berolasa | Berolasa, ae f
Berones | Berones, um m
Beronice | Beronice, es f
Beroxanum | Beroxanum, i n
berta | berta, ae f
Berubigenum | Berubigenum, i n
Berytus | Berytus, i f
Besalolum | Besalolum, i n
Besaltica | Besaltica, ae f
Besatinum | Besatinum, i n
Bessi | Bessi, orum m
Bessus | Bessus, i m
bestia | bestia, ae f
bestiarius | I bestiarius, a, um m
Beta | Beta, ae f
Betabionum | Betabionum, i n
Betacidum | Betacidum, i n
Betaminum | Betaminum, i n
Betaneurinum | Betaneurinum, i n
Betasinum | Betasinum, i n
