 
caballus | caballus, i m
Cabillonum | Cabillonum, i n
Cabira | Cabira, orum n
Cabiri | Cabiri, orum m
cacao | cacao indecl.
cachinnus | cachinnus, i m
cacumen | cacumen, inis n
Cacus | Cacus, i m
cadaver | cadaver, eris n
Cadmea | Cadmea, ae f
Cadmeis | I Cadmeis, idos f
Cadmus | Cadmus, i m
caduceator | caduceator, oris m
caduceum | caduceum, i n
caduceus | caduceus, i m
caducifer | caducifer, eri m
caducus | caducus, а, um юр.
Cadurci | Cadurci, orum m
cadus | cadus, i m
Cadusii | Cadusii, orum m
caecitas | caecitas, atis f
Caeculus | Caeculus, i m
caecus | caecus, a, um бот.
caedes | caedes, is f
caelamen | caelamen, inis n
caelator | caelator, oris m
caeles | I caeles, itis m
caelestis | I caelestis, e m
caelibatus | caelibatus, us m
caelicola | caelicola, ae m
caelo | caelo, avi, atum, are поэт.
caelum | caelum (coelum), i n
caelus | caelus, i m
caementum | caementum, i n
Caenina | Caenina, ae f
Caeninenses | Caeninenses, ium m
Caenophrurium | Caenophrurium, i n
caenum | caenum, i n
caepa | caepa, ae f
caepe | caepe, is n
Caepio | Caepio, onis m
Caere | Caere, n
Caeres | I Caeres, itis f
Caeretani | Caeretani, orum m
Caeretes | Caeretes, um m
caerimonia | caerimonia, ae f
Caerites | Caerites m
caerula | caerula,orum n
Caesar | Caesar, aris m
Caesarea | Caesarea, ae f
Caesariani | Caesariani, orum m
caesaries | caesaries, ei f
Caesena | Caesena, ae f
Caesia | Caesia silva f
caesim | caesim adv.
Caeso | Caeso, onis m
caespes | caespes, itis m
caestus | caestus, us m
caetra | caetra, ae f
cafea | cafea, ae f
cafeum | cafeum, i n
Caffeinum | Caffein(um, i n
Cafronum | Cafron(um, i n
Caicus | Caicus, i m
Cajeta | Cajeta, ae f
Cajete | Cajete, es f
Calabri | Calabri, orum m
Calabria | Calabria, ae f
Calacte | Calacte, es f
Calactini | Calactini, orum m
Calagurris | Calagurris, is f
Calagurritani | Calagurritani, orum m
Calais | Calais, idis m
Calamis | Calamis, idis m
calamister | calamister, tri m
calamistrum | calamistrum, tri n
calamitas | calamitas, atis f
calamus | calamus, i m
calantica | calantica, ae f
calathus | calathus, i m
Calatia | Calatia, ae f
Calatini | Calatini, orum m
Calaurea | Calaurea (Calauria), ae f
calautica | calautica (calantica), ae f
calcaneocuboideus | calcaneocuboideus, a, um анат.
calcaneonavicularis | calcaneonavicularis, e анат.
calcaneum | calcaneum, i n
calcaneus | calcaneus, a, um анат.
calcar | calcar, aris n
Calcedon | Calcedon, onis f
calceus | calceus, i m
Calchas | Calchas, antis m
Calchedon | Calchedon (Calcedon, Chalcedon), onis f
Calchedonii | Calchedonii, orum m
Calciferolum | Calciferol(um, i n
Calciiodinum | Calciiodin(um, i n
Calcium | Calcium, i n
calcius | calcius, i m
Calcuitum | Calcuit(um, i n
calculosis | calculosis, is f
calculosus | calculosus, a, um мед.
calculus | calculus, i m
calda | calda, ae f
Caledonia | Caledonia, ae f
calefio | calefio pass.
Calendae | Calendae (Kalendae), arum f
calendarium | calendarium, i n
Calendula | Calendula, ae f
Cales | Cales, ium f
Caletes | Caletes, um m
Caleti | Caleti, orum m
Calgamum | Calgam(um, i n
caliandrum | caliandrum (caliendrum), i n
calices | calices, um f
caliculus | caliculus, i m
calida | I calida (calda), ae f
caliendrum | caliendrum, i n
caliga | caliga, ae f
caligo | I caligo, avi, atum, are f
calix | calix, icis m
Callicula | Callicula, ae f
callide | callide adv.
calliditas | calliditas, atis f
Callidromos | Callidromos (-us), i m
Callifae | Callifae, arum f
Callimachus | Callimachus, i m
Calliope | Calliope, es f
Calliphon | Calliphon, ontis m
Callipolis | Callipolis, is f
Callirrhoe | Callirrhoe, es f
callis | callis, is m
Callisthenes | Callisthenes, is m
Callisto | Callisto, us f
callum | callum, i n
Calmodidum | Calmodid(um, i n
calo | I calo, avi, atum, are m
calophyllus | calophyllus, a, um бот.
calor | I calor, oris m
Calosoma | Calosoma, atis n
Calpanatum | Calpanat(um, i n
Calpe | Calpe, es f
caltha | caltha, ae f
calumnia | calumnia, ae f
calumniator | calumniator, oris m
calva | calva, ae f
calvaria | calvaria, ae f
calvor | calvor, --, calvi pass.
calx | I calx, calcis f
Calycadnus | Calycadnus, i m
calyces | calyces, um f
Calydon | Calydon, onis f
Calydonis | I Calydonis, idis f
Calymne | Calymne, es f
Calypso | Calypso, us (onis) f
camara | camara, ae f
Camarina | Camarina, ae f
Cambunii | Cambunii montes m
Cambyses | Cambyses, is m
camella | camella, ae f
camelus | camelus, i m
Camena | Camena (Camoena), ae f
camera | camera (camara), ae f
Cameria | Cameria, ae f
Camerina | Camerina (Camarina), ae f
Camerinum | Camerinum, i n
Camerium | Camerium, i n
Camertes | Camertes, ium m
Cametonum | Cameton(um, i n
Camillus | Camillus, i m
caminus | caminus, i m
Camirus | Camirus, i f
Camoena | Camoena, ae f
Camoludunum | Camoludunum, i n
Campani | Campani, orum m
Campania | Campania, ae f
campestre | campestre, is n
Camphatalum | Camphatal(um, i n
Camphidonium | Camphidonium, i n
Camphiodum | Camphiod(um, i n
Camphocinum | Camphocin(um, i n
Camphodalum | Camphodal(um, i n
Camphonium | Camphonium, i n
Camphora | Camphora, ae f
Camphoratus | Camphoratus, a, um фармац.
Campolonum | Campolon(um, i n
campus | campus, i m
Canace | Canace, es f
Canae | Canae, arum f
canalis | canalis, is m
Canastrum | Canastrum, i n
cancelli | cancelli, orum m
cancer | cancer, eri m
cancerogenus | cancerogenus, a, um мед.
cancerophobia | cancerophobia, ae f
Candavia | Candavia, ae f
candela | candela, ae f
candelabrum | candelabrum, bri n
candidatus | I candidatus, a, um m
