 
Daci | Daci, orum m
Dacia | Dacia, ae f
Dacoromania | Dacoromania, ae f
Dacortinum | Dacortin(um, i n
dacryoadenalgia | dacryoadenalgia, ae f
dacryoadenitis | dacryoadenitis, idis f
dacryocystectomia | dacryocystectomia, ae f
dacryocystitis | dacryocystitis, idis f
dacryocystorhinostomia | dacryocystorhinostomia, ae f
dacryocystus | dacryocystus, i m
dacryostenosis | dacryostenosis, is f
dactylalgia | dactylalgia, ae f
dactylomegalia | dactylomegalia, ae f
Dactylorhiza | Dactylorhiza, ae f
dactylospasmus | dactylospasmus, i m
dactylus | dactylus, i m
Daedala | Daedala, orum n
Daedalus | Daedalus (-os), i m
Dahae | Dahae, arum m
Daimstonum | Daimston(um, i n
Dalgolum | Dalgol(um, i n
Dalmatae | Dalmatae (Delmatae), arum m
Dalmatia | Dalmatia (Delmatia), ae f
dama | dama (damma), ae f
Damascus | Damascus, i f
Damilenum | Damilen(um, i n
damiurgus | damiurgus, i m
damma | damma, ae f
damnatio | damnatio, onis f
damno | damno, avi, atum, are pass.
damnose | damnose adv.
damnum | damnum, i n
Damocles | Damocles, is m
Damon | Damon, onis m
Danae | Danae, es f
Danai | Danai, orum m
Danantizolum | Danantizol(um, i n
Danaus | I Danaus, a, um m
Dania | Dania, ae f
Danilonum | Danilon(um, i n
Danubius | Danubius, i m
Danuvius | Danuvius (Danubius), i m
Danylenum | Danylen(um, i n
Daphne | Daphne, es f
Daphnenses | Daphnenses, ium m
Daphnis | Daphnis, idis m
Dapotum | Dapot(um, i n
daps | daps, dapis f
Dapsonum | Dapson(um, i n
Daraclorum | Daraclor(um, i n
Daraprimum | Daraprim(um, i n
Dardani | Dardani, orum m
Dardania | I Dardania, ae f
Dardanides | Dardanides, ae m
Dardanis | Dardanis, idis f
Dardanius | Dardanius, a, um поэт.
Dardanus | I Dardanus, a, um поэт.
Darenthinum | Darenthin(um, i n
Dareus | Dareus (Darius), i m
Darminolum | Darminol(um, i n
Dartalum | Dartal(um, i n
dartos | dartos indecl.
dasyanthus | dasyanthus, a, um бот.
dasyphyllus | dasyphyllus, a, um бот.
Dasyurus | Dasyurus, i m
datio | datio, onis f
dator | dator, oris m
Daucarinum | Daucarin(um, i n
Daucus | Daucus, i f
Daulis | Daulis, idis f
Daunias | Daunias, adis f
Daunomycinum | Daunomycin(um, i n
Daunus | Daunus, i m
Daurinum | Daurin(um, i n
Davosinum | Davosin(um, i n
de | de praep.
dea | dea, ae f
Debefenium | Debefenium, i n
debellator | debellator, oris m
Debenalum | Debenal(um, i n
debeo | debeo, bui, bitum, ere pass.
debilitas | debilitas, atis f
debilitatio | debilitatio, onis f
debilito | debilito, avi, atum, are pass.
debitio | debitio, onis f
debitor | debitor, oris m
debitum | debitum, i n
Decadilum | Decadil(um, i n
Decadronum | Decadron(um, i n
Decamevitum | Decamevit(um, i n
Decaminum | Decamin(um, i n
Decapoda | Decapoda, orum n
decedo | decedo, cessi, cessum, ere воен.
Decelea | Decelea (Decelia), ae f
december | I december, bris, bre m
decemflorus | decemflorus, a, um бот.
decemlineatus | decemlineatus, a, um биолог.
decempeda | decempeda, ae f
decempedator | decempedator, oris m
decemprimi | decemprimi, orum m
decemvir | decemvir, i m
decemviratus | decemviratus, us m
decenter | decenter adv.
decerno | decerno, crevi, cretum, ere юр.
decertatio | decertatio, onis f
decessio | decessio, onis f
decessor | decessor, oris m
decessus | decessus, us m
decet | decet см.
Decetia | Decetia, ae f
decidua | decidua, ae f
decidualis | decidualis, e анат.
deciduus | deciduus, a, um анат.
deciens | deciens (decies) adv.
decima | decima, ae f
decimana | decimana, ae f
decimanus | I decimanus (decumanus), a, um юр.
decimum | decimum adv.
decimus | I decimus (dеcumus), a, um m
decipio | decipio, cepi, ceptum, ere поэт.
decisio | decisio, onis f
declamatio | declamatio, onis f
declamator | declamator, oris m
declaratio | declaratio, onis f
declinatio | declinatio, onis f
declive | declive, is n
declivia | declivia, ium n
declivitas | declivitas, atis f
decoctor | decoctor, oris m
decoctum | decoctum, i n
decor | I decor, oris m
decore | decore adv.
Decortenum | Decorten(um, i n
Decortinum | Decortin(um, i n
Decortonum | Decorton(um, i n
decorum | decorum, i n
Decosteronum | Decosteron(um, i n
Decostratum | Decostrat(um, i n
decretum | decretum, i n
decuria | decuria, ae f
decuriatio | decuriatio, onis f
decuriatus | decuriatus, us m
decurio | I decurio, avi, atum, are m
decurro | decurro, curri (cucurri), cursum, ere воен.
decursio | decursio, onis f
decursus | decursus, us m
decus | decus, oris n
decussatio | decussatio, onis f
Dedalonum | Dedalon(um, i n
dedecus | dedecus, oris n
dedicatio | dedicatio, onis f
deditio | deditio, onis f
Dedoranum | Dedoran(um, i n
deduco | deduco, duxi, ductum, ere воен.
deductio | deductio, onis f
deductor | deductor, oris m
defatigatio | defatigatio (defetigatio), onis f
defectio | defectio, onis f
defectus | I defectus, a, um m
defensio | defensio, onis f
defensor | defensor, oris m
deferens | deferens, entis анат.
deferentialis | deferentialis, e анат.
defero | defero, teli, latum, ferre pass.
Deferoxaminum | Deferoxamin(um, i n
defetigatio | defetigatio, onis f
defigo | defigo, fixi, fixum, ere pass.
definite | definite adv.
definitio | definitio, onis f
deflagratio | deflagratio, onis f
defore | defore inf.
deformatio | deformatio, onis f
deformitas | deformitas, atis f
defrutum | defrutum, i n
degeneratio | degeneratio, onis f
degrandinat | degrandinat impers.
Degranolum | Degranol(um, i n
dehelminthisatio | dehelminthisatio, onis f
dehinc | dehinc adv.
dehiscens | dehiscens, entis анат.
dehonestamentum | dehonestamentum, i n
Dehycholum | Dehychol(um, i n
Dehydratinum | Dehydratin(um, i n
Dehydrobenzperidolum | Dehydrobenzperidol(um, i n
Dehydrocholinum | Dehydrocholin(um, i n
Dehydrocortisolum | Dehydrocortisol(um, i n
Dehydrocortisonum | Dehydrocortison(um, i n
Dehydrostreptomycinum | Dehydrostreptomycin(um, i n
Deianira | Deianira, ae f
Deidamia | Deidamia, ae f
deinceps | deinceps adv.
deinde | deinde (dein) adv.
Deionides | Deionides, ae m
Deiphobe | Deiphobe, es f
Deiphobus | Deiphobus, i m
dejectio | dejectio, onis f
dejectus | I dejectus, a, um m
Dekadinum | Dekadin(um, i n
Dekristolum | Dekristol(um, i n
Delagilum | Delagil(um, i n
Delalutinum | Delalutin(um, i n
Delatestrylum | Delatestryl(um, i n
delatio | delatio, onis f
delator | delator, oris m
Delcortinum | Delcortin(um, i n
delectamentum | delectamentum, i n
delectatio | delectatio, onis f
delecto | delecto, avi, atum, are pass.
delectus | delectus, us m
delenimentum | delenimentum (delinimentum), i n
deletrix | deletrix, icis f
Delia | Delia, ae f
deliberatio | deliberatio, onis f
deliberator | deliberator, oris m
delicate | delicate adv.
deliciae | deliciae, arum f
delicium | delicium, i n
delictum | delictum, i n
deligo | I deligo, avi, atum, are воен.
delinimentum | delinimentum, i n
deliratio | deliratio, onis f
Delium | Delium, i n
Delius | I Delius, a, um m
Delmatae | Delmatae, arum m
Delmatia | Delmatia, ae f
Delos | Delos, i f
Delphi | I Delphi, orum m
delphin | delphin, inis m
delphinus | delphinus, i m
Delsolonum | Delsolon(um, i n
Delta | Delta n
delta | delta, ae f
Deltalinum | Deltalin(um, i n
Deltaminum | Deltamin(um, i n
Deltastabum | Deltastab(um, i n
Deltidrosolum | Deltidrosol(um, i n
Deltisotonum | Deltisoton(um, i n
deltoideus | deltoideus, a, um анат.
Deltoton | Deltoton, i n
delubrum | delubrum, i n
Delvexum | Delvex(um, i n
Delysidum | Delysid(um, i n
dementer | dementer adv.
dementia | dementia, ae f
demercurisatio | demercurisatio, onis f
Demerolum | Demerol(um, i n
demigratio | demigratio, onis f
deminutio | deminutio, onis f
demisse | demisse adv.
demissio | demissio, onis f
demitto | demitto, misi, missum, ere воен.
demiurgus | demiurgus (damiurgus), i m
democratia | democratia, ae f
Democritea | Democritea, orum n
Democritii | Democritii, orum m
Democritus | Democritus, i m
demolitio | demolitio, onis f
demonstratio | demonstratio, onis f
demonstro | demonstro, avi, atum, are юр.
demum | demum adv.
denarius | denarius, i m
Dendrilum | Dendril(um, i n
dendrochronologia | dendrochronologia, ae f
Dendrocopos | Dendrocopos, i m
Dendrolagus | Dendrolagus, i m
dendrologus | dendrologus, i m
deni | deni, ae, a gen.
denique | denique adv.
dens | dens, dentis m
dense | dense adv.
denseo | denseo, sui, --, ere pass.
dentalia | dentalia, ium n
dentifricium | dentifricium, i n
dentinum | dentinum, i n
dentiscalpium | dentiscalpium, i n
denuntiatio | denuntiatio, onis f
denuntio | denuntio, avi, atum, are юр.
denuo | denuo adv.
denus | denus, a, um sg.
Deois | Deois, idis f
depeculator | depeculator, oris m
depello | depello, puli, pulsum, ere воен.
depono | depono, posui, positum, ere pass.
depopulatio | depopulatio, onis f
depopulator | depopulator, oris m
Deposulfalum | Deposulfal(um, i n
Deposulum | Deposul(um, i n
deprecatio | deprecatio, onis f
deprecator | deprecator, oris m
deprehendo | deprehendo (deprendo), prehendi (prendi), prehensum (prensum), ere pass.
deprehensio | deprehensio, onis f
Depressanum | Depressan(um, i n
Depressinum | Depressin(um, i n
depressor | depressor, oris m
Depridolum | Depridol(um, i n
Depriminum | Deprimin(um, i n
Deprinolum | Deprinol(um, i n
depudet | depudet, puduit, --, ere impers.
depulsio | depulsio, onis f
depulsor | depulsor, oris m
Dequadinum | Dequadin(um, i n
Dequalonum | Dequalon(um, i n
Dequasponum | Dequaspon(um, i n
Derbe | Derbe, es f
Derbetes | Derbetes, is m
Derbices | Derbices, um m
Dercetis | Dercetis, is f
derepente | derepente adv.
deridiculum | deridiculum, i n
Deripenum | Deripen(um, i n
derisor | derisor, oris m
derivatio | derivatio, onis f
Derizenum | Derizen(um, i n
derma | derma, atis n
Dermaptera | Dermaptera, orum n
dermaticus | dermaticus, a, um анат.
dermatitis | dermatitis, idis f
dermatologia | dermatologia, ae f
dermatologus | dermatologus, i m
Dermatolum | Dermatol(um, i n
dermatomycoses | dermatomycoses, ium f
dermatosis | dermatosis, is f
dermocranium | dermocranium, i n
Dermosolonum | Dermosolon(um, i n
derogatio | derogatio, onis f
Dertona | Dertona, ae f
derupta | derupta, orum n
Desaminooxytocinum | Desaminooxytocin(um, i n
Desaminum | Desamin(um, i n
descendo | descendo, scendi, scensum, ere воен.
descensio | descensio, onis f
descensus | descensus, us m
Deschloraureomycinum | Deschloraureomycin(um, i n
Descorteronum | Descorteron(um, i n
Descortonum | Descorton(um, i n
descriptio | descriptio, onis f
Descurinia | Descurinia, ae f
Deseptylum | Deseptyl(um, i n
deserta | deserta, orum n
desertor | desertor, oris m
Desferalum | Desferal(um, i n
Desferanum | Desferan(um, i n
Desferexum | Desferex(um, i n
Desferinum | Desferin(um, i n
Desferrioxaminum | Desferrioxamin(um, i n
desiderium | desiderium, i n
desidero | desidero, avi, atum, are pass.
desidia | desidia, ae f
designator | designator, oris m
desinfectio | desinfectio, onis f
desmodontium | desmodontium, i n
Desopimonum | Desopimon(um, i n
Desoxyephedrinum | Desoxyephedrin(um, i n
Desoxynum | Desoxyn(um, i n
Desoxyphedum | Desoxyphed(um, i n
Desoxyphenobarbitonum | Desoxyphenobarbiton(um, i n
Desoxyribonucleasa | Desoxyribonucleasa, ae f
Desoxyribonucleasum | Desoxyribonucleasum, i n
despectio | despectio, onis f
despectus | despectus, us m
desperatio | desperatio, onis f
despicatus | I despicatus, a, um m
destillatus | destillatus, a, um хим.
destinata | destinata, orum n
destinatio | destinatio, onis f
destinatum | destinatum, i n
destituo | destituo, stitui, stitutum, ere pass.
destitutio | destitutio, onis f
desuefacio | desuefacio, feci, factum, ere pass.
desuetudo | desuetudo, inis f
desultor | desultor, oris m
desuper | desuper adv.
deterior | deterior, ius adj.
deterius | deterius adv.
detestatio | detestatio, onis f
detractatio | detractatio, onis f
detractator | detractator, oris m
detrectatio | detrectatio (detractatio), onis f
detrectator | detrectator (detractator), oris m
detrimentum | detrimentum, i n
detrudo | detrudo, trusi, trusum, ere воен.
detrusor | detrusor, oris m
Deucalion | Deucalion, onis m
Deumacardum | Deumacard(um, i n
deunx | deunx, uncis m
deus | deus, i m
Deveganum | Devegan(um, i n
deversorium | deversorium, i n
deverticulum | deverticulum (devorticulum), i n
devia | devia, orum n
deviatio | deviatio, onis f
Devincanum | Devincan(um, i n
devius | devius, a, um поэт.
devolvo | devolvo, volvi, volutum, ere pass.
devorticulum | devorticulum, i n
devoti | devoti, orum n
devotio | devotio, onis f
devoveo | devoveo, vovi, votum, ere pass.
Dexadrolum | Dexadrol(um, i n
Dexamethazonum | Dexamethazon(um, i n
Dexamethum | Dexameth(um, i n
Dexasonum | Dexason(um, i n
Dexocortum | Dexocort(um, i n
Dexophrinum | Dexophrin(um, i n
dexter | dexter, tra, trum compar.
dextera | dextera, ae f
dexterior | dexterior, ius см.
dexteritas | dexteritas, atis f
dextimus | dextimus, a, um см.
dextra | dextra (dextera), ae f
Dextravanum | Dextravan(um, i n
dextre | dextre (dextere) adv.
Dextromoramidum | Dextromoramid(um, i n
dextrorsum | dextrorsum (dextrorsus) adv.
Dextrosum | Dextros(um, i n
dextumus | dextumus, a, um см.
Dia | Dia, ae f
Diabamidum | Diabamid(um, i n
Diabarylum | Diabaryl(um, i n
Diabenylum | Diabenyl(um, i n
Diabetamidum | Diabetamid(um, i n
diabetes | diabetes, ae m
diabeticus | diabeticus, a, um мед.
Diabetum | Diabet(um, i n
Diabexanum | Diabexan(um, i n
Diabinesum | Diabines(um, i n
Diablintes | Diablintes, um m
Diacarbum | Diacarb(um, i n
diadema | diadema, atis n
Diaethiphenum | Diaethiphen(um, i n
Diaethylcarbamazinum | Diaethylcarbamazin(um, i n
Diaethylstilboestrolum | Diaethylstilboestrol(um, i n
Diaginolum | Diaginol(um, i n
Diagnorenolum | Diagnorenol(um, i n
diagnosis | diagnosis, is f
dialectica | I dialectica, ae f
dialecticus | I dialecticus, a, um m
Diambutolum | Diambutol(um, i n
diameter | diameter, tri f
Diaminpenicillinum | Diaminpenicillin(um, i n
Diamoxum | Diamox(um, i n
Diamthazolum | Diamthazol(um, i n
Diana | Diana, ae f
Dianabolum | Dianabol(um, i n
Dianium | Dianium, i n
Dianonum | Dianon(um, i n
Diapheinum | Diaphein(um, i n
diaphragma | diaphragma, atis n
diaphragmaticus | diaphragmaticus, a, um анат.
Diaphyllinum | Diaphyllin(um, i n
diaphysis | diaphysis, is f
diarium | I diarium, i n
diarrhoea | diarrhoea, ae f
diarthrosis | diarthrosis, is f
diastema | diastema, atis n
diastole | diastole, es f
diathermia | diathermia, ae f
diathesis | diathesis, is f
Diatrizoatum | Diatrizoat(um, i n
Diazanum | Diazan(um, i n
Diazepamum | Diazepam(um, i n
Diazilum | Diazil(um, i n
Diazolinum | Diazolin(um, i n
Diazolum | Diazol(um, i n
Dibasinum | Dibasin(um, i n
Dibazolum | Dibazol(um, i n
Dibestilum | Dibestil(um, i n
Dibucainum | Dibucain(um, i n
dica | dica, ae f
Dicainum | Dicain(um, i n
Dicaphenum | Dicaphen(um, i n
Dicaptolum | Dicaptol(um, i n
dicatio | dicatio, onis f
dicephalus | dicephalus, i m
Dichascum | Dichasc(um, i n
dicheilia | dicheilia, ae f
Dichlorenum | Dichloren(um, i n
Dichlorizoproterenolum | Dichlorizoproterenol(um, i n
Dichlorophenum | Dichlorophen(um, i n
Dichlothiazidum | Dichlothiazid(um, i n
Dichlotridum | Dichlotrid(um, i n
dicio | dicio, onis f
dicis | dicis gen.
dico | I dico, avi, atum, are pass.
Dicodalum | Dicodal(um, i n
Dicodidum | Dicodid(um, i n
Dicolinum | Dicolin(um, i n
Dicopalum | Dicopal(um, i n
dictamnus | dictamnus, i f
dictata | dictata, orum n
dictator | dictator, oris m
dictatura | dictatura, ae f
Dicte | Dicte, es f
dictio | dictio, onis f
dictum | dictum, i n
Dictynna | Dictynna, ae f
Dictynneum | Dictynneum, i n
Dicumacylum | Dicumacyl(um, i n
Dicumarinum | Dicumarin(um, i n
didactylia | didactylia, ae f
dido | I dido, dididi, diditum, ere pass.
Didrocolum | Didrocol(um, i n
Didrofillina | Didrofillina, ae f
Didroxanum | Didroxan(um, i n
diduco | diduco, duxi, ductum, ere воен.
Didyma | Didyma, on n
Didymeum | Didymeum, i n
diencephalon | diencephalon, i n
dies | dies, ei m
Diespiter | Diespiter, tris m
difficile | difficile adv.
difficiliter | difficiliter adv.
difficultas | difficultas, atis f
difficulter | difficulter adv.
diffidenter | diffidenter adv.
diffidentia | diffidentia, ae f
diffundo | diffundo, fudi, fusum, ere pass.
diflusus | diflusus, a, um мед.
digastricus | digastricus, a, um анат.
Digentia | Digentia, ae f
digestorius | digestorius, a, um анат.
Digicilenum | Digicilen(um, i n
Digicilum | Digicil(um, i n
Digipurenum | Digipuren(um, i n
Digitalis | I Digitalis is f
digitatio | digitatio, onis f
Digitinum | Digitin(um, i n
Digitoxinolum | Digitoxinol(um, i n
Digitoxinum | Digitoxin(um, i n
Digitoxosidum | Digitoxosid(um, i n
digitulus | digitulus, i m
digitus | digitus, i m
dignatio | dignatio, onis f
digne | digne adv.
dignitas | dignitas, atis f
Digolanum | Digolan(um, i n
Digotinum | Digotin(um, i n
