 
Ebenales | Ebenales, ium f
ebenus | ebenus (hebenus), i f
ebibo | ebibo, bibi, --, ere поэт.
Eboracum | Eboracum, i n
ebrietas | ebrietas, atis f
ebulum | ebulum, i n
ebulus | ebulus, i m
ebur | ebur, oris n
eburneus | I eburneus, a, um анат.
Eburones | Eburones, um m
Ebutolum | Ebutol(um, i n
Ecbatana | Ecbatana, orum n
ecce | ecce adv.
echeneis | echeneis, idis f
echidna | I echidna, ae f
Echinopanax | Echinopanax, acis f
echinus | echinus, i m
echo | echo, us f
ecloga | ecloga, ae f
Eclorilum | Ecloril(um, i n
Ecmolinum | Ecmolin(um, i n
ecquando | ecquando adv.
ecquid | ecquid adv.
ecquo | ecquo adv.
ectoderma | ectoderma, atis n
ectoplasma | ectoplasma, atis n
ectropion | ectropion, i n
eculeus | I eculeus, a, um m
eczema | eczema, atis n
Edatacalum | Edatacal(um, i n
Edecrilum | Edecril(um, i n
Edecrinum | Edecrin(um, i n
Ederenum | Ederen(um, i n
edictum | edictum, i n
Edionum | Edion(um, i n
editio | editio, onis f
edo | I edo, didi, ditum, ere pass.
educatio | educatio, onis f
educator | educator, oris m
Efcamonum | Efcamon(um, i n
effarcio | effarcio (effercio, ecfercio), --, fertum, ire поэт.
effatum | effatum, i n
effectus | effectus, us m
efferens | efferens, entis анат.
effero | I effero (ecfero), extuli, elatum, efferre pass.
effervo | effervo, --, --, ere поэт.
efficacitas | efficacitas, atis f
efficaciter | efficaciter adv.
effigies | effigies, ei f
efflagitatus | efflagitatus, us m
effrenate | effrenate adv.
effrenatio | effrenatio, onis f
effugium | effugium, i n
effundo | effundo, fudi, fusum, ere pass.
effuse | effuse adv.
Efloranum | Efloran(um, i n
eflusio | eflusio, onis f
Egeria | Egeria, ae f
egestas | egestas, atis f
Egevitum | Egevit(um, i n
ego | ego gen.
egredior | egredior, gressus sum, gredi воен.
egregia | egregia, orum n
egregie | egregie adv.
egressus | egressus, us m
einissarius | einissarius, a, um анат.
ejaculatorius | ejaculatorius, a, um анат.
ejectio | ejectio, onis f
ejicio | ejicio (eicio), jeci, jectum, ere воен.
ejulatio | ejulatio, onis f
ejulatus | ejulatus, us m
