 
faba | faba, ae f
fabella | fabella, ae f
faber | faber, bri m
fabrica | fabrica, ae f
fabricator | fabricator, oris m
fabrilia | fabrilia, ium n
fabula | fabula, ae f
facete | facete adv.
facetiae | facetiae, arum f
facetum | facetum, i n
facialis | facialis, e анат.
facies | facies, ei f
facile | facile adv.
facilitas | facilitas, atis f
facinus | facinus, oris n
factio | factio, onis f
factum | factum, i n
facultas | facultas, atis f
facunde | facunde adv.
facundia | facundia, аe f
faecula | faecula, ae f
faenum | faenum, i n
faex | faex, faecis f
fagus | fagus, i f
falarica | falarica (phalarica), ae f
falcarius | falcarius, i m
falciformis | falciformis, e анат.
Falco | Falco, onis m
Falernum | Falernum, i n
Falicorum | Falicor(um, i n
faliscus | faliscus, i m
fallacia | fallacia, ae f
fallaciter | fallaciter adv.
fallo | fallo, fefelli, falsum, ere pass.
falso | falso adv.
falsum | falsum, i n
falx | falx, falcis f
fama | fama, ae f
fames | fames, is f
familia | familia, ae f
familiaris | I familiaris, e m
familiaritas | familiaritas, atis f
familiariter | familiariter adv.
famula | famula, ae f
famulus | I famulus, a, um m
Fanodormum | Fanodorm(um, i n
fanum | fanum, i n
far | far, farris n
Farfara | Farfara, ae f
Farganum | Fargan(um, i n
farina | farina, ae f
Farmotalum | Farmotal(um, i n
farrago | farrago, inis f
fartor | fartor, oris m
fartum | fartum, i n
Farutinum | Farutin(um, i n
fas | fas n
fascia | fascia (fascea), ae f
fasciculus | I fasciculus, i m
fascinum | fascinum, i n
fascinus | fascinus, i m
fasciola | fasciola (fasceola), ae f
fasciolaris | fasciolaris, e анат.
Fasciolinum | Fasciolin(um, i n
fascis | fascis, is m
fasti | fasti, orum m
fastidiose | fastidiose adv.
fastidiosus | fastidiosus, a, um поэт.
fastidium | fastidium, i n
fastigate | fastigate adv.
fastigatus | fastigatus, a, um анат.
fastigium | fastigium, i n
Fastinum | Fastin(um, i n
fastus | I fastus, a, um m
fataliter | fataliter adv.
fatigatio | fatigatio, onis f
fatum | fatum, i n
fauces | fauces, ium f
Faunus | Faunus, i m
fauste | fauste adv.
Faustulus | Faustulus, i m
fautor | fautor, oris m
fautrix | fautrix, icis f
faux | I faux f
favilla | favilla, аe f
Favistanum | Favistan(um, i n
favonius | favonius, i m
favor | favor, oris m
favus | favus, i m
fax | fax, facis f
Febridolum | Febridol(um, i n
febris | febris, is f
februa | februa, orum n
februarius | I februarius, a, um m
Fecholinum | Fecholin(um, i n
fecunditas | fecunditas, atis f
fel | fel, fellis n
feles | feles (felles) f
Felicainum | Felicain(um, i n
felicitas | felicitas, atis f
feliciter | feliciter adv.
Felidae | Felidae, arum f
felis | felis, is f
felles | felles, is f
felleus | felleus, a, um анат.
Felosanum | Felosan(um, i n
Felsolum | Felsol(um, i n
femen | femen, inis n
Femerginum | Femergin(um, i n
Femidinum | Femidin(um, i n
femina | femina, ae f
feminalia | feminalia, ium n
femoralis | femoralis, e анат.
femoropopliteus | femoropopliteus, a, um анат.
femur | femur, oris (inis) n
Fenactilum | Fenactil(um, i n
Fenarsonum | Fenarson(um, i n
Fendonum | Fendon(um, i n
feneratio | feneratio, onis f
fenerator | fenerator, oris m
fenestra | fenestra, ae f
fenestrula | fenestrula, ae f
fenile | fenile, is n
Feniodolum | Feniodol(um, i n
Fenisanum | Fenisan(um, i n
Fenmetralinum | Fenmetralin(um, i n
Fenmetrazinum | Fenmetrazin(um, i n
Fentanestum | Fentanest(um, i n
Fentanylcitratum | Fentanylcitrat(um, i n
fenum | fenum (faenum, foenum), i n
fenus | fenus, oris n
fera | fera, ae f
feracius | feracius adv.
feralia | feralia, ium n
ferculum | ferculum, i n
fere | fere adv.
ferentarius | ferentarius, i m
feretrum | feretrum, i n
feriae | feriae, arum f
ferina | ferina, ae f
feritas | feritas, atis f
fermentum | fermentum, i n
fero | fero, tuli, latum, ferre воен.
ferocia | ferocia, ae f
ferocitas | ferocitas, atis f
ferociter | ferociter adv.
ferramentum | ferramentum, i n
Ferramidum | Ferramid(um, i n
ferraria | ferraria, ae f
Ferrobionum | Ferrobion(um, i n
Ferrocalum | Ferrocal(um, i n
Ferroceronum | Ferroceron(um, i n
Ferrohaematogenum | Ferrohaematogen(um, i n
ferrugineus | I ferrugineus, a, um анат.
ferrugo | ferrugo, inis f
ferrum | ferrum, i n
Fertiligenum | Fertiligen(um, i n
