 
habena | habena, ae f
habenula | habenula, ae f
habeo | habeo, bui, bitum, ere pass.
habiliter | habiliter adv.
habitatio | habitatio, onis f
habitator | habitator, oris m
habito | habito, avi, atum, are pass.
habitus | habitus, us m
hac | hac adv.
hactenus | hactenus adv.
Hadria | Hadria, ae f
Hadrianus | Hadrianus, i m
Haedui | Haedui, orum m
haedulea | haedulea, ae f
haedus | haedus, i m
haema | haema, atis n
haemangioma | haemangioma, atis n
haemanthus | haemanthus, a, um бот.
Haematogenum | Haematogen(um, i n
haematogenus | haematogenus, a, um биолог.
haematologia | haematologia, ae f
haematologus | haematologus, i m
haematoma | haematoma, atis n
haematometra | haematometra, ae f
haematosalpinx | haematosalpinx, ingis f
haematuria | haematuria, ae f
haemocytus | haemocytus, i m
Haemodesum | Haemodes(um, i n
haemodialysis | haemodialysis, is f
haemolysis | haemolysis, is f
haemolyticus | haemolyticus, a, um мед.
haemophilia | I haemophilia, ae f
Haemophobinum | Haemophobin(um, i n
Haemophyrinum | Haemophyrin(um, i n
haemopoesis | haemopoesis, is f
haemorrhagia | haemorrhagia, ae f
haemorrhagicus | haemorrhagicus, a, um мед.
haemorrhoidalis | haemorrhoidalis, e анат.
haemostasis | haemostasis, is f
haemothorax | haemothorax, acis m
haeniarthrosis | haeniarthrosis, is f
haesitantia | haesitantia, ae f
Haffkininum | Haffkinin(um, i n
Halazolinum | Halazolin(um, i n
Halazonum | Halazon(um, i n
Haldolum | Haldol(um, i n
Halenolum | Halenol(um, i n
haliaeetos | haliaeetos, i m
haliaetos | haliaetos (haliaetus, haliaeetos), i m
haliaetus | haliaetus, i m
Halidorum | Halidor(um, i n
halitus | halitus, us m
Hallicarnassos | Hallicarnassos, i f
hallux | hallux, ucis m
Haloanisonum | Haloanison(um, i n
Halochinum | Halochin(um, i n
Halomycetinum | Halomycetin(um, i n
Haloperidinum | Haloperidin(um, i n
Halophenum | Halophen(um, i n
Halopidolum | Halopidol(um, i n
Halopyraminum | Halopyramin(um, i n
Halothanum | Halothan(um, i n
Halys | Halys, yos m
Hamilcar | Hamilcar, aris m
Hammon | Hammon, onis m
hamulus | hamulus, i m
hamus | hamus, i m
Hannibal | Hannibal, alis m
haploidum | haploidum, i n
haplostachyus | haplostachyus, a, um бот.
HAR. | HAR. сокр. от
hara | hara, ae f
Harmodius | Harmodius, i m
Harmonia | Harmonia, ae f
harmonia | harmonia, ae f
Harmoninum | Harmonin(um, i n
harpago | harpago, onis m
harpe | harpe, es f
Harpyiae | Harpyiae, arum f
haruspex | haruspex (aruspex), icis m
haruspicina | haruspicina, ae f
hasta | hasta, ae f
hastati | hastati, orum m
hastile | hastile, is n
haud | haud (haut) adv.
haustrum | haustrum, i n
haustus | haustus, us m
Heauton | Heauton-timorumenos, i m
Hebe | Hebe, es f
Hecate | Hecate, es f
Hector | Hector, oris m
Hecuba | Hecuba, ae f
hedera | hedera (edera), ae f
Hedulinum | Hedulin(um, i n
hedychrum | hedychrum, i n
Hefaephytinum | Hefaephytin(um, i n
hei | hei! interj.
Helena | Helena, ae f
Helianthus | Helianthus, i m
Helichrysum | Helichrysum, i n
Helicon | Helicon, onis m
helicotrema | helicotrema, atis n
heliobiologia | heliobiologia, ae f
Heliomycinum | Heliomycin(um, i n
heliophilus | heliophilus, a, um бот.
Heliopolis | Heliopolis, is f
helix | helix, icis f
Helle | Helle, es f
helleborum | helleborum (ellehorum), i n
helleborus | helleborus (elleborus), i m
Hellespontus | Hellespontus, i m
helluatio | helluatio, onis f
helluo | helluo, onis m
Helmezinum | Helmezin(um, i n
helminthosis | helminthosis, is f
Helmirazinum | Helmirazin(um, i n
Helmisinum | Helmisin(um, i n
helops | helops (elops, ellops), opis m
Heltolanum | Heltolan(um, i n
Helvetii | Helvetii, orum m
Helvinum | Helvin(um, i n
hem | hem! interj.
hemerodromos | hemerodromos, dromi m
hemialgia | hemialgia, ae f
hemianopsia | hemianopsia, ae f
hemiarthrosis | hemiarthrosis, is f
hemiatrophia | hemiatrophia, ae f
hemiazygos | hemiazygos adj.
hemicrania | hemicrania, ae f
hemicryptophyton | hemicryptophyton, i n
hemiplegia | hemiplegia, ae f
hemisphaerium | hemisphaerium, i n
hemispherium | hemispherium, i n
Hemitonum | Hemiton(um, i n
Hepacrinum | Hepacrin(um, i n
hepar | hepar, atis n
Heparinum | Heparin(um, i n
hepaticus | hepaticus, a, um анат.
hepatitis | hepatitis, idis f
hepatocolicus | hepatocolicus, a, um анат.
hepatoduodenalis | hepatoduodenalis, e анат.
hepatogastricus | hepatogastricus, a, um анат.
hepatogenus | hepatogenus, a, um мед.
hepatolienalis | hepatolienalis, e мед.
hepatolithus | hepatolithus, i m
hepatomegalia | hepatomegalia, ae f
hepatopancreaticus | hepatopancreaticus, a, um анат.
hepatorenalis | I hepatorenalis, e анат.
hepatosplenomegalia | hepatosplenomegalia, ae f
Heptadonum | Heptadon(um, i n
Heptanalum | Heptanal(um, i n
heptapetalus | heptapetalus, a, um бот.
hepteris | hepteris, is f
Heptylresorcinum | Heptylresorcin(um, i n
Hera | Hera, ae f
hera | hera (era), ae f
Heraclea | Heraclea, ae f
Heraclides | Heraclides, ae m
Heraclitus | Heraclitus, i m
herba | herba, ae f
herbicidum | herbicidum, i n
herbicola | herbicola, ae m
herbula | herbula, ae f
hercle | hercle или hercule interj.
Herculaneum | Herculaneum, i n
Hercules | Hercules, is m
Hercynia | Hercynia silva f
hereditas | I hereditas, atis f
heredium | heredium, i n
heres | heres (eres), edis m
heri | heri adv.
Hermes | Hermes, ae m
hernia | hernia, ae f
Herniaria | Herniaria, ae f
herniosus | herniosus, a, um анат.
herniotomia | herniotomia, ae f
Herocainum | Herocain(um, i n
Herodotus | Herodotus, i m
herois | herois, idis f
heros | heros, ois m
Herpetilum | Herpetil(um, i n
Heruclinum | Heruclin(um, i n
Herulcinum | Herulcin(um, i n
herundo | herundo, inis f
herus | herus (erus), i m
Hesiodus | Hesiodus, i m
Hesperia | Hesperia, ae f
Hesperides | Hesperides, um f
Hesperus | Hesperus (Hesperus), i m
hesterno | hesterno adv.
hetaericos | hetaericos, e, on adj.
heterocarpia | heterocarpia, ae f
heterocarpus | heterocarpus, a, um бот.
heterogenus | heterogenus, a, um биолог.
Heteroptera | Heteroptera, orum n
heteropterus | heteropterus, a, um зоолог.
heterosporia | heterosporia, ae f
Heterotricha | Heterotricha, orum n
heterotrophus | heterotrophus, a, um биолог.
Hetrazanum | Hetrazan(um, i n
heu | heu! interj.
heus | heus! interj.
Hexabendinum | Hexabendin(um, i n
Hexabetalinum | Hexabetalin(um, i n
Hexabionum | Hexabion(um, i n
Hexadecadrolum | Hexadecadrol(um, i n
hexameter | hexameter, tri m
Hexamethonium | Hexamethonium, i n
Hexamethylentetraminum | Hexamethylentetramin(um, i n
Hexametonum | Hexameton(um, i n
Hexamidinum | Hexamidin(um, i n
Hexanastabum | Hexanastab(um, i n
hexandrus | hexandrus, a, um бот.
Hexanium | Hexanium, i n
Hexanostrolum | Hexanostrol(um, i n
hexapylon | hexapylon, i n
hexasporus | hexasporus, a, um бот.
Hexathidum | Hexathid(um, i n
Hexavibexum | Hexavibex(um, i n
Hexavitum | Hexavit(um, i n
Hexemalum | Hexemal(um, i n
Hexenalum | Hexenal(um, i n
hexeris | hexeris, is f
Hexestrolum | Hexestrol(um, i n
Hexetidinum | Hexetidin(um, i n
Hexobarbitalum | Hexobarbital(um, i n
Hexobarbitonum | Hexobarbiton(um, i n
Hexobarbituralum | Hexobarbitural(um, i n
Hexobarsolum | Hexobarsol(um, i n
Hexobendinum | Hexobendin(um, i n
Hexonium | Hexonium, i n
HH. | HH. сокр. от
hiatus | hiatus, us m
Hibanilum | Hibanil(um, i n
Hiberes | Hiberes, um m
Hiberia | Hiberia, ae f
hiberna | hiberna, orum n
hibernacula | hibernacula, orum n
Hibernalum | Hibernal(um, i n
Hibernia | Hibernia, ae f
Hiberus | Hiberus, i m
Hibiconum | Hibicon(um, i n
hibiscum | hibiscum, i n
hibrida | hibrida, ae m
hic | I hic, haec, hoc pl.
hiems | hiems (hiemps), hiemis f
hilare | hilare adv.
hilaritas | hilaritas, atis f
hilla | hilla, ae f
Hilotae | Hilotae, arum m
hilus | I hilus, i m
hinc | hinc adv.
hinnitus | hinnitus, us m
hinnuleus | hinnuleus, i m
Hiposerpilum | Hiposerpil(um, i n
hippagogoe | hippagogoe, on f
hippocampus | hippocampus, i m
hippocentaurus | hippocentaurus, i m
Hippocrene | Hippocrene, es f
Hippophea | Hippophea, ае f
hippotoxota | hippotoxota, ae m
hippurus | hippurus (hippuros), i m
hircus | hircus, i m
hirsutus | hirsutus, a, um поэт.
hirudo | hirudo, inis f
Hispani | Hispani, orum m
hispidus | hispidus, a, um поэт.
Histaglobinum | Histaglobin(um, i n
Histaglobulinum | Histaglobulin(um, i n
Histalginum | Histalgin(um, i n
Histamylum | Histamyl(um, i n
Histaponum | Histapon(um, i n
Hister | Hister, tri m
hister | hister, tri m
histogenesis | histogenesis, is f
histologia | I histologia, ae f
histolysis | histolysis, is f
historia | historia, ae f
historicus | I historicus, a, um m
Histria | Histria, ae f
histrio | histrio, onis m
hoc | hoc adv.
holocephalus | holocephalus, a, um биолог.
holopetalus | holopetalus, a, um бот.
homeostasis | homeostasis, is f
Homerus | Homerus, i m
homicida | homicida, ae m
homicidium | homicidium, i n
homo | homo, inis m
homopterus | homopterus, a, um зоолог.
Homosteronum | Homosteron(um, i n
homullus | homullus, i m
homuncio | homuncio, onis m
honestas | honestas, atis f
honeste | honeste adv.
honesti | honesti, orum m
honestum | honestum, i n
honorifiсe | honorifiсe adv.
honorifiсus | honorifiсus, a, um compar.
honos | honos (honor), oris m
Honvanum | Honvan(um, i n
Honvolum | Honvol(um, i n
hora | hora, ae f
Horae | Horae, arum f
Horatius | Horatius, i m
Hordeum | Hordeum (ordeum), i n
horizontalis | horizontalis, e анат.
Horizonum | Horizon(um, i n
Hormalum | Hormal(um, i n
Hormofortum | Hormofort(um, i n
Hormonoestrolum | Hormonoestrol(um, i n
hormonum | hormon(um, i n
horologium | horologium, i n
horreum | horreum, i n
horride | horride adv.
horror | horror, oris m
hortamen | hortamen, inis n
hortamentum | hortamentum, i n
hortatio | hortatio, onis f
hortator | hortator, oris m
hortatus | hortatus, us m
hortulus | hortulus, i m
hortus | hortus, i m
hospes | hospes, itis m
hospita | hospita, ae f
hospitalia | hospitalia, ium n
hospitaliter | hospitaliter adv.
hospitium | hospitium, i n
Hostacortinum | Hostacortin(um, i n
Hostacyclinum | Hostacyclin(um, i n
Hostaginanum | Hostaginan(um, i n
hostia | hostia, ae f
hostilia | hostilia, ium n
hostiliter | hostiliter adv.
hostis | hostis, is m
hostiсum | hostiсum, i n
HS. | HS. сокр.
huc | huc adv.
hucine | hucine adv.
hui | hui! interj.
hujuscemodi | hujuscemodi adv.
hujusmodi | hujusmodi adv.
Humactidum | Humactid(um, i n
humana | humana, orum n
humane | humane adv.
humanitas | humanitas, atis f
humaniter | humaniter adv.
humanitus | humanitus adv.
humanum | humanum, i n
humanus | I humanus, a, um m
humentia | humentia, ium n
humeralis | humeralis, e анат.
humeromuscularis | humeromuscularis, e анат.
humeroradialis | humeroradialis, e анат.
humeroulnaris | humeroulnaris, e анат.
humerus | humerus, i m
humi | humi adv.
humilitas | humilitas, atis f
humiliter | humiliter adv.
humo | I humo adv.
humor | humor (umor), oris m
Humorsolum | Humorsol(um, i n
humus | humus, i f
Hungaria | Hungaria, ae f
hyacinthus | hyacinthus, i m
Hyades | Hyades, um f
hyaena | hyaena, ae f
Hyalasum | Hyalas(um, i n
Hyalidasum | Hyalidas(um, i n
hyalinus | hyalinus, a, um анат.
hyaloideus | hyaloideus, a, um анат.
Hyaluronidasum | Hyaluronidas(um, i n
hyalus | hyalus, i m
Hyasa | Hyasa, ae f
Hyasonum | Hyason(um, i n
hybrida | I hybrida f
hybridizatio | hybridizatio, onis f
Hycodanum | Hycodan(um, i n
Hydacianum | Hydacian(um, i n
Hydantoinalum | Hydantoinal(um, i n
hydra | hydra, ae f
Hydralazinum | Hydralazin(um, i n
Hydranum | Hydran(um, i n
Hydrargyrum | Hydrargyrum, i n
hydrarthrosis | hydrarthrosis, is f
Hydrazidum | Hydrazid(um, i n
Hydrexum | Hydrex(um, i n
hydria | hydria, ae f
Hydrilum | Hydril(um, i n
hydrocephalia | hydrocephalia, ae f
hydrochloridum | hydrochloridum, i n
Hydrochlorothiazidum | Hydrochlorothiazid(um, i n
Hydrocodalum | Hydrocodal(um, i n
Hydrocodanum | Hydrocodan(um, i n
Hydrocortalum | Hydrocortal(um, i n
Hydrocortancylum | Hydrocortancyl(um, i n
Hydrocorticocinum | Hydrocorticocin(um, i n
Hydrocortisonum | Hydrocortison(um, i n
Hydrocortistabum | Hydrocortistab(um, i n
Hydrocortonum | Hydrocorton(um, i n
hydrocyanicus | hydrocyanicus, a, um хим.
Hydrogenium | Hydrogenium, i n
Hydrolysinum | Hydrolysin(um, i n
hydrolysis | hydrolysis, is f
Hydromedinum | Hydromedin(um, i n
Hydrometra | Hydrometra, ae f
Hydrooxazinum | Hydrooxazin(um, i n
hydropericardium | hydropericardium, i n
Hydroperitum | Hydroperit(um, i n
hydrophilia | hydrophilia, ae f
hydrophilus | hydrophilus, a, um бот.
hydrophobia | hydrophobia, ae f
hydrophobus | hydrophobus, a, um биолог.
hydrophthalmus | hydrophthalmus, i m
hydrophyton | hydrophyton, i n
hydrops | hydrops, opis m
hydrosalpinx | hydrosalpinx, ingis f
hydrotherapia | hydrotherapia, ae f
Hydrothidum | Hydrothid(um, i n
hydrothorax | hydrothorax, acis m
hydroxydum | hydroxydum, i n
hydrus | hydrus, i m
Hygronium | Hygronium, i n
Hylasum | Hylas(um, i n
Hymen | I Hymen, enis m
hymenaeus | hymenaeus (hymenaeos), i m
hymenalis | hymenalis, e анат.
Hymorsolum | Hymorsol(um, i n
Hyndarinum | Hyndarin(um, i n
hyoepiglotticus | hyoepiglotticus, a, um анат.
hyoglossus | hyoglossus, a, um анат.
hyoideus | hyoideus, a, um анат.
hyomandibularis | hyomandibularis, e анат.
Hyosanum | Hyosan(um, i n
Hyoscyaminum | Hyoscyamin(um, i n
Hyoscyamus | Hyoscyamus, i m
Hyoxysonum | Hyoxyson(um, i n
hypaesthesia | hypaesthesia, ae f
