 
iambus | iambus, i m
Iapetus | Iapetus, i m
Iason | Iason, onis m
iaspis | iaspis, idis f
Iastilum | Iastil(um, i n
ibi | ibi adv.
Ibioxylum | Ibioxyl(um, i n
ibis | ibis (is f
Ibycus | Ibycus, i m
Icaria | Icaria, ae f
Icarus | Icarus, i m
Ichthamum | Ichtham(um, i n
Ichthyolum | Ichthyol(um, i n
Ichthyopanum | Ichthyopan(um, i n
Ichthyosulfolum | Ichthyosulfol(um, i n
icterus | icterus, i m
ictus | ictus, us m
Ida | Ida, ae f
idcirco | idcirco (iccirco) adv.
identidem | identidem adv.
ideo | ideo adv.
Idexurum | Idexur(um, i n
idiota | idiota, ae m
Idorutinum | Idorutin(um, i n
Idoxuridinum | Idoxuridin(um, i n
Idrianolum | Idrianol(um, i n
Idrilum | Idril(um, i n
Idumaea | Idumaea, ae f
Iduridinum | Iduridin(um, i n
idus | idus, uum f
Iduviranum | Iduviran(um, i n
igitur | igitur adv.
ignave | ignave adv.
ignavia | ignavia, ae f
ignesco | ignesco, --, --, ere поэт.
igneus | igneus, a, um поэт.
igniculus | igniculus, i m
ignigena | ignigena, ae m
ignis | ignis, is m
ignobilitas | ignobilitas, atis f
ignominia | ignominia, ae f
ignorantia | ignorantia, ae f
ignoratio | ignoratio, onis f
ignotus | I ignotus, a, um part.
IHS | IHS сокр. от
II | II сокр. от
IIS | IIS сокр. от
ileum | ileum, i n
ileus | ileus, a, um анат.
ilex | ilex, icis f
Ilia | I Ilia, ae f
iliacus | iliacus, a, um анат.
Ilias | Ilias, adis f
ilicet | ilicet adv.
ilico | ilico (illico) adv.
iliocecalis | iliocecalis, e анат.
iliococcygeus | iliococcygeus, a, um анат.
iliocolicus | iliocolicus, a, um анат.
iliocostalis | iliocostalis, e анат.
iliofemoralis | iliofemoralis, e анат.
iliohypogastricus | iliohypogastricus, a, um анат.
ilioinguinalis | ilioinguinalis, e анат.
iliolumbalis | iliolumbalis, e анат.
Ilion | Ilion (Ilium), i n
iliopectineus | iliopectineus, a, um анат.
iliopsoas | iliopsoas m
iliopubicus | iliopubicus, a, um анат.
iliosacralis | iliosacralis, e анат.
iliotibialis | iliotibialis, e анат.
illa | illa adv.
ille | ille, illa, illud gen.
illecebra | illecebra, ae f
illectus | I illectus, a, um part.
illepide | illepide adv.
illiberalitas | illiberalitas, atis f
illico | illico adv.
illim | illim adv.
illinc | illinc adv.
illo | illo adv.
illuc | illuc adv.
illucesco | illucesco (illucisco), luxi, --, ere impers.
illuvies | illuvies, ei f
Illyria | Illyria, ae f
Ilotycinum | Ilotycin(um, i n
Iludrinum | Iludrin(um, i n
Imadilum | Imadil(um, i n
imago | imago, inis f
Imagonum | Imagon(um, i n
Imaninum | Imanin(um, i n
imbecillitas | imbecillitas, atis f
imbecillius | imbecillius adv.
imber | imber, bris m
imbrex | imbrex, icis m
imbuo | imbuo, bui, butum, ere поэт.
Imidinum | Imidin(um, i n
Imidoum | Imido(um, i n
Imiphosum | Imiphos(um, i n
Imipramilum | Imipramil(um, i n
Imipraminum | Imipramin(um, i n
imitamen | imitamen, inis n
imitamentum | imitamentum, i n
imitatio | imitatio, onis f
imitator | imitator, oris m
imitatrix | imitatrix, icis f
imitor | imitor, atus sum, ari поэт.
Imizinum | Imizin(um, i n
immane | immane adv.
immanitas | immanitas, atis f
immaturitas | immaturitas, atis f
immensum | I immensum, i n
immerito | immerito adv.
imminutio | imminutio, onis f
immisceo | immisceo, miscui, mixtum (mistum), ere pass.
immissio | immissio, onis f
immo | immo (imo) adv.
immoderate | immoderate adv.
immoderatio | immoderatio, onis f
immodeste | immodeste adv.
immodestia | immodestia, ae f
immodice | immodice adv.
immolo | immolo, avi, atum, are поэт.
immortalitas | immortalitas, atis f
immunitas | immunitas, atis f
immutatio | immutatio, onis f
immutatus | I immutatus, a, um part.
IMP. | IMP. сокр. от
impariter | impariter adv.
impavide | impavide adv.
impedimentum | impedimentum, i n
impedio | impedio, ivi (ii), itum, ire поэт.
impeditio | impeditio, onis f
impeditus | impeditus, a, um воен.
impendio | impendio adv.
impendium | impendium, i n
impensa | impensa, ae f
impense | impense adv.
imperativus | imperativus, i m
imperator | imperator, oris m
imperatrix | imperatrix, icis f
imperatum | imperatum, i n
imperite | imperite adv.
imperitia | imperitia, ae f
imperium | imperium, i n
impero | impero, avi, atum, are юр.
impes | impes, etis m
impetus | impetus, us m
impie | impie adv.
impietas | impietas, atis f
implantatio | implantatio, onis f
implicatio | implicatio, onis f
implico | implico, ui (avi), itum (atum), are pass.
imploratio | imploratio, onis f
impluvium | impluvium, i n
importunitas | importunitas, atis f
impotenter | impotenter adv.
impotentia | impotentia, ae f
IMPP | IMPP сокр. от
impraesentiarum | impraesentiarum adv.
impressio | impressio, onis f
imprimis | imprimis adv.
improbatio | improbatio, onis f
improbe | improbe adv.
improbitas | improbitas, atis f
improvide | improvide adv.
improviso | improviso adv.
imprudentia | imprudentia, ae f
impudenter | impudenter adv.
impudentia | impudentia, ae f
impudicitia | impudicitia, ae f
impulsor | impulsor, oris m
impulsus | impulsus, us m
impunitas | impunitas, atis f
impure | impure adv.
impuritas | impuritas, atis f
imputatus | I imputatus, a, um part.
Imuranum | Imuran(um, i n
Imurelum | Imurel(um, i n
imus | imus, a, um superl.
in | in praep.
Inachus | Inachus, i m
inaequalis | inaequalis, e поэт.
inaequaliter | inaequaliter adv.
Inalpini | Inalpini, orum m
inane | inane, is n
inaniter | inaniter adv.
Inapsinum | Inapsin(um, i n
inauspicato | inauspicato adv.
incaute | incaute adv.
incedo | incedo, cessi, cessum, ere воен.
incendium | incendium, i n
incensio | incensio, onis f
incensus | I incensus, a, um part.
inceptum | inceptum, i n
inceptus | inceptus, us m
incertum | incertum, i n
incertus | incertus, a, um поэт.
incessus | incessus, us m
inceste | inceste adv.
incestum | incestum, i n
incestus | I incestus, a, um m
Incidalum | Incidal(um, i n
incido | I incido, cidi, --, ere impers.
incisivus | I incisivus, a, um анат.
incisura | incisura, ae f
incitamentum | incitamentum, i n
incitatio | incitatio, onis f
incito | incito, avi, atum, are pass.
inclementer | inclementer adv.
inclementia | inclementia, ae f
inclinatio | inclinatio, onis f
inclino | inclino, avi, atum, are pass.
inclusio | inclusio, onis f
incognita | incognita, orum n
incola | incola, ae m
incolumitas | incolumitas, atis f
incommode | incommode adv.
incommoditas | incommoditas, atis f
incommodum | incommodum, i n
incompletus | incompletus, a, um мед.
incomposite | incomposite adv.
inconstanter | inconstanter adv.
inconstantia | inconstantia, ae f
inconsulte | inconsulte (inconsulto) adv.
incontinentia | incontinentia, ae f
Incoranum | Incoran(um, i n
incorrupte | incorrupte adv.
Incortenum | Incorten(um, i n
incredibiliter | incredibiliter adv.
incrementum | incrementum, i n
Increpanum | Increpan(um, i n
incudomallearis | incudomallearis, e анат.
incudostapedius | incudostapedius, a, um анат.
inculte | inculte adv.
incultus | I incultus, a, um m
incunabula | incunabula, orum n
incuria | incuria, ae f
incuriose | incuriose adv.
incursio | incursio, onis f
incursus | incursus, us m
incus | incus, udis f
Indacinum | Indacin(um, i n
indago | I indago, avi, atum, are f
inde | inde adv.
indecore | indecore adv.
Inderalum | Inderal(um, i n
index | index, icis m
indicativus | indicativus, i m
indicens | I indicens, entis part.
indicium | indicium, i n
indictus | I indictus, a, um поэт.
indidem | indidem adv.
indigena | indigena, ae m
indigentia | indigentia, ae f
indiges | I indiges, etis m
indignatio | indignatio, onis f
indigne | indigne adv.
indignitas | indignitas, atis f
Indigocarminum | Indigocarmin(um, i n
indiligenter | indiligenter adv.
indiligentia | indiligentia, ae f
individuum | individuum, i n
Indocidum | Indocid(um, i n
indocilis | indocilis, e поэт.
indoctus | I indoctus, a, um поэт.
indoles | indoles, is f
Indopanum | Indopan(um, i n
indu | indu арх.
induciae | induciae, arum f
inductio | inductio, onis f
inductus | I inductus, a, um m
indulgenter | indulgenter adv.
indulgentia | indulgentia, ae f
indusium | indusium, i n
industria | industria, ae f
industrie | industrie adv.
indutiae | indutiae, arum f
inedia | inedia, ae f
inepte | inepte adv.
ineptia | ineptia, ae f
iners | iners, ertis поэт.
inertia | inertia, ae f
infabre | infabre adv.
Infadinum | Infadin(um, i n
infamia | infamia, ae f
infanda | infanda, orum n
infans | I infans, antis поэт.
infantia | infantia, ae f
infarctus | infarctus, us m
infectiosus | infectiosus, a, um мед.
infectus | I infectus, a, um part.
Infecundinum | Infecundin(um, i n
infecunditas | infecunditas, atis f
infelicitas | infelicitas, atis f
infense | infense adv.
inferiae | inferiae, arum f
inferior | inferior, ius compar.
inferius | inferius adv.
infero | infero, intuli, illatum, inferre pass.
inferus | inferus, a, um compar.
infeste | infeste adv.
infestus | infestus, a, um воен.
infidelitas | infidelitas, atis f
infigo | infigo, fixi, fixum, ere pass.
infimi | infimi, orum m
infimus | infimus (infumus), a, um superl.
infinitas | infinitas, atis f
infinitum | infinitum, i n
infirmatio | infirmatio, onis f
infirmitas | infirmitas, atis f
infit | infit defect.
infitias | infitias acc.
infitiatio | infitiatio, onis f
infitiator | infitiator, oris m
inflammatio | inflammatio, onis f
inflecto | inflecto, flexi, flexum, ere pass.
inflo | inflo, flavi, flatum, are pass.
infortunium | infortunium, i n
infra | I infra adv.
infraclavicularis | infraclavicularis, e анат.
infracorticalis | infracorticalis, e анат.
infraglenoidalis | infraglenoidalis, e анат.
infraglotticus | infraglotticus, a, um анат.
infrahyoideus | infrahyoideus, a, um анат.
infralobaris | infralobaris, e анат.
infraorbitalis | infraorbitalis, e анат.
infrapalpebralis | infrapalpebralis, e анат.
infrapatellaris | infrapatellaris, e анат.
infrapiriformis | infrapiriformis, e анат.
infrascapularis | infrascapularis, e анат.
infrasegmentalis | infrasegmentalis, e анат.
infraspinalis | infraspinalis, e анат.
infraspinatus | infraspinatus, a, um анат.
infrasternalis | infrasternalis, e анат.
infratemporalis | infratemporalis, e анат.
infratrochlearis | infratrochlearis, e анат.
infraumbilicalis | infraumbilicalis, e анат.
