 
Kalanchoe | Kalanchoe, es f
Kalendae | Kalendae, arum f
Kalium | Kalium, i n
Kalyminum | Kalymin(um, i n
Kalypnonum | Kalypnon(um, i n
Kanacidinum | Kanacidin(um, i n
Kanacinum | Kanacin(um, i n
Kanamycinum | Kanamycin(um, i n
Kanoxinum | Kanoxin(um, i n
Karthago | Karthago, inis f
karyokinesis | karyokinesis, is f
karyolysis | karyolysis, is f
karyoplasma | karyoplasma, atis m
karyorrhexis | karyorrhexis, is f
Katacolum | Katacol(um, i n
Katasterolum | Katasterol(um, i n
kefir | kefir m
Keflordinum | Keflordin(um, i n
Kelenum | Kelen(um, i n
Kelfizina | Kelfizina, ae f
Kelfizinum | Kelfizin(um, i n
Kenakortum | Kenakort(um, i n
kephalicus | kephalicus, а, um анат.
Keracidum | Keracid(um, i n
Keraminum | Keramin(um, i n
keratectomia | keratectomia, ae f
keratinum | keratinum, i n
keratitis | keratitis, idis f
keratoglossus | keratoglossus, a, um анат.
keratoideus | keratoideus, a, um анат.
keratoma | keratoma, atis n
keratopharyngeus | keratopharyngeus, a, um анат.
keratoplastica | keratoplastica, ae f
keratosis | keratosis, is f
keratosus | keratosus, a, um мед.
keratotomia | keratotomia, ae f
Kerecidum | Kerecid(um, i n
Ketalginum | Ketalgin(um, i n
Ketodestrinum | Ketodestrin(um, i n
Ketohydroxyestrinum | Ketohydroxyestrin(um, i n
Kharophenum | Kharophen(um, i n
Khelfrenum | Khelfren(um, i n
Khellatrinum | Khellatrin(um, i n
Khellinormum | Khellinorm(um, i n
Khellinum | Khellin(um, i n
Khelliverinum | Khelliverin(um, i n
Khellotetrinum | Khellotetrin(um, i n
klasmatocytus | klasmatocytus, i m
Klimakterinum | Klimakterin(um, i n
Klorokinum | Klorokin(um, i n
Kolpolynum | Kolpolyn(um, i n
Kombetinum | Kombetin(um, i n
Kontalum | Kontal(um, i n
Korodilatum | Korodilat(um, i n
Kostrophanum | Kostrophan(um, i n
Kubarsolum | Kubarsol(um, i n
kwas | kwas m
Kynexum | Kynex(um, i n
kyphosis | kyphosis, is f
