 
labecula | labecula, ae f
labefacto | labefacto, avi, atum, are pass.
labefio | labefio, factus sum, fieri pass.
labellum | I labellum, i n
labes | labes, is f
labialis | labialis, e анат.
Labitonum | Labiton(um, i n
labium | labium, i n
labor | I labor, lapsus sum, labi pass.
laboriose | laboriose adv.
labrum | I labrum, i n
labrusca | labrusca, ae f
labruscum | labruscum, i n
labyrinthus | labyrinthus (-os), i m
lac | lac, lactis n
Lacaena | Lacaena, ae f
Lacedaemon | Lacedaemon, onis f
laceratio | laceratio, onis f
lacerna | lacerna, ae f
lacerta | lacerta, ae f
lacertus | I lacertus, i m
Lachesis | Lachesis, is f
lacinia | lacinia, ae f
laciniatus | laciniatus, a, um анат.
lacinula | lacinula, ae f
Laco | Laco, onis m
Laconica | Laconica, ae f
lacrima | lacrima (lacruma), ae f
lacrimalis | lacrimalis, e анат.
lacrimoconchalis | lacrimoconchalis, e анат.
lacrimomaxillaris | lacrimomaxillaris, e анат.
lacrimula | lacrimula, ae f
lactas | lactas, atis m
lactens | lactens, entis adj.
Lactobenum | Lactoben(um, i n
Lactofiavinum | Lactofiavin(um, i n
lactuca | lactuca, ae f
Lacuminum | Lacumin(um, i n
lacuna | lacuna, ae f
lacunar | lacunar, aris n
lacus | lacus, us m
Laemoranum | Laemoran(um, i n
laena | laena, ae f
Laerta | Laerta (Laertes), ae (is) m
Laestrygones | Laestrygones, um m
laetatio | laetatio, onis f
laete | laete adv.
laetitia | laetitia, ae f
laeva | I laeva, ae f
laeve | laeve adv.
Laevoiodinum | Laevoiodin(um, i n
Laevomepromazinum | Laevomepromazin(um, i n
Laevomycetinum | Laevomycetin(um, i n
laevum | laevum, i n
laganum | laganum, i n
lagena | lagena, ae f
lageos | lageos, ei f
lagoena | lagoena (lagona, lagena), ae f
lagois | lagois, idis f
Lagostrophus | Lagostrophus, i m
Laiades | Laiades, ae m
Laius | Laius (Lajus), i m
lama | lama, ae f
lambdoideus | lambdoideus, a, um анат.
Lambratenum | Lambraten(um, i n
lamella | lamella, ae f
lamellosus | lamellosus, a, um анат.
lamentatio | lamentatio, onis f
lamentum | lamentum, i n
lamia | lamia, ae f
lamina | lamina (lamna, lammina, lammna), ae f
Laminaria | Laminaria, ae f
Lamorylum | Lamoryl(um, i n
lampadium | lampadium, i n
lampas | lampas, adis acc.
lamyrus | lamyrus, i m
lana | lana, ae f
Lanacardum | Lanacard(um, i n
Lanacordalum | Lanacordal(um, i n
Lanacordinum | Lanacordin(um, i n
Lanacristum | Lanacrist(um, i n
lancea | lancea, ae f
Langobardi | Langobardi, orum m
languide | languide adv.
languor | languor, oris m
lanicium | lanicium, i n
Lanicorum | Lanicor(um, i n
laniena | laniena, ae f
lanista | lanista, ae m
lanius | lanius, i m
Lanolinum | Lanolin(um, i n
Lanoralum | Lanoral(um, i n
Lanoxinum | Lanoxin(um, i n
lanterna | lanterna (laterna), ae f
lanternarius | lanternarius, i m
Lantosidum | Lantosid(um, i n
Lantrolum | Lantrol(um, i n
lanugo | lanugo, inis f
Lanuvium | Lanuvium, i n
lanx | lanx, lancis f
Laocoon | Laocoon, ontis m
Laodicea | Laodicea, ae f
Laomedon | Laomedon, dontis m
Laomedontiades | Laomedontiades, ae m
lapathum | lapathum, i n
lapicida | lapicida, ae m
lapicidinae | lapicidinae, arum f
lapidatio | lapidatio, onis f
lapidator | lapidator, oris m
lapido | lapido, avi, atum, are impers.
lapillus | lapillus, i m
lapis | lapis, idis m
lappa | lappa, ae f
lapsus | lapsus, us m
laquear | laquear, aris n
laqueus | laqueus, i m
lar | lar, laris n
lardum | lardum, i n
Largactilum | Largactil(um, i n
large | large adv.
largitas | largitas, atis f
largiter | largiter adv.
largitio | largitio, onis f
largitor | largitor, oris m
largitudo | largitudo, inis f
Larissa | Larissa (Larisa), ae f
Laristinum | Laristin(um, i n
Laroscorbinum | Laroscorbin(um, i n
Larostidinum | Larostidin(um, i n
Laroxytum | Laroxyt(um, i n
Larus | Larus, i m
Larusanum | Larusan(um, i n
larva | larva, ae f
larus | larus, i m
laryngeus | laryngeus, a, um анат.
laryngitis | laryngitis, idis f
laryngocele | laryngocele, es f
laryngospasmus | laryngospasmus, i m
larynx | larynx, yngis m
lasanum | lasanum, i n
lascivia | lascivia, ae f
Lasilixum | Lasilix(um, i n
lasiocarpus | lasiocarpus, a, um биолог.
Lasiorrhinus | Lasiorrhinus, i m
Lasixum | Lasix(um, i n
