 
nablium | nablium, i n
Nactonum | Nacton(um, i n
Nadisalum | Nadisal(um, i n
Nadisanum | Nadisan(um, i n
nae | nae adv.
naevus | naevus, i m
Naias | Naias, adis или Nais, idis (idos) f
Nalidixanum | Nalidixan(um, i n
Nalidixinum | Nalidixin(um, i n
Nallinum | Nallin(um, i n
Nalorphinum | Nalorphin(um, i n
Nalutronum | Nalutron(um, i n
nam | nam conj.
namque | namque conj.
Nanophynum | Nanophyn(um, i n
Napharinum | Napharin(um, i n
Naphazolinum | Naphazolin(um, i n
Naphthalanum | Naphthalan(um, i n
Naphthammonum | Naphthammon(um, i n
Naphthyzinum | Naphthyzin(um, i n
Napotonum | Napoton(um, i n
Narbo | Narbo, onis m
Narcangylum | Narcangyl(um, i n
narcissus | narcissus, i m
Narcodormum | Narcodorm(um, i n
Narcogenum | Narcogen(um, i n
Narcolanum | Narcolan(um, i n
Narconitum | Narconit(um, i n
Narcorenum | Narcoren(um, i n
Narcosanum | Narcosan(um, i n
Narcotanum | Narcotan(um, i n
nardum | nardum, i n
nardus | nardus, i f
naris | naris, is f
narrata | narrata, orum n
narratio | narratio, onis f
narratiuncula | narratiuncula, ae f
narratus | narratus, us m
narta | narta, ae f
nasalis | nasalis, e анат.
nascor | nascor, natus sum, nasci поэт.
Nasica | Nasica, ae m
Naso | Naso, onis m
nasolabialis | nasolabialis, e анат.
nasopalatinus | nasopalatinus, a, um анат.
nasturtium | nasturtium (nasturcium), i n
nasus | nasus, i m
nata | nata (gnata), ae f
natales | natales, ium m
natalicia | natalicia, ae f
natalicius | natalicius, a, um m
natalis | I natalis, e поэт.
natator | natator, oris m
Natidigoxinum | Natidigoxin(um, i n
natio | natio, onis f
natis | natis, is f
nato | nato, avi, atum, are поэт.
Natorexicum | Natorexic(um, i n
Natrium | Natrium, i n
natrix | natrix, icis f
natura | natura, ae f
naturalis | naturalis, e биолог.
naturaliter | naturaliter adv.
natus | I natus (gnatus), i m
nauarchus | nauarchus, i m
Naucainum | Naucain(um, i n
naufragium | naufragium, i n
naufragus | naufragus, a, um поэт.
nausea | nausea, ae f
nauta | nauta, ae m
nautici | nautici, orum m
navale | navale, is n
navalia | navalia, ium n
navarchus | navarchus, i m
navicula | navicula, ae f
navicularia | navicularia, ae f
navicularicuneiformis | navicularicuneiformis, e анат.
navicularilunatus | navicularilunatus, a, um анат.
navicularis | navicularis, e анат.
navicularius | I navicularius, a, um m
naviculocuboideus | naviculocuboideus, a, um анат.
navigatio | navigatio, onis f
navigiolum | navigiolum, i n
navigium | navigium, i n
navigo | navigo, avi, atum, are поэт.
navis | navis, is f
navita | navita, ae m
navitas | navitas (gnavitas), atis f
naviter | naviter (gnaviter) adv.
Naxus | Naxus (-оs), i f
ne | I ne adv.
Neapolis | Neapolis, is f
nebula | nebula, ae f
nebulo | nebulo, onis m
necdum | necdum (nequedum) conj.
necessarie | necessarie adv.
necessario | necessario adv.
necessarius | I necessarius, a, um n
necesse | necesse adv.
necessitas | necessitas, atis f
necessitudo | necessitudo, inis f
necrosis | necrosis, is f
nectar | nectar, aris n
necubi | necubi adv.
necunde | necunde adv.
Nederlandia | Nederlandia, ae f
nedum | nedum adv.
neencephalon | neencephalon, i n
nefarie | nefarie adv.
nefarium | nefarium, i n
nefas | nefas n
Nefrixum | Nefrix(um, i n
Neftinum | Neftin(um, i n
negatio | negatio, onis, f
neglectio | neglectio, onis f
negligenter | negligenter adv.
negligentia | negligentia, ae f
negotiatio | negotiatio, onis f
negotiator | negotiator, oris m
negotium | negotium, i n
Negramum | Negram(um, i n
nematocaulis | nematocaulis, e биолог.
Nematoctonum | Nematocton(um, i n
Nematodes | Nematodes, um f
Nemesis | Nemesis, eus f
nemo | nemo, inis gen.
nemorosus | nemorosus, a, um поэт.
nempe | nempe conj.
nemus | nemus, oris n
nenia | nenia (naenia), ae f
neo | neo, nevi, netum, ere поэт.
Neoadiganum | Neoadigan(um, i n
Neoanusolum | Neoanusol(um, i n
Neoarseminum | Neoarsemin(um, i n
Neoarsphenaminum | Neoarsphenamin(um, i n
Neobenzinolum | Neobenzinol(um, i n
neocerebellum | neocerebellum, i n
Neocidum | Neocid(um, i n
Neocolenum | Neocolen(um, i n
Neocompensanum | Neocompensan(um, i n
neocortex | neocortex, icis m
neocytosis | neocytosis, is f
Neodrenalum | Neodrenal(um, i n
Neodrinum | Neodrin(um, i n
Neoepinephrinum | Neoepinephrin(um, i n
Neoeserinum | Neoeserin(um, i n
Neogynofortum | Neogynofort(um, i n
Neohydrazidum | Neohydrazid(um, i n
Neohydrinum | Neohydrin(um, i n
Neoinsoralum | Neoinsoral(um, i n
Neolaxum | Neolax(um, i n
Neolutinum | Neolutin(um, i n
Neomagnolum | Neomagnol(um, i n
Neomelubrinum | Neomelubrin(um, i n
neopallium | neopallium, i n
Neoperheparum | Neoperhepar(um, i n
Neophedanum | Neophedan(um, i n
Neophrynum | Neophryn(um, i n
Neophyllinum | Neophyllin(um, i n
Neoptolemus | Neoptolemus, i m
Neosalvarsanum | Neosalvarsan(um, i n
Neospectum | Neospect(um, i n
Neosteronum | Neosteron(um, i n
Neostibosanum | Neostibosan(um, i n
neostriatum | neostriatum, i n
Neostrophanum | Neostrophan(um, i n
Neosulfonum | Neosulfon(um, i n
Neotebenum | Neoteben(um, i n
Neothyllinum | Neothyllin(um, i n
Neotreparsenanum | Neotreparsenan(um, i n
Neozepamum | Neozepam(um, i n
Neozinum | Neozin(um, i n
Nephentinum | Nephentin(um, i n
Nephramidum | Nephramid(um, i n
nephrectomia | nephrectomia, ae f
Nephridinum | Nephridin(um, i n
nephritis | nephritis, idis f
nephrogenus | nephrogenus, a, um мед.
nephrolithiasis | nephrolithiasis, is f
nephrolithotomia | nephrolithotomia, ae f
nephrolithus | nephrolithus, i m
nephronum | nephronum, i n
nephropathia | nephropathia, ae f
nephroptosis | nephroptosis, is f
nephropyelostomia | nephropyelostomia, ae f
nephros | nephros, i m
nephrosclerosis | nephrosclerosis, is f
nephrosis | nephrosis, is f
nepos | I nepos, otis m
neptis | neptis, is f
Neptunus | Neptunus, i m
nequam | nequam adj.
nequaquam | nequaquam adv.
neque | neque (nec) conj.
nequiquam | nequiquam adv.
nequissimus | nequissimus, a, um superl.
nequiter | nequiter adv.
nequitia | nequitia, ae f
Nere | Nere^us, eos (ei) m
Nereis | Nereis, idos f
Neriolinum | Neriolin(um, i n
Nero | Nero, onis m
Nerobolilum | Nerobolil(um, i n
Nerobolum | Nerobol(um, i n
Nerva | Nerva, ae m
Nervatilum | Nervatil(um, i n
Nervii | Nervii, orum m
nervosus | nervosus, a, um анат.
nervus | nervus, i m
Nesdonalum | Nesdonal(um, i n
Nessus | Nessus, i m
Nestor | Nestor, oris m
Netocidum | Netocid(um, i n
Neulactilum | Neulactil(um, i n
Neuleptilum | Neuleptil(um, i n
Neuractilum | Neuractil(um, i n
neuralgia | neuralgia, ae f
neuralis | neuralis, e анат.
neurectomia | neurectomia, ae f
neuritis | neuritis, idis f
Neurobenzilum | Neurobenzil(um, i n
neuroblastus | neuroblastus, i m
neurocranium | neurocranium, i n
neurocytus | neurocytus, i m
neuroepithelium | neuroepithelium, i n
neurofibrae | neurofibrae, arum f
neurogenus | neurogenus, a, um мед.
neurohypophysis | neurohypophysis, is f
Neuroleptilum | Neuroleptil(um, i n
neurologia | neurologia, ae f
neuroma | neuroma, atis n
neuronum | neuronum, i n
neuropathia | neuropathia, ae f
neuropathologia | neuropathologia, ae f
neuropathologus | neuropathologus, i m
Neuropaxum | Neuropax(um, i n
neurophyllus | neurophyllus, a, um биолог.
Neuroptera | Neuroptera, orum n
neurorrhaphia | neurorrhaphia, ae f
neurosis | neurosis is f
neurosus | neurosus, a, um мед.
neurotomia | neurotomia, ae f
Neurotrastum | Neurotrast(um, i n
Neusulfonum | Neusulfon(um, i n
neuter | neuter, tra, trum gen.
neutiquam | neutiquam adv.
Neutraflavinum | Neutraflavin(um, i n
Neutraphyllinum | Neutraphyllin(um, i n
neutro | neutro adv.
Neutropenum | Neutropen(um, i n
neve | neve (ne^u) adv.
Nevigramonum | Nevigramon(um, i n
Nevodiurexum | Nevodiurex(um, i n
nex | nex, necis f
nexum | nexum, i n
nexus | nexus, us m
ni | ni conj.
Niacinamidum | Niacinamid(um, i n
Niacinum | Niacin(um, i n
Niadrinum | Niadrin(um, i n
Nialamidum | Nialamid(um, i n
Niamidum | Niamid(um, i n
