 
ob | ob praep cum acc.
obaerati | obaerati, orum m
obductio | obductio, onis f
obeo | obeo, ivi (ii), itum, ire поэт.
obesus | obesus, a, um поэт.
obex | I obex m
obiter | obiter adv.
obitus | obitus, us m
objectatio | objectatio, onis f
objectus | I objectus, a, um part.
objex | objex (obex), icis m
objicio | objicio (obicio), jeci, jectum, ere pass.
objurgatio | objurgatio, onis f
objurgator | objurgator, oris m
oblectamen | oblectamen, inis n
oblectamentum | oblectamentum, i n
oblectatio | oblectatio, onis f
oblecto | oblecto, avi, atum, are pass.
obligatio | obligatio, onis f
obligo | obligo, avi, atum, are pass.
oblimo | oblimo, avi, atum, are поэт.
oblique | oblique adv.
oblittero | oblittero (oblitero), avi, atum, are pass.
oblivio | oblivio, onis f
oblivium | oblivium, i n
oblongatus | oblongatus, a, um биолог.
obloquor | obloquor, quutus (cutus) sum, loqui поэт.
obnixe | obnixe adv.
obnoxie | obnoxie adv.
obnuntiatio | obnuntiatio, onis f
oboedienter | oboedienter adv.
oboedientia | oboedientia, ae f
obrussa | obrussa, ae f
obscoena | obscoena, orum n
obscoenitas | obscoenitas, atis f
obscoenum | obscoenum, i, n
obscuratio | obscuratio, onis f
obscure | obscure adv.
obscuritas | obscuritas, atis f
obscuro | obscuro, avi, atum, are pass.
obscurum | obscurum, i n
obsecratio | obsecratio, onis f
obsequela | obsequela (obsequella), ae f
obsequenter | obsequenter adv.
obsequentia | obsequentia, ae f
obsequium | obsequium, i n
observantia | observantia, ae f
observatio | observatio, onis f
observo | observo, avi, atum, are поэт.
obses | obses, idis m
obsessio | obsessio, onis f
obsessor | obsessor, oris m
Obsidanum | Obsidan(um, i n
obsidio | obsidio, onis f
obsidium | obsidium, i n
obsignator | obsignator, oris m
obsolete | obsolete adv.
obsonium | obsonium, i n
obstetrix | obstetrix, icis f
obstinate | obstinate adv.
obstinatio | obstinatio, onis f
obstructio | obstructio, onis f
obtentus | obtentus, us m
obtestatio | obtestatio, onis f
obtrectatio | obtrectatio, onis f
obtrectator | obtrectator, oris m
obtunsus | I obtunsus, a, um part.
obturator | obturator, oris m
obturatorius | obturatorius, a, um анат.
obtutus | obtutus, us m
obvallatus | obvallatus, a, um анат.
obverto | obverto (obvorto), verti (vorti), versum (vorsum), ere pass.
obviam | obviam adv.
obvius | obvius, a, um поэт.
obvolvo | obvolvo, volvi, volutum, ere поэт.
occasio | occasio, onis f
occasus | occasus, us m
occatio | occatio, onis f
occidens | occidens, entis m
occidio | occidio, onis f
occiduus | occiduus, a, um поэт.
occipitalis | occipitalis, e анат.
occipitofrontalis | occipitofrontalis, e анат.
occipitotemporalis | occipitotemporalis, e анат.
occiput | occiput, itis n
occisio | occisio, onis f
occlusalis | occlusalis, e анат.
occulta | occulta, orum n
occultatio | occultatio, onis f
occultator | occultator, oris m
occulte | occulte adv.
occumbo | occumbo, cubui, cubitum, ere поэт.
occupatio | occupatio, onis f
occursatio | occursatio, onis f
occursus | occursus, us m
Oceanus | Oceanus, i m
ocellus | ocellus, i m
Ocinum | Ocinum, i n
ocior | ocior, oris adj.
ocissime | ocissime adv.
ociter | ociter adv.
ocius | ocius adv.
ocrea | ocrea, ae f
Octadinum | Octadin(um, i n
Octathionum | Octathion(um, i n
Octavianus | Octavianus, i m
octies | octies (octiens) adv.
Octilinum | Octilin(um, i n
October | I October, bris, bre m
Octoestrolum | Octoestrol(um, i n
octogies | octogies (octogiens) adv.
octopetalus | octopetalus, a, um биолог.
octophoron | octophoron, i n
octuplum | octuplum, i n
octussis | octussis, is m
ocularis | ocularis, e анат.
oculista | oculista, ae m
oculomotorius | oculomotorius, a, um анат.
oculus | oculus, i m
odi | odi, --, odisse part.
odiose | odiose adv.
odium | odium, i n
odontalgia | odontalgia, ae f
odontoblastus | I odontoblastus, i m
odontogenus | odontogenus, a, um мед.
odontoideus | odontoideus, a, um анат.
odontonia | odontonia, atis n
odontophyllus | odontophyllus, a, um биолог.
odontorrhagia | odontorrhagia, ae f
odor | odor, oris m
odorans | odorans, antis биолог.
odoratus | I odoratus, a, um part.
odos | odos, oris m
Odyssea | Odyssea, ae f
oedema | oedema, atis n
Oedipus | Oedipus, odis m
oenophorum | oenophorum, i n
oesophagus | oesophagus, i m
Oestradiolum | Oestradiol(um, i n
Oestralynum | Oestralyn(um, i n
Oestramenolum | Oestramenol(um, i n
Oestramonum | Oestramon(um, i n
Oestrinum | Oestrin(um, i n
Oestrobinum | Oestrobin(um, i n
Oestrogeninum | Oestrogenin(um, i n
Oestroglandolum | Oestroglandol(um, i n
Oestrogynonum | Oestrogynon(um, i n
Oestrolum | Oestrol(um, i n
Oestromeninum | Oestromenin(um, i n
Oestronum | Oestron(um, i n
Oestroperosum | Oestroperos(um, i n
Oestrostilbenum | Oestrostilben(um, i n
Oestrosyntalum | Oestrosyntal(um, i n
oestrus | oestrus, i m
oesypum | oesypum, i n
offa | offa, ae f
offendo | offendo, tendi, fensum, ere pass.
offensa | offensa, ae f
offensio | offensio, onis f
offensiuncula | offensiuncula, ae f
offero | offero, obtuli, oblatum, offerre pass.
officina | officina, ae f
officinalis | officinalis, e мед.
officium | officium, i n
offundo | offundo, fudi, fusum, ere pass.
ohe | ohe! interj.
Oileus | Oileus (=Oile^us), ei (eos) m
Olbia | Olbia, ae f
olea | olea, ae f
Oleandocetinum | Oleandocetin(um, i n
Oleandocynum | Oleandocyn(um, i n
Oleandomycinum | Oleandomycin(um, i n
Oleandrinum | Oleandrin(um, i n
oleaster | oleaster, tri m
olecranon | olecranon, i n
Olemorphocyclinum | Olemorphocyclin(um, i n
Oletetrinum | Oletetrin(um, i n
oleum | oleum, i n
olfactorius | olfactorius, a, um анат.
olfactus | olfactus, us m
oligocytaemia | oligocytaemia, ae f
oligodactylia | oligodactylia, ae f
oligodentia | oligodentia, ae f
oligokinesia | oligokinesia, ae f
oligomenorrhoea | oligomenorrhoea, ae f
Oligonervidae | Oligonervidae, arum f
oligophrenia | oligophrenia, ae f
oligotrichus | oligotrichus, a, um биолог.
oliguria | oliguria, ae f
olim | olim adv.
olitor | olitor, oris m
Olitorisidum | Olitorisid(um, i n
oliva | oliva, ae f
olivetum | olivetum, i n
olivocerebellaris | olivocerebellaris, e анат.
Olivomycinum | Olivomycin(um, i n
olivospinalis | olivospinalis, e анат.
olivum | olivum, i n
olla | olla, ae f
ollus | ollus, a, um арх.
olor | olor, oris m
olus | olus, eris n
olusculum | olusculum, i n
Olympia | Olympia, ae f
Olympias | Olympias, adis f
Olympus | Olympus (-os), i m
Omainum | Omain(um, i n
omasum | omasum, i n
Omcilonum | Omcilon(um, i n
omen | omen, inis n
omentalis | omentalis, e анат.
omentum | omentum, i n
Omephinum | Omephin(um, i n
Omerilum | Omeril(um, i n
omnigena | omnigena, ae m
omnino | omnino adv.
Omnoponum | Omnopon(um, i n
omoclavicularis | omoclavicularis, e анат.
omohyoideus | omohyoideus, a, um анат.
omphaloentericus | omphaloentericus, a, um анат.
omphalomesentericus | omphalomesentericus, a, um анат.
omphalus | omphalus, i m
onager | onager, gri m
onagrus | onagrus, i m
oncogenesis | oncogenesis, is f
oncologia | oncologia, ae f
oncologus | oncologus, i m
Oncovinum | Oncovin(um, i n
oneraria | oneraria, ae f
onero | onero, avi, atum, are поэт.
ontogenesis | ontogenesis, is f
ontogeneticus | ontogeneticus, a, um биолог.
onus | onus, eris n
Onycholysinum | Onycholysin(um, i n
onyx | onyx, ychis m
oophoron | oophoron, i n
oophorus | oophorus, a, um анат.
opacus | opacus, a, um поэт.
opella | opella, ae f
opera | opera, ae f
operarius | operarius, i m
operculum | operculum, i n
operimentum | operimentum, i n
operose | operose adv.
opertum | opertum, i n
