 
Pabestrolum | Pabestrolum, i n
pabulatio | pabulatio, onis f
pabulator | pabulator, oris m
pabulum | pabulum, i n
pacata | pacata, orum n
Pacatalum | Pacatalum, i n
Pachycarpinum | Pachycarpinum, i n
pachycarpus | pachycarpus, a, um биолог.
pachymeninx | pachymeninx, ingis f
pacificatio | pacificatio, onis f
pacificator | pacificator, oris m
Pacinolum | Pacinolum, i n
Pacinonum | Pacinonum, i n
Pacitrinum | Pacitrinum, i n
pacta | pacta, ae f
pactio | pactio, onis f
pactor | pactor, oris m
pactum | pactum, i n
Pacuvius | Pacuvius, i m
Padicorum | Padicorum, i n
Padus | I Padus, i f
Padutinum | Padutinum, i n
paean | I paean, anis m
paedagogus | paedagogus, i m
paediater | paediater, tri m
paediatria | paediatria, ae f
paedor | paedor, oris m
paelex | paelex, icis f
paelicatus | paelicatus, us m
paene | paene adv.
paeninsula | paeninsula, ae f
paenula | paenula, ae f
paenuria | paenuria, ae f
paeon | paeon, onis m
paganus | I paganus, a, um m
pagella | pagella, ae f
pagina | pagina, ae f
paginula | paginula, ae f
pagus | pagus, i m
pala | pala, ae f
Palacrinum | Palacrinum, i n
palaestra | palaestra, ae f
palaestrice | palaestrice adv.
palaestrita | palaestrita, ae m
palam | I palam adv.
Palatinus | I Palatinus, a, um анат.
Palatium | Palatium, i n
palatoethmoidalis | palatoethmoidalis, e анат.
palatoglossus | palatoglossus, a, um анат.
palatomaxillaris | palatomaxillaris, e анат.
palatopharyngeus | palatopharyngeus, a, um анат.
palatovaginalis | palatovaginalis, e анат.
palatum | palatum, i n
palatus | palatus, i m
palea | palea, ae f
palear | palear, aris n
paleencephalon | paleencephalon, i n
paleocerebellum | paleocerebellum, i n
paleocortex | paleocortex, icis f
Palerolum | Palerolum, i n
Pales | Pales, is f
Palfium | Palfium, i n
palimpsestus | palimpsestus, i m
Palinum | Palinum, i n
paliurus | paliurus, i m
palla | palla, ae f
Palladium | Palladium, i n
Pallas | I Pallas, adis (ados) f
palleo | palleo, pallui, --, ere поэт.
pallesco | pallesco, pallui, --, ere поэт.
Pallicidum | Pallicidum, i n
pallidothalamicus | pallidothalamicus, a, um анат.
palliolum | palliolum, i n
pallium | pallium, i n
pallor | pallor, oris m
palma | palma, ae f
palmaris | palmaris, e анат.
palmatus | palmatus, a, um анат.
palmes | palmes, itis m
palmetum | palmetum, i n
palmula | palmula, ae f
palpatio | palpatio, onis f
palpebra | palpebra, ae f
palpebralis | palpebralis, e анат.
Palphium | Palphium, i n
paludamentum | paludamentum, i n
Paludrinum | Paludrinum, i n
palumbes | palumbes, is m
palus | I palus, i m
Palusilum | Palusilum, i n
Pamisylum | Pamisylum, i n
Pamoxanum | Pamoxanum, i n
pampiniformis | pampiniformis, e анат.
pampinus | pampinus, i m
Pan | Pan, Panis (Panos) m
panacea | panacea, ae f
Panadolum | Panadolum, i n
panalgia | panalgia, ae f
Pananginum | Pananginum, i n
panaritium | panaritium, i n
panarthritis | panarthritis, idis f
Panax | Panax Ginseng (Shin-seng) фармац.
Pancainum | Pancainum, i n
Pancalum | Pancalum, i n
pancarditis | pancarditis, idis f
pancreas | pancreas, atis n
pancreaticoduodenalis | pancreaticoduodenalis, e анат.
pancreaticolienalis | pancreaticolienalis, e анат.
pancreaticus | pancreaticus, a, um анат.
Pancreatinum | Pancreatinum, i n
pancreatitis | pancreatitis, idis f
Pandigalum | Pandigalum, i n
pando | pando, pandi, pansum (passum), ere pass.
panegyricus | panegyricus, i m
Panergalum | Panergalum, i n
Panflavinum | Panflavinum, i n
pango | pango, pepigi поэт.
Panhexavitum | Panhexavitum, i n
panhysterectomia | panhysterectomia, ae f
panicum | panicum, i n
panis | panis, is m
Paniverinum | Paniverinum, i n
Pankalma | Pankalma, ае f
Panmycinum | Panmycinum, i n
panniculus | panniculus, i m
Pannonia | Pannonia, ae f
pannus | pannus, i m
Panodormum | Panodormum, i n
Pantalganum | Pantalganum, i n
pantex | pantex, icis m
panthera | panthera, ae f
Panthojectum | Panthojectum, i n
Pantholinum | Pantholinum, i n
Pantocainum | Pantocainum, i n
Pantocidum | Pantocidum, i n
Pantocrinum | Pantocrinum, i n
Pantolaxum | Pantolaxum, i n
Pantomycinum | Pantomycinum, i n
pantophagus | pantophagus, a, um биолог.
Pantopoda | Pantopoda, um n
Pantoponum | Pantoponum, i n
Pantoseptum | Pantoseptum, i n
Pantotenum | Pantotenum, i n
Pantothaxinum | Pantothaxinum, i n
Pantotonum | Pantotonum, i n
Pantrypinum | Pantrypinum, i n
Panurinum | Panurinum, i n
panvasculitis | panvasculitis, idis f
panzootia | panzootia, ae f
Papaver | Papaver, eris n
Papaveratum | Papaveratum, i n
Papaverinum | Papaverinum, i n
Papazolum | Papazolum, i n
Paphlagonia | Paphlagonia, ae f
Paphos | Paphos (-us), i m
Paphyllinum | Paphyllinum, i n
papilio | papilio, onis m
papilla | papilla, ae f
papillaris | papillaris, e анат.
papula | papula, ae f
papyraceus | papyraceus, a, um анат.
papyrus | papyrus, i m
par | par, paris subst.
paraaorticus | paraaorticus, a, um анат.
Paracainum | Paracainum, i n
paracentralis | paracentralis, e анат.
Paracetamolum | Paracetamolum, i n
paracolitis | paracolitis, idis f
Paracortolum | Paracortolum, i n
Paracortum | Paracortum, i n
paracystitis | paracystitis, idis f
paradidymis | paradidymis, idis f
Paradionum | Paradionum, i n
paradoxa | paradoxa, orum n
paraduodenalis | paraduodenalis, e анат.
paraffinatus | paraffinatus, a, um фармац.
Paraffinum | Paraffinum, i n
Paraflexum | Paraflexum, i n
paraflocculus | paraflocculus, i m
paraganglion | paraganglion, i n
parahippocampalis | parahippocampalis, e анат.
Paralestum | Paralestum, i n
paralysis | paralysis, is f
paramastoideus | paramastoideus, a, um анат.
paramesonephricus | paramesonephricus, a, um анат.
parametritis | parametritis, idis f
parametrium | parametrium, i n
Paramyonum | Paramyonum, i n
paranasalis | I paranasalis, e анат.
parancphritis | parancphritis, idis f
Paranephrinum | Paranephrinum, i n
paranephros | paranephros, i m
paraneuralis | paraneuralis, e анат.
paraolivarius | paraolivarius, a, um анат.
parapancreaticus | parapancreaticus, a, um анат.
parapharyngealis | parapharyngealis, e анат.
parapharyngeus | parapharyngeus, a, um мед.
paraphysis | paraphysis, is f
parapinealis | parapinealis, e анат.
paraproctitis | paraproctitis, idis f
paraproctus | paraproctus, i m
pararectalis | pararectalis, e анат.
parasacralis | parasacralis, e анат.
Parasalum | Parasalum, i n
Parasanum | Parasanum, i n
parasita | parasita, ae f
parasitus | parasitus, i m
parasternalis | parasternalis, e анат.
parasympathicus | parasympathicus, a, um анат.
parata | parata, orum n
parate | parate adv.
paraterminalis | paraterminalis, e анат.
Parathesinum | Parathesinum, i n
Parathormonum | Parathormonum, i n
Parathyreocrinum | Parathyreocrinum, i n
Parathyreoidinum | Parathyreoidinum, i n
paratio | paratio, onis f
paratus | I paratus, a, um m
paratyphus | paratyphus, i m
paraumbilicalis | paraumbilicalis, e анат.
paraurethralis | paraurethralis, e анат.
paravaginalis | paravaginalis, e анат.
paraventricularis | paraventricularis, e анат.
paravertebralis | paravertebralis, e анат.
Paraxinum | Paraxinum, i n
Parazinum | Parazinum, i n
Parazonum | Parazonum, i n
Parca | Parca, ae f
parce | parce adv.
Parekinum | Parekinum, i n
parenchyma | parenchyma, atis n
parens | I parens, entis m
parentalia | parentalia, ium n
parenteralis | parenteralis, e анат.
parentes | parentes, ium m
pareo | pareo, ui, itum, ere impers.
Pargitanum | Pargitanum, i n
paries | paries, etis m
parietalis | parietalis, e анат.
parietinae | parietinae, arum f
parietomastoideus | parietomastoideus, a, um анат.
parietooccipitalis | parietooccipitalis, e анат.
parietopontinus | parietopontinus, a, um анат.
pario | pario, peperi, partum, ere part.
Paris | Paris, idis m
Parisii | Parisii, orum m
pariter | pariter adv.
Parkanum | Parkanum, i n
Parkazinum | Parkazinum, i n
Parkisanum | Parkisanum, i n
Parkopanum | Parkopanum, i n
parma | parma, ae f
parmati | parmati, orum m
parmula | parmula, ae f
Parnas | Parna(s)sos (-us), i m
Parnatum | Parnatum, i n
Parnitenum | Parnitenum, i n
paro | I paro, (avi), atum, are m
parochus | parochus, i m
parodontium | parodontium, i n
parodontopathia | parodontopathia, ae f
parodontosis | parodontosis, is f
Parodynum | Parodynum, i n
paroecia | paroecia, ae f
Paromomycinum | Paromomycinum, i n
paroophoron | paroophoron, i n
Paros | Paros (-us), i f
parotideomassetericus | parotideomassetericus, a, um анат.
parotis | parotis, idis f
paroxysmalis | paroxysmalis, e мед.
parra | parra, ae f
parricida | parricida, ae m
parricidium | parricidium, i n
pars | I pars, partis f
Parsidolum | Parsidolum, i n
parsimonia | parsimonia, ae f
Parstelinum | Parstelinum, i n
parta | parta, orum n
Parthenon | Parthenon, onis m
Parthenope | Parthenope, es f
Parthi | Parthi, orum m
particula | particula, ae f
partim | partim см.
partite | partite adv.
partitio | partitio, onis f
parturio | parturio, ivi (ii), --, ire поэт.
partus | partus, us m
parum | parum adv.
parumper | parumper adv.
parunculus | parunculus, i m
parva | parva, ae f
parvitas | parvitas, atis f
parvum | parvum, i, n
parvus | I parvus, a, um compar.
Pasalicylum | Pasalicylum, i n
pascua | pascua, orum n
Pasiphaa | Pasiphaa, ae f
Pasomycinum | Pasomycinum, i n
passer | passer, eris m
passerculus | passerculus, i m
Passiflora | Passiflora бот.
passim | passim adv.
passum | I passum, i n
passus | I passus, a, um part.
pasta | pasta, ae f
pastillum | pastillum, i n
pastillus | pastillus, i m
Pastinacinum | Pastinacinum, i n
pastio | pastio, onis f
pastor | pastor, oris m
pastus | pastus, us m
Patavium | Patavium, i n
patefactio | patefactio, onis f
patefio | patefio, factus sum, fieri pass.
patella | patella, ae f
patellaris | patellaris, e анат.
patena | patena, ae f
patenter | patenter adv.
pater | pater, tris m
patera | patera, ae f
paternus | paternus, a, um поэт.
pathogenesis | pathogenesis, is f
pathogenus | pathogenus, a, um мед.
pathologia | pathologia, ae f
pathologicus | pathologicus, a, um мед.
patibulum | patibulum, i n
patiens | patiens, entis поэт.
patienter | patienter adv.
patientia | patientia, ae f
patina | patina (patena), ae f
patinatio | patinatio, onis f
patinus | patinus, i m
patior | patior, passus sum, pati поэт.
patrator | patrator, oris m
patria | patria, ae f
patricia | patricia, ae f
patricida | patricida, ae m
patricius | I patricius, a, um m
patrimonium | patrimonium, i n
patrocinium | patrocinium, i n
Patrocles | Patrocles, is m
patrona | patrona, ae f
patronus | patronus, i m
patronuus | patronuus, i m
patruelis | patruelis, e поэт.
patruus | I patruus, a, um m
pauca | pauca, orum n
pauci | pauci, orum m
pauciflorus | pauciflorus, a, um биолог.
paucifolius | paucifolius, a, um биолог.
paucitas | paucitas, atis f
paucus | paucus, a, um pl.
paulatim | paulatim (paullatim) adv.
paulisper | paulisper (paullisper) adv.
paulo | paulo adv.
paululum | I paululum adv.
paulum | I paulum adv.
paulus | I paulus (paullus), a, um m
pauper | pauper, eris поэт.
pauperies | pauperies, ei f
paupertas | paupertas, atis f
Pausanias | Pausanias, ae m
pausea | pausea (pausia), ae f
Pavesthesinum | Pavesthesinum, i n
pavide | pavide adv.
pavimentum | pavimentum, i n
pavo | pavo, onis m
pavor | pavor, oris m
pax | pax, pacis f
Pecazinum | Pecazinum, i n
peccatum | peccatum, i n
peccatus | peccatus, us m
pecten | I pecten, inis m
pectinatus | pectinatus, a, um анат.
pectineus | pectineus, a, um анат.
Pectolum | Pectolum, i n
pectoralis | pectoralis, e анат.
pectus | pectus, oris n
Pectussinum | Pectussinum, i n
pecu | pecu, us n
pecuaria | pecuaria, orum n
pecuarius | I pecuarius, a, um m
peculator | peculator, oris m
peculatus | peculatus, us m
peculium | peculium, i n
pecunia | pecunia, ae f
pecus | I pecus, oris n
pedalis | I pedalis, e анат.
pedes | pedes, itis m
pedetemtim | pedetemtim (pedetemptim) adv.
pediaeus | pediaeus, a, um анат.
pedica | pedica, ae f
pediculus | pediculus, i m
pedidius | pedidius, a, um анат.
pedisequa | pedisequa, ae f
pedisequus | I pedisequus, a, um m
peditatus | peditatus, us m
Pedrolonum | Pedrolonum, i n
pedum | pedum, i n
peduncularis | peduncularis, e анат.
pedunculus | pedunculus, i m
Peflavitum | Peflavitum, i n
Pegasiformes | Pegasiformes, ium f
Pegasos | Pegasos (-us), i m
pegma | pegma, atis n
Pehanormum | Pehanormum, i n
pejor | pejor compar.
pejus | pejus compar.
pelagus | pelagus, i n
Pelasgi | Pelasgi, orum m
Pelazidum | Pelazidum, i n
Pelentanum | Pelentanum, i n
Peleus | Peleus (= Pele^us), ei (eos) m
Pelides | Pelides, ae m
Pelion | Pelion, i n
Pella | Pella, ae f
Pellagraminum | Pellagraminum, i n
pellectio | pellectio, onis f
pellicula | pellicula, ae f
pellis | pellis, is f
pello | pello, pepuli, pulsum, ere поэт.
pellucidus | pellucidus, a, um анат.
Pelminum | Pelminum, i n
Peloidinum | Peloidinum, i n
Peloidodestillatum | Peloidodestillatum, i n
Peloninum | Peloninum, i n
Peloponnesos | Peloponnesos (-us), i f
Pelops | Pelops, opis m
peloris | peloris, idis f
pelta | pelta, ae f
peltastae | peltastae, arum m
pelusia | pelusia, ae f
pelvinus | pelvinus, a, um анат.
Pelviranum | Pelviranum, i n
pelvis | pelvis, is f
Pemalinum | Pemalinum, i n
pemma | pemma, ae f
Penadurum | Penadurum, i n
penates | penates, ium m
Penbritinum | Penbritinum, i n
pendeo | pendeo, pependi, --, ere поэт.
Pendeponum | Pendeponum, i n
Pendiomidum | Pendiomidum, i n
pendulus | pendulus, a, um поэт.
pene | pene adv.
Penelopa | Penelopa, ae f
penes | penes praep.
Penesterum | Penesterum, i n
Penethacillinum | Penethacillinum, i n
penetralia | penetralia, ium n
penicilli | penicilli, orum m
