 
rabbinus | rabbinus, i m
rabide | rabide adv.
rabies | rabies, ei f
rabiose | rabiose adv.
rabula | rabula, ae m
Racemelphalanum | Racemelphalan(um, i n
racemifer | racemifer, era, erum бот.
racemosus | racemosus, a, um анат.
racemus | racemus, i m
Racephenum | Racephen(um, i n
Radedormum | Radedorm(um, i n
Radepurum | Radepur(um, i n
radialis | radialis, e анат.
radiatio | radiatio, onis f
radiatus | radiatus, a, um анат.
radicitus | radicitus adv.
radicula | radicula, ae f
radicularis | radicularis, e анат.
radiocarpeus | radiocarpeus, a, um анат.
radiophonia | radiophonia, ae f
Radioselectanum | Radioselectan(um, i n
radiostantio | radiostantio, onis f
radioulnaris | radioulnaris, e анат.
radius | radius, i m
radix | radix, icis f
rado | rado, rasi, rasum, ere поэт.
radula | radula, ae f
Raeti | Raeti, orum m
Raetia | Raetia, ae f
ramale | ramale, is n
ramentum | ramentum, i n
ramicola | ramicola, ae m
ramiculus | ramiculus, i m
Ramnicapra | Ramnicapra, ae f
ramulus | ramulus, i m
ramus | ramus, i m
rana | rana, ae f
ranunculus | ranunculus, i m
rapacitas | rapacitas, atis f
Raphanus | Raphanus, i m
raphe | raphe, es f
rapide | rapide adv.
rapiditas | rapiditas, atis f
rapidus | rapidus, a, um поэт.
rapina | rapina, ae f
rapio | rapio, rapui, raptum, ere, поэт.
raptim | raptim adv.
raptor | raptor, oris m
raptus | raptus, us m
rapulum | rapulum, i n
rapum | rapum, i n
raritas | raritas, atis f
raro | raro adv.
rarus | rarus, a, um поэт.
raster | raster, tri m
Rastinonum | Rastinon(um, i n
ratio | ratio, onis f
ratiocinatio | ratiocinatio, onis f
ratiocinator | ratiocinator, oris m
ratis | ratis, is f
ratiuncula | ratiuncula, ae f
ratus | ratus, a, um поэт.
raucus | raucus, a, um поэт.
Raudiazinum | Raudiazin(um, i n
Raudixinum | Raudixin(um, i n
raudus | raudus (rudus), eris n
raudusculum | raudusculum, i n
Raunatinum | Raunatin(um, i n
Raupasilum | Raupasil(um, i n
Raupina | Raupina, ae f
Rauraci | Rauraci, orum m
Rausedanum | Rausedan(um, i n
Rausedylum | Rausedyl(um, i n
Rauwasanum | Rauwasan(um, i n
Rauwolfia | Rauwolfia, ae f
Ravenalum | Ravenal(um, i n
Ravenna | Ravenna, ae f
rea | I rea, ae f
reapse | reapse adv.
Reate | Reate, is n
Reazidum | Reazid(um, i n
rebellatio | rebellatio, onis f
rebellatrix | rebellatrix, icis f
rebelles | rebelles, ium m
rebellio | rebellio, onis f
rebello | rebello, avi, atum, are поэт.
recensio | recensio, onis f
recensus | recensus, us m
receptaculum | I receptaculum, i n
recepto | recepto, avi, atum, are поэт.
receptor | receptor, oris m
receptrix | receptrix, icis f
receptum | receptum, i n
receptus | receptus, us m
recessus | recessus, us m
recidivus | recidivus, a, um поэт.
recingo | recingo, cinxi, cinctum, ere pass.
recipio | recipio, cepi, ceptum, ere воен.
recitatio | recitatio, onis f
recitator | recitator, oris m
reclamatio | reclamatio, onis f
reclamo | reclamo, avi, atum, are поэт.
reclino | reclino, avi, atum, are поэт.
recludo | recludo, clusi, clusum, ere поэт.
recognitio | recognitio, onis f
reconciliatio | reconciliatio, onis f
reconcillator | reconcillator, oris m
recondo | recondo, didi, ditum, ere поэт.
recordatio | recordatio, onis f
recreo | recreo, avi, atum, are pass.
recta | recta adv.
rectalis | rectalis, e анат.
recte | recte adv.
rectificatus | rectificatus, a, um хим.
rectio | rectio, onis f
rectococcygeus | rectococcygeus, a, um анат.
rector | rector, oris m
rectoscopia | rectoscopia, ae f
rectourethralis | rectourethralis, e анат.
rectouterinus | rectouterinus, a, um анат.
rectovaginalis | rectovaginalis, e анат.
rectovesicalis | rectovesicalis, e анат.
rectum | rectum, i n
recuperatio | recuperatio (reciperatio), onis f
recuperator | recuperator (reciperator), oris m
recursus | recursus, us m
recusatio | recusatio, onis f
recuso | recuso, avi, atum, are юр.
reda | reda (raeda), ae f
Redaminum | Redamin(um, i n
redarius | redarius, i m
reddo | reddo, didi, ditum, ere юр.
redemptio | redemptio, onis f
redemptor | redemptor, oris m
redemptura | redemptura, ae f
Redergamum | Redergam(um, i n
redimiculum | redimiculum, i n
Redimilum | Redimil(um, i n
redintegratio | redintegratio, onis f
reditio | reditio, onis f
reditus | reditus, us m
redivivum | redivivum, i n
Redomexum | Redomex(um, i n
Redoxonum | Redoxon(um, i n
reduco | reduco, duxi, ductum, ere воен.
reductio | reductio, onis f
reductor | reductor, oris m
reductus | reductus, a, um хим.
redundantia | redundantia, ae f
reduvia | reduvia, ae f
refero | refero, tuli, latum, ferre pass.
refert | refert, retulit, --, referre impers.
reflatus | reflatus, us m
reflecto | reflecto, flexi, flexum, ere pass.
reflexus | reflexus, us m
Refobacinum | Refobacin(um, i n
reformidatio | reformidatio, onis f
refrigero | refrigero, avi, atum, are pass.
refugium | refugium, i n
refugus | refugus, a, um поэт.
refundo | refundo, fudi, fusum, ere поэт.
Refusalum | Refusal(um, i n
refutatio | refutatio, onis f
regaliter | regaliter adv.
Regelanum | Regelan(um, i n
regenerator | regenerator, oris m
Regenonum | Regenon(um, i n
regia | regia, ae f
regie | regie adv.
regii | regii, orum m
regimen | regimen, inis n
regina | regina, ae f
regio | regio, onis f
regionatim | regionatim adv.
Regitinum | Regitin(um, i n
Regium | Regium, i n
regnator | regnator, oris m
regnatrix | regnatrix, icis f
