 
sabbata | sabbata, orum n
Sabelli | Sabelli, orum m
Sabini | Sabini, orum m
sabulum | sabulum, i n
saburra | saburra, ae f
Saccharinum | Saccharin(um, i n
Saccharum | Saccharum, i n
sacciformis | sacciformis, e анат.
Saccoglossa | Saccoglossa, orum n
Saccopteryx | Saccopteryx, igis f
saccularis | saccularis, e анат.
sacculus | sacculus, i m
saccus | saccus, i m
sacellum | sacellum, i n
sacer | sacer, cra, crum поэт.
sacerdos | sacerdos, otis m
sacerdotium | sacerdotium, i n
sacralis | sacralis, e анат.
sacramentum | sacramentum, i n
sacrarium | sacrarium, i n
sacrificium | sacrificium, i n
sacrificulus | sacrificulus, i m
sacrificus | sacrificus, a, um поэт.
sacrilegium | sacrilegium, i n
sacrinae | sacrinae, arum f
sacro | sacro, avi, atum, are поэт.
sacrococcygeus | sacrococcygeus, a, um анат.
sacroiliacus | sacroiliacus, a, um анат.
sacropelvinus | sacropelvinus, a, um анат.
sacrospinalis | sacrospinalis, e анат.
sacrotuberalis | sacrotuberalis, e анат.
sacrum | sacrum, i n
saeclum | saeclum, i n
saeculum | saeculum (saeclum), i n
saepe | saepe ( compar.
saepenumero | saepenumero adv.
saepes | saepes (sepes), is f
saepimentum | saepimentum, i n
saeptum | saeptum, i n
saeve | saeve adv.
saevitia | saevitia, ae f
saga | saga, ae f
sagacitas | sagacitas, atis f
sagaciter | sagaciter adv.
sagina | sagina, ae f
sagitta | sagitta, ae f
sagittalis | sagittalis, e анат.
sagittarius | sagittarius, i m
sagmen | sagmen, inis n
sagulum | sagulum, i n
sagum | sagum, i n
Saguntum | Saguntum, i n
Saiodinum | Saiodin(um, i n
sal | I sal, salis m
Salamidum | Salamid(um, i n
Salamina | Salamina, ae acc.
Salaphtholum | Salaphthol(um, i n
salarium | salarium, i n
salax | salax, acis поэт.
Salazodimethoxinum | Salazodimethoxin(um, i n
Salazopyridazinum | Salazopyridazin(um, i n
Salazopyridinum | Salazopyridin(um, i n
Salazopyrinum | Salazopyrin(um, i n
Salazosulfapyridinum | Salazosulfapyridin(um, i n
Salbutamolum | Salbutamol(um, i n
salebra | salebra, ae f
Salernum | Salernum, i n
Saletinum | Saletin(um, i n
Saliamidum | Saliamid(um, i n
Salicinum | Salicin(um, i n
salictum | salictum, i n
Salicylamidum | Salicylamid(um, i n
Salicylanilidum | Salicylanilid(um, i n
salicylas | salicylas, atis m
salicylatus | salicylatus, a, um хим.
Salicylazosulfapyridinum | Salicylazosulfapyridin(um, i n
salicylicus | salicylicus, a, um хим.
Saliglutinum | Saliglutin(um, i n
Salii | Salii, orum m
Salimidum | Salimid(um, i n
salinae | salinae, arum f
Salinimentum | Saliniment(um, i n
salinum | salinum, i n
Salitinum | Salitin(um, i n
saliunca | saliunca, ae f
saliva | saliva, ae f
salivalis | salivalis, e анат.
salivatorius | salivatorius, a, um анат.
Salix | Salix, icis f
salix | salix, icis f
Salolum | Salol(um, i n
Salopurum | Salopur(um, i n
salpa | salpa, ae f
salpingectomia | salpingectomia, ae f
salpingitis | salpingitis, idis f
salpingographia | salpingographia, ae f
salpingolysis | salpingolysis, is f
salpingopalatinus | salpingopalatinus, a, um анат.
