 
tabacum | tabacum, i n
tabella | tabella, ae f
tabellarius | I tabellarius, a, um m
tabeo | tabeo, --, --, ere поэт.
taberna | taberna, ae f
tabernaculum | tabernaculum, i n
tabernarius | tabernarius, i m
tabes | tabes, is f
tabula | tabula, ae f
tabularium | tabularium, i n
tabulatio | tabulatio, onis f
tabulatum | tabulatum, i n
tabuletta | tabuletta, ae f
tabum | tabum, i n
Tachmalinum | Tachmalin(um, i n
tachycardia | tachycardia, ae f
tachyphagia | tachyphagia, ae f
Tachystinum | Tachystin(um, i n
Tacita | Tacita, ae f
tacite | tacite adv.
tacitum | tacitum, i n
taciturnitas | taciturnitas, atis f
taciturnus | taciturnus, a, um поэт.
tacitus | I tacitus, a, um m
Tactaranum | Tactaran(um, i n
tactilis | tactilis, e анат.
tactus | I tactus, a, um m
taeda | taeda (teda), ae f
taedet | taedet, taeduit impers.
taedium | taedium, i n
Taenaros | Taenaros, i m
Taenarum | Taenarum, i n
taenia | taenia, ae f
tagimentum | tagimentum, i n
talaria | talaria, ium n
talaris | talaris, e анат.
Talcum | Talcum, i n
talea | talea, ae f
talentum | talentum, i n
taleonarius | taleonarius, i m
Talidinum | Talidin(um, i n
talio | talio, onis f
Talisulfazolum | Talisulfazol(um, i n
talocalcaneonavicularis | talocalcaneonavicularis, e анат.
talocalcaneus | talocalcaneus, a, um анат.
Talofenum | Talofen(um, i n
talofibularis | talofibularis, e анат.
talonavicularis | talonavicularis, e анат.
talpa | talpa, ae f
talus | talus, i m
tam | tam adv.
tamen | tamen adv.
tamenetsi | tamenetsi conj.
Tamesa | Tamesa, ae f
tametsi | tametsi conj.
tamquam | tamquam adv.
Tanager | Tanager, gri m
Tanais | Tanais, idis (is) m
Tanakanum | Tanakan(um, i n
tandem | tandem adv.
tango | tango, tetigi, tactum, ere поэт.
Tannalbinum | Tannalbin(um, i n
Tantalides | Tantalides, ae m
Tantalis | Tantalis, idis (idos) f
Tantalos | Tantalos (-us), i m
tantisper | tantisper adv.
tanto | tanto adv.
tantopere | tantopere (также раздельно tanto opere) adv.
tantulum | tantulum, i n
tantum | I tantum adv.
Tapazolum | Tapazol(um, i n
tapes | tapes, etis m
tapetum | tapetum, i n
Taractanum | Taractan(um, i n
Tarasanum | Tarasan(um, i n
Taraxacum | Taraxacum, i n
Tarchocinum | Tarchocin(um, i n
tarde | tarde adv.
Tardilum | Tardil(um, i n
tarditas | tarditas, atis f
Tardocillinum | Tardocillin(um, i n
tardus | tardus, a, um поэт.
Tarentum | Tarentum, i n
Tarquinii | Tarquinii, orum m
Tarquinius | Tarquinius, i m
Tarraco | Tarraco, onis f
tarsometatarseus | tarsometatarseus, a, um анат.
tarsus | tarsus, i m
Tartaros | Tartaros (-us), i m
Tasnonum | Tasnon(um, i n
Tatius | Tatius Titus m
Tauremisinum | Tauremisin(um, i n
Tauri | Tauri, orum m
Taurus | Taurus, i m
taurus | taurus, i m
taxatio | taxatio, onis f
taxonomia | taxonomia, ae f
Taxoptera | Taxoptera, ae f
taxus | taxus, i f
Tazepamum | Tazepam(um, i n
te | te acc.
Tebethionum | Tebethion(um, i n
Tebexinum | Tebexin(um, i n
Tebrazidum | Tebrazid(um, i n
Tebrophenum | Tebrophen(um, i n
tecte | tecte adv.
tector | tector, oris m
tectorium | tectorium, i n
tectorius | tectorius, a, um анат.
tectum | tectum, i n
Teebacinum | Teebacin(um, i n
Tegea | Tegea, ae f
tegimen | tegimen (tegumen, tegmen), inis n
tegimentum | tegimentum (tegumentum, tegmentum), i n
tegmen | tegmen, inis n
tegmentalis | tegmentalis, e анат.
tegmentum | tegmentum, i n
Tegretalum | Tegretal(um, i n
