 
Vabrocidum | Vabrocid(um, i n
vacatio | vacatio, onis f
vacca | vacca, ae f
vaccinium | I vaccinium, i n
vaco | vaco, avi, atum, are impers.
vacuefio | vacuefio, factus sum, fieri pass.
vacuola | vacuola, ae f
vacuum | vacuum, i n
vacuus | vacuus, a, um поэт.
Vada | I Vada, ae f
vadimonium | vadimonium, i n
vadum | vadum, i n
vae | vae interj.
vafre | vafre adv.
vagalis | vagalis, e анат.
vage | vage adv.
Vagimidum | Vagimid(um, i n
vagina | vagina, ae f
vaginalis | vaginalis, e анат.
vaginitis | vaginitis, idis f
vagitus | vagitus, us m
Vagivalum | Vagival(um, i n
Vagospasmylum | Vagospasmyl(um, i n
Vagostigminum | Vagostigmin(um, i n
vagus | vagus, a, um анат.
valde | valde adv.
Valecorum | Valecor(um, i n
valenter | valenter adv.
Valeriana | Valeriana, ae f
Valerianas | Valerianas, atis m
valerianicus | valerianicus, a, um фармац.
valetudinarium | valetudinarium, i n
valetudo | valetudo, inis f
valide | valide adv.
Validolum | Validol(um, i n
validus | validus, a, um воен.
Valinilum | Valinil(um, i n
Valium | Valium, i n
vallatus | vallatus, a, um анат.
vallecula | vallecula, ae f
valles | valles (vallis), is f
vallum | vallum, i n
vallus | vallus, i m
Valocordinum | Valocordin(um, i n
Valocormidum | Valocormid(um, i n
valva | valva, ae f
valvae | valvae, arum f
valvula | valvula, ae f
valvularis | valvularis, e анат.
Vancomycinum | Vancomycin(um, i n
Vandali | Vandali, orum m
Vandidum | Vandid(um, i n
Vanicidum | Vanicid(um, i n
Vanillaberonum | Vanillaberon(um, i n
Vanilonum | Vanilon(um, i n
vaniloquentia | vaniloquentia, ae f
vanitas | vanitas, atis f
Vanizidum | Vanizid(um, i n
vannus | vannus, i f
Vanquilum | Vanquil(um, i n
Vanquinum | Vanquin(um, i n
vanum | vanum, i n
vapor | vapor, oris m
Vaporolum | Vaporol(um, i n
vappa | vappa, ae f
variatio | variatio, onis f
Varicocidum | Varicocid(um, i n
varie | varie adv.
varietas | varietas, atis f
vario | vario, avi, atum, are pass.
Varro | Varro, onis m
Varus | Varus, i m
vas | I vas, is n
vasarium | vasarium, i n
Vascardinum | Vascardin(um, i n
vascularis | vascularis, e анат.
vascularius | vascularius, i m
vasculitis | vasculitis, idis f
vasculosus | vasculosus, a, um анат.
Vaselinum | Vaselin(um, i n
Vasiodonum | Vasiodon(um, i n
vasocardiographia | vasocardiographia, ae f
Vasocorum | Vasocor(um, i n
vasodilatatio | vasodilatatio, onis f
Vasodilatolum | Vasodilatol(um, i n
vasographia | vasographia, ae f
Vasolanum | Vasolan(um, i n
vasorrhaphia | vasorrhaphia, ae f
vastatio | vastatio, onis f
vastator | vastator, oris m
vaste | vaste adv.
vastitas | vastitas, atis f
vasto | vasto, avi, atum, are pass.
vastus | vastus, a, um анат.
vates | vates, is m
vaticinatio | vaticinatio, onis f
vaticinator | vaticinator, oris m
VC | VC сокр. от
ve | I ve- (vae-) conj.
vecordia | vecordia, ae f
vectigal | vectigal, alis n
vectis | vectis, is m
vector | vector, oris m
vectura | vectura, ae f
Vegacillinum | Vegacillin(um, i n
Veganthinum | Veganthin(um, i n
Vegolysenum | Vegolysen(um, i n
vehementer | vehementer adv.
vehiculum | vehiculum, i n
veho | veho, vexi, vectum, ere pass.
Veji | Veji, orum m
velamen | velamen, inis n
velamentum | velamentum, i n
velati | velati, orum m
Velbanum | Velban(um, i n
Veleda | Veleda, ae f
veles | veles, itis m
velites | velites, um m
vellus | vellus, eris n
velocitas | velocitas, atis f
velociter | velociter adv.
velox | velox, ocis поэт.
velum | I velum, i n
velut | velut (veluti) adv.
vena | vena, ae f
venabulum | venabulum, i n
venalicius | venalicius, i m
Venapiolinum | Venapiolin(um, i n
venatio | venatio, onis f
venator | I venator, oris m
venatrix | I venatrix, icis f
venatus | venatus, us m
venditatio | venditatio, onis f
venditio | venditio, onis f
venditor | venditor, oris m
Venedi | Venedi, orum m
venefica | venefica, ae f
veneficium | veneficium, i n
veneficus | I veneficus, a, um m
venenum | venenum, i n
veneo | veneo, venii, venum, ire юр.
veneratio | veneratio, onis f
venerator | venerator, oris m
Veneti | Veneti, orum m
venia | venia, ae f
venio | venio, veni, ventum, ire поэт.
venographia | venographia, ae f
venosus | venosus, a, um анат.
venter | venter, tris m
ventosus | ventosus, a, um поэт.
ventralis | ventralis, e анат.
ventricularis | ventricularis, e анат.
ventriculographia | ventriculographia, ae f
ventriculus | ventriculus, i m
ventrodorsalis | ventrodorsalis, e анат.
ventromedialis | ventromedialis, e анат.
ventus | ventus, i m
venucula | venucula, ae f
venula | venula, ae f
venularis | venularis, e анат.
Venus | Venus, eris f
venus | I venus, eris f
Venusia | Venusia, ae f
venustas | venustas, atis f
venuste | venuste adv.
veprecula | veprecula, ae f
vepres | vepres, is m
ver | ver, veris n
Verapamilum | Verapamil(um, i n
verbena | verbena, ae f
verber | verber, eris n
verbose | verbose adv.
verbum | verbum, i n
Vercingetorix | Vercingetorix, igis m
vere | vere adv.
verecunde | verecunde adv.
verecundia | verecundia, ae f
vergiliae | vergiliae, arum f
Vergilius | Vergilius, i m
vergo | vergo, --, --, ere поэт.
verisimilitudo | verisimilitudo, inis f
veritas | veritas, atis f
Vermicomprenum | Vermicompren(um, i n
vermiformis | vermiformis, e анат.
vermis | vermis, is m
Vermithanum | Vermithan(um, i n
Vermitinum | Vermitin(um, i n
Vermitoxum | Vermitox(um, i n
Vermofinum | Vermofin(um, i n
Vermoxylum | Vermoxyl(um, i n
verna | verna, ae m
verniliter | verniliter adv.
vero | vero adv.
Verobromanum | Verobroman(um, i n
Verodonum | Verodon(um, i n
Verografinum | Verografin(um, i n
Veromandui | Veromandui, orum m
Verona | Verona, ae f
Veronalum | Veronal(um, i n
Verophenum | Verophen(um, i n
Verospironum | Verospiron(um, i n
verres | I verres, is m
verruca | verruca, ae f
verrutum | verrutum, i n
versiculus | versiculus, i m
verso | verso (vorso), avi, atum, are pass.
versura | versura (vorsura), ae f
versus | I versus, a, um part.
versutia | versutia, ae f
vertebra | vertebra, ae f
vertebralis | vertebralis, e анат.
vertex | vertex (vortex), icis m
verticalis | verticalis, e анат.
vertigo | vertigo, inis f
verto | verto ( арх.
Vertumnus | Vertumnus, i m
veru | veru, us n
verum | I verum adv.
